X88n1645_001:0107a03	 六道集敘	 六 道 集 敘 
X88n1645_001:0107a05	世俗日下。則立教者日勞。舜之命禹曰。人心惟危。而	世 俗 日 下 則 立 教 者 日 勞 舜 之 命 禹 曰 人 心 惟 危 而 
X88n1645_001:0107a06	孟子則曰。人之所以異於禽獸者幾希。葢聖賢相告。	孟 子 則 曰 人 之 所 以 異 於 禽 獸 者 幾 希 葢 聖 賢 相 告 
X88n1645_001:0107a07	其詞宜簡而該。與流俗人言。則其詞宜詳而近。勢則	其 詞 宜 簡 而 該 與 流 俗 人 言 則 其 詞 宜 詳 而 近 勢 則 
X88n1645_001:0107a08	然也。佛說六道之旨。以窮一心之變。極幽明之故。可	然 也 佛 說 六 道 之 旨 以 窮 一 心 之 變 極 幽 明 之 故 可 
X88n1645_001:0107a09	謂。痛哭流涕。而後之人。猶漠然視之。吾鄉在犙和尚。	謂 痛 哭 流 涕 而 後 之 人 猶 漠 然 視 之 吾 鄉 在 犙 和 尚 
X88n1645_001:0107a10	乃為採古今近事家喻戶曉者。著以為六道集。葢為	乃 為 採 古 今 近 事 家 喻 戶 曉 者 著 以 為 六 道 集 葢 為 
X88n1645_001:0107a11	未悟人說法。不得不然。吾謂。人所以迷而不悟者。有	未 悟 人 說 法 不 得 不 然 吾 謂 人 所 以 迷 而 不 悟 者 有 
X88n1645_001:0107a12	二端。其一曰。吾人也何至流為異物。其一曰。人生快	二 端 其 一 曰 吾 人 也 何 至 流 為 異 物 其 一 曰 人 生 快 
X88n1645_001:0107a13	意耳。遑恤他生。然就其一日之間。一念之頃。已不知	意 耳 遑 恤 他 生 然 就 其 一 日 之 間 一 念 之 頃 已 不 知 
X88n1645_001:0107a14	幾為天。幾為人。幾為畜生餓鬼。誠得秦鏡懸之於前。	幾 為 天 幾 為 人 幾 為 畜 生 餓 鬼 誠 得 秦 鏡 懸 之 於 前 
X88n1645_001:0107a15	使其肝膽畢呈。意念盡露。六道之變相。紛紜交錯。一	使 其 肝 膽 畢 呈 意 念 盡 露 六 道 之 變 相 紛 紜 交 錯 一 
X88n1645_001:0107a16	時並見於胸臆之中。庶其懼而知返乎。在和尚博極	時 並 見 於 胸 臆 之 中 庶 其 懼 而 知 返 乎 在 和 尚 博 極 
X88n1645_001:0107a17	羣書。著述數十種。年將七十。而緝此集。其指愈淺。其	羣 書 著 述 數 十 種 年 將 七 十 而 緝 此 集 其 指 愈 淺 其 
X88n1645_001:0107a18	憂愈深。讀者毋徒視為虗誕之談。而忘其為肝膽之	憂 愈 深 讀 者 毋 徒 視 為 虗 誕 之 談 而 忘 其 為 肝 膽 之 
X88n1645_001:0107a19	照也。　　　羅浮陳恭尹拜題	照 也 羅 浮 陳 恭 尹 拜 題 
X88n1645_001:0107b03	 六道集序	 六 道 集 序 
X88n1645_001:0107b05	和尚本乘願力來。冲齡入道。辯才汜濫。文字縱橫。早	和 尚 本 乘 願 力 來 冲 齡 入 道 辯 才 汜 濫 文 字 縱 橫 早 
X88n1645_001:0107b06	年曲唱新豐。調高千古。中歲光韜韶石藏究三車。不	年 曲 唱 新 豐 調 高 千 古 中 歲 光 韜 韶 石 藏 究 三 車 不 
X88n1645_001:0107b07	欲出世為人。爭奈龍天。弗肯尋住鼎湖方丈。遂令聲	欲 出 世 為 人 爭 奈 龍 天 弗 肯 尋 住 鼎 湖 方 丈 遂 令 聲 
X88n1645_001:0107b08	價難醻然。卒不樂久居。旋臥象林深處。意謂。靈山會	價 難 醻 然 卒 不 樂 久 居 旋 臥 象 林 深 處 意 謂 靈 山 會 
X88n1645_001:0107b09	上。笑拈花者。不過一人。丁此末法時。中棒投機者。屈	上 笑 拈 花 者 不 過 一 人 丁 此 末 法 時 中 棒 投 機 者 屈 
X88n1645_001:0107b10	寧多指。矧諸方既富煉凡大冶爐。火方紅。我這裡不	寧 多 指 矧 諸 方 既 富 煉 凡 大 冶 爐 火 方 紅 我 這 裡 不 
X88n1645_001:0107b11	妨退步潛身。煙霞共老。與其一期說法。度有限之眾	妨 退 步 潛 身 煙 霞 共 老 與 其 一 期 說 法 度 有 限 之 眾 
X88n1645_001:0107b12	生。孰若多著要書。利無窮之後。學于是。始從韶石。終	生 孰 若 多 著 要 書 利 無 窮 之 後 學 于 是 始 從 韶 石 終 
X88n1645_001:0107b13	至象林。中間五十幾白。奚啻億萬餘言。龍也何幸受	至 象 林 中 間 五 十 幾 白 奚 啻 億 萬 餘 言 龍 也 何 幸 受 
X88n1645_001:0107b14	益良多。獨恨鈍根少領玄趣。然最愛其六道一集。痛	益 良 多 獨 恨 鈍 根 少 領 玄 趣 然 最 愛 其 六 道 一 集 痛 
X88n1645_001:0107b15	醒羣蒙。夫影必隨形。谷必畣響。種瓜不得豆。結果定	醒 羣 蒙 夫 影 必 隨 形 谷 必 畣 響 種 瓜 不 得 豆 結 果 定 
X88n1645_001:0107b16	從因。此理勢之所必然。然俗漢恬不之覺。和尚不舍	從 因 此 理 勢 之 所 必 然 然 俗 漢 恬 不 之 覺 和 尚 不 舍 
X88n1645_001:0107b17	慈悲。悲夫。眾迷於六道。輪迴靡艾也。猛然拈出示之。	慈 悲 悲 夫 眾 迷 於 六 道 輪 迴 靡 艾 也 猛 然 拈 出 示 之 
X88n1645_001:0107b18	昭昭然如揭日月而行。無幽不燭。普使人人。深知報	昭 昭 然 如 揭 日 月 而 行 無 幽 不 燭 普 使 人 人 深 知 報 
X88n1645_001:0107b19	應不爽。因果無差。皆能回光返照。各辦前程者。功不	應 不 爽 因 果 無 差 皆 能 回 光 返 照 各 辦 前 程 者 功 不 
X88n1645_001:0107b20	在菩薩下也。龍敢不服膺拳拳乎。僅再拜颺言。而序	在 菩 薩 下 也 龍 敢 不 服 膺 拳 拳 乎 僅 再 拜 颺 言 而 序 
X88n1645_001:0107b21	其上。　旹	其 上 旹 
X88n1645_001:0107b22	康熈二十一年壬戌東莞弟子李龍標頓首拜題	康 熈 二 十 一 年 壬 戌 東 莞 弟 子 李 龍 標 頓 首 拜 題 
X88n1645_001:0107c05	六道集總目	六 道 集 總 目 
X88n1645_001:0107c06	卷一	卷 一 
X88n1645_001:0107c07	天道	天 道 
X88n1645_001:0107c08	卷二	卷 二 
X88n1645_001:0107c09	人道阿修羅道	人 道 阿修羅道 
X88n1645_001:0107c10	卷三	卷 三 
X88n1645_001:0107c11	鬼神道	鬼 神 道 
X88n1645_001:0107c12	卷四	卷 四 
X88n1645_001:0107c13	畜生道地獄道	畜 生 道 地 獄 道 
X88n1645_001:0107c14	卷五	卷 五 
X88n1645_001:0107c15	地獄道之餘	地 獄 道 之 餘 
X88n1645_001:0107c18	六道集目錄	六 道 集 目 錄 
X88n1645_001:0107c20	卷一	卷 一 
X88n1645_001:0107c21	天道	天 道 
X88n1645_001:0107c22	述言述諸經文法句喻經	述 言 述 諸 經 文 法 句 喻 經 
X88n1645_001:0107c23	天竺(無著菩薩)孫稚董青建	天 竺 無 著 菩 薩 孫 稚 董 青 建 
X88n1645_001:0107c24	歷陽(張應)襄陽(史世光)江陵(釋黃遷)	歷 陽 張 應 襄 陽 史 世 光 江 陵 釋 黃 遷 
X88n1645_001:0108a01	酒泉郡(伯裘)武帝妃(郗氏)蜀郡(沙門慧韶)	酒 泉 郡 伯 裘 武 帝 妃 郗 氏 蜀 郡 沙 門 慧 韶 
X88n1645_001:0108a02	中天竺(沙門勒那)湘州(釋玄景)潞州(辛彥之)	中 天 竺 沙 門 勒 那 湘 州 釋 玄 景 潞 州 辛 彥 之 
X88n1645_001:0108a03	海東(玄光禪師)京師(子鄰法師)壽州(玄宗禪師)	海 東 玄 光 禪 師 京 師 子 鄰 法 師 壽 州 玄 宗 禪 師 
X88n1645_001:0108a04	長安(道宣律師)嵩山(破竈墮和尚)循州(北山神)	長 安 道 宣 律 師 嵩 山 破 竈 墮 和 尚 循 州 北 山 神 
X88n1645_001:0108a05	于闐國(沙彌)廣州(陳公孺)	于 闐 國 沙 彌 廣 州 陳 公 孺 
X88n1645_001:0108a07	卷二	卷 二 
X88n1645_001:0108a08	人道	人 道 
