X26n0574_001:0950c03	摩訶般若波羅蜜多心經	摩訶般若波羅蜜 多 心 經 
X26n0574_001:0950c05	松溪道人　無垢子　註	松 溪 道 人 無 垢 子 註 
X26n0574_001:0950c06	　這點靈光道上來　　只因逐妄墮塵埃	 這 點 靈 光 道 上 來 只 因 逐 妄 墮 塵 埃 
X26n0574_001:0950c07	　君今要見還鄉路　　悟得心經道眼開	 君 今 要 見 還 鄉 路 悟 得 心 經 道 眼 開 
X26n0574_001:0950c08	摩訶。	摩 訶 
X26n0574_001:0950c09	西天梵語也東土翻為大且大者廣無邊際之謂	西 天 梵 語 也 東 土 翻 為 大 且 大 者 廣 無 邊 際 之 謂 
X26n0574_001:0950c10	也廣大無邊者莫過虗空大道也　川老云虗空	也 廣 大 無 邊 者 莫 過 虗 空 大 道 也 川 老 云 虗 空 
X26n0574_001:0950c11	境界莫思量大道清幽理更長　又云十方無壁	境 界 莫 思 量 大 道 清 幽 理 更 長 又 云 十 方 無 壁 
X26n0574_001:0950c12	落八面亦無門大道無邊際虗空難度量　道云	落 八 面 亦 無 門 大 道 無 邊 際 虗 空 難 度 量 道 云 
X26n0574_001:0950c13	迎之不見其首隨之不見其後　儒云仰之彌高	迎 之 不 見 其 首 隨 之 不 見 其 後 儒 云 仰 之 彌 高 
X26n0574_001:0950c14	鑽之彌堅瞻之在前忽錯在後　諸賢聖皆如此	鑽 之 彌 堅 瞻 之 在 前 忽 錯 在 後 諸 賢 聖 皆 如 此 
X26n0574_001:0950c15	稱揚廣大也　日月雖明難比其光乾坤雖大難	稱 揚 廣 大 也 日 月 雖 明 難 比 其 光 乾 坤 雖 大 難 
X26n0574_001:0950c16	包其體能生萬有而不見其形徧周沙界而不覩	包 其 體 能 生 萬 有 而 不 見 其 形 徧 周 沙 界 而 不 覩 
X26n0574_001:0950c17	其跡雖是如此廣大玄妙誰知更有一物過於此	其 跡 雖 是 如 此 廣 大 玄 妙 誰 知 更 有 一 物 過 於 此 
X26n0574_001:0950c18	者且道是何物還識這箇○麼寬則包藏法界窄	者 且 道 是 何 物 還 識 這 箇 麼 寬 則 包 藏 法 界 窄 
X26n0574_001:0950c19	則不立纖毫顯則八荒九夷無所不至隱則纖芥	則 不 立 纖 毫 顯 則 八 荒 九 夷 無 所 不 至 隱 則 纖 芥 
X26n0574_001:0950c20	微塵無所不入今者不避罪[億音+(天*天)]分明漏泄乃人之	微 塵 無 所 不 入 今 者 不 避 罪 [億音天天] 分 明 漏 泄 乃 人 之 
X26n0574_001:0950c21	本源也　僊師有云為甚此心開大道只因元向	本 源 也 僊 師 有 云 為 甚 此 心 開 大 道 只 因 元 向 
X26n0574_001:0950c22	道中來　世人不能返本者蓋因錯認色身為己	道 中 來 世 人 不 能 返 本 者 蓋 因 錯 認 色 身 為 己 
X26n0574_001:0950c23	被六根所瞞七情遮蔽自失本真以致流浪生死	被 六 根 所 瞞 七 情 遮 蔽 自 失 本 真 以 致 流 浪 生 死 
X26n0574_001:0950c24	也　要見本真麼　尋不見覔不見十二時中遶	也 要 見 本 真 麼 尋 不 見 覔 不 見 十 二 時 中 遶 
X26n0574_001:0951a01	身轉　省得麼。	身 轉 省 得 麼 
X26n0574_001:0951a02	　法身體若太虗空　　性道元來總一同	 法 身 體 若 太 虗 空 性 道 元 來 總 一 同 
X26n0574_001:0951a03	　只因逐妄迷真性　　所以輪迴六道中	 只 因 逐 妄 迷 真 性 所 以 輪 迴 六 道 中 
X26n0574_001:0951a04	般若。	般 若 
X26n0574_001:0951a05	西天梵語也東土翻為智慧且智慧者正知正解	西 天 梵 語 也 東 土 翻 為 智 慧 且 智 慧 者 正 知 正 解 
X26n0574_001:0951a06	審察之謂也脩行之人須用智慧之力降伏身心	審 察 之 謂 也 脩 行 之 人 須 用 智 慧 之 力 降 伏 身 心 
X26n0574_001:0951a07	不令放肆以習靜定　道云能以智慧之力攝伏	不 令 放 肆 以 習 靜 定 道 云 能 以 智 慧 之 力 攝 伏 
X26n0574_001:0951a08	諸魔精　蓮經云慧日破諸闇能伏災風火　儒	諸 魔 精 蓮 經 云 慧 日 破 諸 闇 能 伏 災 風 火 儒 
X26n0574_001:0951a09	云智能破邪慧能破暗　且無智愚人作事麤惡	云 智 能 破 邪 慧 能 破 暗 且 無 智 愚 人 作 事 麤 惡 
X26n0574_001:0951a10	不肯三思惟務廣學多聞念在誇談講論不究自	不 肯 三 思 惟 務 廣 學 多 聞 念 在 誇 談 講 論 不 究 自 
X26n0574_001:0951a11	家生死好覔他人是非不親真實道人愛近虗頭	家 生 死 好 覔 他 人 是 非 不 親 真 實 道 人 愛 近 虗 頭 
X26n0574_001:0951a12	禪客空談聖人經典心地全不用功圖名貪利我	禪 客 空 談 聖 人 經 典 心 地 全 不 用 功 圖 名 貪 利 我 
X26n0574_001:0951a13	慢貢高只說眼下時光不想腦後之事如此之人	慢 貢 高 只 說 眼 下 時 光 不 想 腦 後 之 事 如 此 之 人 
X26n0574_001:0951a14	乃聰明外道也　古德有云外道聰明無智慧。	乃 聰 明 外 道 也 古 德 有 云 外 道 聰 明 無 智 慧 
X26n0574_001:0951a15	僊師云口說心不行非是精細漢　儒云先治身	僊 師 云 口 說 心 不 行 非 是 精 細 漢 儒 云 先 治 身 
X26n0574_001:0951a16	心後治家國　且有智慧之人作事安詳不肯造	心 後 治 家 國 且 有 智 慧 之 人 作 事 安 詳 不 肯 造 
X26n0574_001:0951a17	次識因果顧罪福親近知識參問至人窮性命之	次 識 因 果 顧 罪 福 親 近 知 識 參 問 至 人 窮 性 命 之 
X26n0574_001:0951a18	根元究生死之大事制伏身心收斂神氣念念在	根 元 究 生 死 之 大 事 制 伏 身 心 收 斂 神 氣 念 念 在 
X26n0574_001:0951a19	道息息歸真一日功成行滿[囗@力]地一聲透出三界	道 息 息 歸 真 一 日 功 成 行 滿 [囗力] 地 一 聲 透 出 三 界 
X26n0574_001:0951a20	此虗空混為一體若到此地造化不能移易陰陽	此 虗 空 混 為 一 體 若 到 此 地 造 化 不 能 移 易 陰 陽 
