X58n1010_001:0485c03	 勸發菩提心文序	 勸 發菩提心 文 序 
X58n1010_001:0485c05	終南山艸堂寺圭峰沙門　宗密　撰	終 南 山 艸 堂 寺 圭 峰 沙 門 宗 密 撰 
X58n1010_001:0485c06	發菩提心者。崇德廣業虗心外身圓覺之謂也。自非	發菩提心 者 崇 德 廣 業 虗 心 外 身 圓 覺 之 謂 也 自 非 
X58n1010_001:0485c07	達恢廓之道。稟仁恕之性。懷遠大之志者。其誰能發	達 恢 廓 之 道 稟 仁 恕 之 性 懷 遠 大 之 志 者 其 誰 能 發 
X58n1010_001:0485c08	斯意焉。豈其如來滅後。後五百歲佛法衰。末世人少	斯 意 焉 豈 其 如來滅後 後 五 百 歲 佛 法 衰 末 世 人 少 
X58n1010_001:0485c09	信。時有儒門上士河東裴公而當此仁。吾與裴公交	信 時 有 儒 門 上 士 河 東 裴 公 而 當 此 仁 吾 與 裴 公 交 
X58n1010_001:0485c10	佛道久已。知其入佛門到佛境及覧勸發菩提心文。	佛 道 久 已 知 其 入 佛 門 到 佛 境 及 覧 勸 發菩提心 文 
X58n1010_001:0485c11	知其為佛使行佛事。吾為佛子寧不感之而踊躍乎。	知 其 為 佛 使 行 佛 事 吾 為 佛 子 寧 不 感 之 而 踊 躍 乎 
X58n1010_001:0485c12	凡歸佛者可寶之為龜鏡。然佛門難入。失在偏邪。佛	凡 歸 佛 者 可 寶 之 為 龜 鏡 然 佛 門 難 入 失 在 偏 邪 佛 
X58n1010_001:0485c13	境難到。失在怠速。心外求法或身中計我邪也。唯尚	境 難 到 失 在 怠 速 心 外 求 法 或 身 中 計 我 邪 也 唯 尚 
X58n1010_001:0485c14	理性或但宗因緣。偏也。持解迷行或沈空住寂。怠也。	理 性 或 但 宗 因 緣 偏 也 持 解 迷 行 或 沈 空 住 寂 怠 也 
X58n1010_001:0485c15	勞形苦神而剋期待證。速也。今裴公所得所行所演	勞 形 苦 神 而 剋 期 待 證 速 也 今 裴 公 所 得 所 行 所 演 
X58n1010_001:0485c16	所勸。僉異於是。所謂洞了自心。德等於佛。非心外求	所 勸 僉 異 於 是 所 謂 洞 了 自 心 德 等 於 佛 非 心 外 求 
X58n1010_001:0485c17	也。洞了形識。空如幻化。非自計我。真如本覺。是其所	也 洞 了 形 識 空 如 幻 化 非 自 計 我 真 如 本 覺 是 其 所 
X58n1010_001:0485c18	宗。非但緣也。四諦六度。是其所弘。非唯性也。禮供讚	宗 非 但 緣 也 四 諦 六 度 是 其 所 弘 非 唯 性 也 禮 供 讚 
X58n1010_001:0485c19	念。率身勵人。非速行也。福智悲願。孜孜是務。非沈住	念 率 身 勵 人 非 速 行 也 福 智 悲 願 孜 孜 是 務 非 沈 住 
X58n1010_001:0485c20	也。氣和神適。乘緣應事。非勞苦也。以時消息。為而不	也 氣 和 神 適 乘 緣 應 事 非 勞 苦 也 以 時 消 息 為 而 不 
X58n1010_001:0485c21	待。非求證也。如是備眾德。離諸病。非入佛門到佛境	待 非 求 證 也 如 是 備 眾 德 離 諸 病 非 入 佛 門 到 佛 境 
X58n1010_001:0485c22	何耶。吾久同其願又覧其文詠歌。不足故輒為序。今	何 耶 吾 久 同 其 願 又 覧 其 文 詠 歌 不 足 故 輒 為 序 今 
X58n1010_001:0485c23	而後有欲入佛門造佛境者。宜信受奉行。	而 後 有 欲 入 佛 門 造 佛 境 者 宜 信受奉行 
X58n1010_001:0486a06	普勸僧俗發菩提心文	普 勸 僧 俗 發菩提心 文 
X58n1010_001:0486a08	唐相國　裴休　述	唐 相 國 裴 休 述 
X58n1010_001:0486a09	普告大眾。若僧若俗。有能同發阿耨多羅三藐三菩	普 告 大 眾 若 僧 若 俗 有 能 同 發 阿 耨 多 羅 三 藐 三 菩 
X58n1010_001:0486a10	提心者。我願生生常為道俗。同宗同趣。同願同求。同	提 心 者 我 願 生 生 常 為 道 俗 同 宗 同 趣 同 願 同 求 同 
X58n1010_001:0486a11	運大悲。同修大智。遞相輔助。直至菩提。普告大眾。若	運 大 悲 同 修 大 智 遞 相 輔 助 直 至 菩 提 普 告 大 眾 若 
X58n1010_001:0486a12	僧若俗。有能同發阿耨多羅三藐三菩提心者。我願	僧 若 俗 有 能 同 發 阿耨多羅三藐三菩提 心 者 我 願 
X58n1010_001:0486a13	生生常同淨業。各領眷屬。分化眾生。龍華會中。同受	生 生 常 同 淨 業 各 領 眷 屬 分 化 眾 生 龍 華 會 中 同 受 
X58n1010_001:0486a14	佛記。廣修大願。直至菩提。	佛 記 廣 修 大 願 直 至 菩 提 
X58n1010_001:0486a15	初明菩提名義	初 明 菩 提 名 義 
X58n1010_001:0486a16	阿耨多羅三藐三菩提者。此云無上正徧知。覺(無上者。究	阿耨多羅三藐三菩提 者 此 云 無 上 正 徧 知 覺 無 上 者 究 
X58n1010_001:0486a17	竟也。正者。如理知徧者。無量智正覺知真俗智)是諸佛所證最上妙道。是眾	竟 也 正 者 如 理 知 徧 者 無 量 智 正 覺 知 真 俗 智 是 諸 佛 所 證 最 上 妙 道 是 眾 
X58n1010_001:0486a18	生所迷根本妙源。既慕如來永離諸苦。自悲己身久	生 所 迷 根 本 妙 源 既 慕 如 來 永 離 諸 苦 自 悲 己 身 久 
X58n1010_001:0486a19	失大利。慨然奮發將求佛身。即是初發阿耨多羅三	失 大 利 慨 然 奮 發 將 求 佛 身 即 是 初 發 阿 耨 多 羅 三 
X58n1010_001:0486a20	藐三菩提心也。	藐 三 菩 提 心 也 
X58n1010_001:0486a21	次明菩提心體	次 明 菩 提 心 體 
X58n1010_001:0486a22	既發菩提大心。須識菩提心體。夫菩提心體不從真	既 發 菩 提 大 心 須 識 菩 提 心 體 夫 菩 提 心 體 不 從 真 
X58n1010_001:0486a23	心發。無由得至菩提。故須揀擇分明。方是正因法行。	心 發 無 由 得 至 菩 提 故 須 揀 擇 分 明 方 是 正 因 法 行 
X58n1010_001:0486a24	且大眾從無始來常認為我身者是地水火風從合	且 大 眾 從無始來 常 認 為 我 身 者 是 地水火風 從 合 
X58n1010_001:0486b01	之身。旋聚旋散。屬無常法。非我身也。大眾從無始來	之 身 旋 聚 旋 散 屬 無 常 法 非 我 身 也 大 眾 從無始來 
X58n1010_001:0486b02	常認為我心者是緣慮容塵虗妄之心。乍起乍滅。屬	常 認 為 我 心 者 是 緣 慮 容 塵 虗 妄 之 心 乍 起 乍 滅 屬 
X58n1010_001:0486b03	無常法。非我心也。我有真身圓滿空寂者是。我有真	無 常 法 非 我 心 也 我 有 真 身 圓 滿 空 寂 者 是 我 有 真 
X58n1010_001:0486b04	心廣大靈知者是也(圓滿者。法身無量功德本自具足也。空寂者。法身離諸色相永	心 廣 大 靈 知 者 是 也 圓 滿 者 法 身 無量功德 本 自 具 足 也 空 寂 者 法 身 離 諸 色 相 永 
X58n1010_001:0486b05	無動搖也。廣大者。真心體兼法界包含虗空也。靈知者。了了分明鑒照清徹也)。空寂靈智。神	無 動 搖 也 廣 大 者 真 心 體 兼 法 界 包 含 虗 空 也 靈 知 者 了 了 分 明 鑒 照 清 徹 也 空 寂 靈 智 神 
X58n1010_001:0486b06	用自在。性含萬德。體絕百非。如淨月輪圓滿無缺。惑	用 自 在 性 含 萬 德 體 絕 百 非 如 淨 月 輪 圓 滿 無 缺 惑 
X58n1010_001:0486b07	雲所覆不自覺知。妄惑既除。真心本淨也。十方諸佛	雲 所 覆 不 自 覺 知 妄 惑 既 除 真 心 本 淨 也 十方諸佛 
X58n1010_001:0486b08	一切眾生與我此心三無差別。此即菩提心體也。捨	一 切 眾 生 與 我 此 心 三無差別 此 即 菩 提 心 體 也 捨 
X58n1010_001:0486b09	此不認。而認自身妄念。隨死隨生。與禽畜雜類比肩	此 不 認 而 認 自 身 妄 念 隨 死 隨 生 與 禽 畜 雜 類 比 肩 
X58n1010_001:0486b10	受苦。為丈夫者豈不羞哉。既發無上道心。當行大丈	受 苦 為 丈 夫 者 豈 不 羞 哉 既 發 無上道心 當 行 大 丈 
X58n1010_001:0486b11	夫事。起三心立五誓。修一切助菩提法。以諸佛為師。	夫 事 起 三 心 立 五 誓 修 一 切 助 菩 提 法 以 諸 佛 為 師 
X58n1010_001:0486b12	以菩薩為侶。以六道眾生為眷屬。以生死煩惱為園	以 菩 薩 為 侶 以 六 道 眾 生 為 眷 屬 以 生 死 煩 惱 為 園 
X58n1010_001:0486b13	林。誓盡未來濟拔度脫。是則名為發阿耨多羅三藐	林 誓 盡 未 來 濟 拔 度 脫 是 則 名 為 發 阿 耨 多 羅 三 藐 
X58n1010_001:0486b14	三菩提心也。	三 菩 提 心 也 
X58n1010_001:0486b15	次明三心	次 明 三 心 
X58n1010_001:0486b16	一者大悲心。既悟自心。本無生滅。遂悲六道。枉受沈	一 者 大 悲 心 既 悟 自 心 本 無 生 滅 遂 悲 六 道 枉 受 沈 
X58n1010_001:0486b17	淪。己雖未證菩提。且願眾生解脫(即經云菩提心己。雖未度。願度未度。	淪 己 雖 未 證 菩 提 且 願 眾 生 解 脫 即 經 云 菩 提 心 己 雖 未 度 願 度 未 度 
X58n1010_001:0486b18	老子云。聖人後其身身先。儒家云。仁者博施濟眾。先人後己三教皆同)。於是廣發同體	老 子 云 聖 人 後 其 身 身 先 儒 家 云 仁 者 博 施 濟 眾 先 人 後 己 三 教 皆 同 於 是 廣 發 同 體 
X58n1010_001:0486b19	大悲。盡未來行四攝法。攝彼眾生。皆令歸真。同成佛	大 悲 盡 未 來 行 四 攝 法 攝 彼 眾 生 皆 令 歸 真 同 成 佛 
X58n1010_001:0486b20	道。此即大悲心也。二者大智心。既興大智。誓度羣品。	道 此 即 大 悲 心 也 二 者 大 智 心 既 興 大 智 誓 度 羣 品 
X58n1010_001:0486b21	品類既多。根器不同。即須廣事諸佛。廣學妙法。一一	品 類 既 多 根 器 不 同 即 須 廣 事 諸 佛 廣 學 妙 法 一 一 
X58n1010_001:0486b22	證入。轉化眾生。此即大智心也。三者大願心。既欲廣	證 入 轉 化 眾 生 此 即 大 智 心 也 三 者 大 願 心 既 欲 廣 
X58n1010_001:0486b23	度眾生。遂興廣大悲智。然心惟本淨。久翳塵勞。習性	度 眾 生 遂 興 廣 大 悲 智 然 心 惟 本 淨 久 翳 塵 勞 習 性 
X58n1010_001:0486b24	難頓。銷除法器。須資磨寶。自慮輪迴諸趣。不遇佛法	難 頓 銷 除 法 器 須 資 磨 寶 自 慮 輪 迴 諸 趣 不 遇 佛 法 
X58n1010_001:0486c01	勝緣。故發大願。備修萬行。行願相資。猶如車翼。運行	勝 緣 故 發 大 願 備 修 萬 行 行 願 相 資 猶 如 車 翼 運 行 
X58n1010_001:0486c02	不退。直至菩提。此即大願心也(華嚴經云。菩提心燈以大悲為油。大願為炷。	不 退 直 至 菩 提 此 即 大 願 心 也 華 嚴 經 云 菩 提 心 燈 以 大 悲 為 油 大 願 為 炷 
X58n1010_001:0486c03	大智為光)。然三心之中。大願為主。常持悲智。以度羣生。故	大 智 為 光 然 三 心 之 中 大 願 為 主 常 持 悲 智 以 度 羣 生 故 
X58n1010_001:0486c04	初發心必先起願。華嚴行願經云。若人臨命終時。最	初 發 心 必 先 起 願 華 嚴 行 願 經 云 若 人 臨命終時 最 
X58n1010_001:0486c05	後剎那。一切諸根悉皆散壞。一切親屬悉皆捨離。一	後 剎 那 一 切 諸 根 悉 皆 散 壞 一 切 親 屬 悉 皆 捨 離 一 
X58n1010_001:0486c06	切威勢悉皆退失。一切財寶無復相隨。唯此願王不	切 威 勢 悉 皆 退 失 一 切 財 寶 無 復 相 隨 唯 此 願 王 不 
X58n1010_001:0486c07	相捨離。常為引導。直至菩提。是故汝等聞此願王。莫	相 捨 離 常 為 引 導 直 至 菩 提 是 故 汝 等 聞 此 願 王 莫 
X58n1010_001:0486c08	生疑念(華嚴最後普賢所說。定非虗妄。依此修行)。	生 疑 念 華 嚴 最 後 普 賢 所 說 定 非 虗 妄 依 此 修 行 
X58n1010_001:0486c09	次明五誓	次 明 五 誓 
X58n1010_001:0486c10	一者眾生無邊誓願度。二者福智無邊誓願集。三者	一 者 眾 生 無 邊 誓 願 度 二 者 福 智 無 邊 誓 願 集 三 者 
X58n1010_001:0486c11	佛法無邊誓願學。四者如來無邊誓願事。五者無上	佛 法 無 邊 誓 願 學 四 者 如 來 無 邊 誓 願 事 五 者 無 上 
X58n1010_001:0486c12	正覺誓願成。持此五誓。念念運心。無有間斷。是為具	正 覺 誓 願 成 持 此 五 誓 念 念 運 心 無有間斷 是 為 具 
X58n1010_001:0486c13	菩提大心。是為持菩提心戒。三心五誓重疊相資。佛	菩 提 大 心 是 為 持 菩 提 心 戒 三 心 五 誓 重 疊 相 資 佛 
X58n1010_001:0486c14	佛道同不過於此。即是具足發阿耨多羅三藐三菩	佛 道 同 不 過 於 此 即 是 具 足 發 阿 耨 多 羅 三 藐 三 菩 
X58n1010_001:0486c15	提心也。	提 心 也 
X58n1010_001:0486c16	次勸常持菩提心	次 勸 常 持 菩 提 心 
X58n1010_001:0486c17	普告大眾。若僧若俗。既已發菩提大心。修菩薩妙道。	普 告 大 眾 若 僧 若 俗 既 已 發 菩 提 大 心 修 菩 薩 妙 道 
X58n1010_001:0486c18	至誠普啟諸佛。一心普攝眾生。行住坐臥常持此願。	至 誠 普 啟 諸 佛 一 心 普 攝 眾 生 行住坐臥 常 持 此 願 
X58n1010_001:0486c19	不欺誑於六道。不失信於如來。廣設津梁。護持教法。	不 欺 誑 於 六 道 不 失 信 於 如 來 廣 設 津 梁 護 持 教 法 
X58n1010_001:0486c20	彌勒座下。皆證無生。千佛會中。俱為導首。能持此心。	彌 勒 座 下 皆 證 無 生 千 佛 會 中 俱 為 導 首 能 持 此 心 
X58n1010_001:0486c21	則永不退失阿耨多羅三藐三菩提。	則 永 不 退 失 阿耨多羅三藐三菩提 
X58n1010_001:0486c22	次勸度脫眾生	次 勸 度 脫 眾 生 
X58n1010_001:0486c23	普告大眾。若僧若俗。從今身至佛身。誓欲度脫一切	普 告 大 眾 若 僧 若 俗 從 今 身 至 佛 身 誓 欲 度 脫 一 切 
X58n1010_001:0486c24	眾生。普令入佛知見。黑闇岸下為作明燈。生死海中	眾 生 普 令 入 佛 知 見 黑 闇 岸 下 為 作 明 燈 生 死 海 中 
X58n1010_001:0487a01	為船筏。力雖未及。常運此心。念念相續。不令間斷。能	為 船 筏 力 雖 未 及 常 運 此 心 念 念 相 續 不 令 間 斷 能 
X58n1010_001:0487a02	持此心否。若持此心。則永不退失阿耨多羅三藐三	持 此 心 否 若 持 此 心 則 永 不 退 失 阿 耨 多 羅 三 藐 三 
X58n1010_001:0487a03	菩提。	菩 提 
X58n1010_001:0487a04	次勸積集福德	次 勸 積 集 福 德 
X58n1010_001:0487a05	普告大眾。若僧若俗。從今身至佛身。誓欲於悲田敬	普 告 大 眾 若 僧 若 俗 從 今 身 至 佛 身 誓 欲 於 悲 田 敬 
X58n1010_001:0487a06	田積集福德。亦捨內財外財成就萬行本。為眾生修	田 積 集 福 德 亦 捨 內 財 外 財 成 就 萬 行 本 為 眾 生 修 
X58n1010_001:0487a07	道須資福德勝緣。令無私己之心欲受天人之報。力	道 須 資 福 德 勝 緣 令 無 私 己 之 心 欲 受 天 人 之 報 力 
X58n1010_001:0487a08	雖未及。常運此心。念念相續。不令間斷。能持此心否。	雖 未 及 常 運 此 心 念 念 相 續 不 令 間 斷 能 持 此 心 否 
X58n1010_001:0487a09	若持此心。則永不退失阿耨多羅三藐三菩提。	若 持 此 心 則 永 不 退 失 阿耨多羅三藐三菩提 
X58n1010_001:0487a10	次勸修學佛法	次 勸 修 學 佛 法 
X58n1010_001:0487a11	普告大眾。若僧若俗。從今身至佛身。誓欲修一切佛	普 告 大 眾 若 僧 若 俗 從 今 身 至 佛 身 誓 欲 修 一 切 佛 
X58n1010_001:0487a12	法。窮一切教門。四無量心。六波羅蜜。法義深淺。因果	法 窮 一 切 教 門 四無量心 六波羅蜜 法 義 深 淺 因 果 
X58n1010_001:0487a13	有無。性相二宗。頓漸二教。悉皆通達。開導眾生。力雖	有 無 性 相 二 宗 頓 漸 二 教 悉 皆 通 達 開 導 眾 生 力 雖 
X58n1010_001:0487a14	未及。常運此心。念念相續。不令間斷。能持此心否。若	未 及 常 運 此 心 念 念 相 續 不 令 間 斷 能 持 此 心 否 若 
X58n1010_001:0487a15	持此心。則永不退失阿耨多羅三藐三菩提。	持 此 心 則 永 不 退 失 阿耨多羅三藐三菩提 
X58n1010_001:0487a16	次勸親事諸佛善知識	次 勸 親 事 諸 佛 善 知 識 
X58n1010_001:0487a17	普告大眾。若僧若俗。從今身至佛身。誓欲承事諸佛。	普 告 大 眾 若 僧 若 俗 從 今 身 至 佛 身 誓 欲 承 事 諸 佛 
X58n1010_001:0487a18	一切諸大菩薩。諸善知識。見善知識情無厭足。事善	一 切 諸 大 菩 薩 諸 善 知 識 見 善 知 識 情 無 厭 足 事 善 
X58n1010_001:0487a19	知識心無疲懈。聞善知識所有教誨欣樂順行。常學	知 識 心 無 疲 懈 聞 善 知 識 所 有 教 誨 欣 樂 順 行 常 學 
X58n1010_001:0487a20	善財童子所行之行。力雖未及。常運此心。念念相續。	善 財 童 子 所 行 之 行 力 雖 未 及 常 運 此 心 念 念 相 續 
X58n1010_001:0487a21	不令間斷。能持此心否。若持此心。則永不退失阿耨	不 令 間 斷 能 持 此 心 否 若 持 此 心 則 永 不 退 失 阿 耨 
X58n1010_001:0487a22	多羅三藐三菩提。	多 羅 三藐三菩提 
X58n1010_001:0487a23	次勸修唯求佛果	次 勸 修 唯 求 佛 果 
X58n1010_001:0487a24	普告大眾。若僧若俗。從今身至佛身。常願當來作佛。	普 告 大 眾 若 僧 若 俗 從 今 身 至 佛 身 常 願 當 來 作 佛 
