T52n2110_001:0489c14	辯正論序	辯 正 論 序 
T52n2110_001:0489c16	頴川陳子良撰	頴 川 陳 子 良 撰 
T52n2110_001:0489c17	蓋聞。宣尼入夢十翼之理克彰。伯陽出關二	蓋 聞 宣 尼 入 夢 十 翼 之 理 克 彰 伯 陽 出 關 二 
T52n2110_001:0489c18	篇之義爰著。或鉤深繫象。或探賾希夷。名	篇 之 義 爰 著 或 鉤 深 繫 象 或 探 賾 希 夷 名 
T52n2110_001:0489c19	言之所不宣。陰陽之所不測。猶能彌綸天地	言 之 所 不 宣 陰 陽 之 所 不 測 猶 能 彌 綸 天 地 
T52n2110_001:0489c20	包括鬼神。道無洽於大千。言未超於域內。況	包 括 鬼 神 道 無 洽 於 大 千 言 未 超 於 域 內 況 
T52n2110_001:0489c21	乎法身圓寂妙出有無。至理凝玄迹泯真俗	乎 法 身 圓 寂 妙 出 有 無 至 理 凝 玄 迹 泯 真 俗 
T52n2110_001:0489c22	體絕三相累盡七生。無心即心。非色為色。無	體 絕 三 相 累 盡 七 生 無 心 即 心 非 色 為 色 無 
T52n2110_001:0489c23	心即心。故能心斯心矣。非色為色。故能色	心 即 心 故 能 心 斯 心 矣 非 色 為 色 故 能 色 
T52n2110_001:0489c24	斯色矣。藤蛇於是併空。形名所以俱寂。筌	斯 色 矣 藤 蛇 於 是 併 空 形 名 所 以 俱 寂 筌 
T52n2110_001:0489c25	蹄之外豈可言乎。若夫西伯拘羑遂顯精微。	蹄 之 外 豈 可 言 乎 若 夫 西 伯 拘 羑 遂 顯 精 微 
T52n2110_001:0489c26	子長蠶室卒成先志。故易曰。古之作易者。其	子 長 蠶 室 卒 成 先 志 故 易 曰 古 之 作 易 者 其 
T52n2110_001:0489c27	有憂乎。論之興焉。良有以矣。法師俗姓陳氏。	有 憂 乎 論 之 興 焉 良 有 以 矣 法 師 俗 姓 陳 氏 
T52n2110_001:0489c28	漢太丘長仲弓之後也。遠祖宦遊播遷江左。	漢 太 丘 長 仲 弓 之 後 也 遠 祖 宦 遊 播 遷 江 左 
T52n2110_001:0489c29	近因流寓又處襄州。隋世入關從師請業。玉	近 因 流 寓 又 處 襄 州 隋 世 入 關 從 師 請 業 玉 
T52n2110_001:0490a01	移荊岫。皎潔之性彌彰。[示*圭]徙幽林。芬芳之	移 荊 岫 皎 潔 之 性 彌 彰 [示圭] 徙 幽 林 芬 芳 之 
T52n2110_001:0490a02	風更遠。法師應真人之祥。稟黃裳之吉。內該	風 更 遠 法 師 應 真 人 之 祥 稟 黃 裳 之 吉 內 該 
T52n2110_001:0490a03	三藏外綜九流。既善緣情尤工體物。篇章婉	三 藏 外 綜 九 流 既 善 緣 情 尤 工 體 物 篇 章 婉 
T52n2110_001:0490a04	麗理致遒華。郁郁間縟錦之文。飄飄聳凌雲	麗 理 致 遒 華 郁 郁 間 縟 錦 之 文 飄 飄 聳 凌 雲 
T52n2110_001:0490a05	之氣。班賈金玉未可同年。潘陸江海寧堪方	之 氣 班 賈 金 玉 未 可 同 年 潘 陸 江 海 寧 堪 方 
T52n2110_001:0490a06	駕。至如莊生墨生之學。黃子老子之書。三	駕 至 如 莊 生 墨 生 之 學 黃 子 老 子 之 書 三 
T52n2110_001:0490a07	清三洞之文。九府九仙之籙。登真隱決之祕。	清 三 洞 之 文 九 府 九 仙 之 籙 登 真 隱 決 之 祕 
T52n2110_001:0490a08	靈寶度命之儀。吞若胸中說猶指掌。加以舊	靈 寶 度 命 之 儀 吞 若 胸 中 說 猶 指 掌 加 以 舊 
T52n2110_001:0490a09	習中觀少蘊法華。既有聞持比專著述。運思	習 中 觀 少 蘊 法 華 既 有 聞 持 比 專 著 述 運 思 
T52n2110_001:0490a10	之外汲引無疲。辯中觀則龍樹可期。談自然	之 外 汲 引 無 疲 辯 中 觀 則 龍 樹 可 期 談 自 然 
T52n2110_001:0490a11	則老莊非遠。於是四方雜還。如歸長者之	則 老 莊 非 遠 於 是 四 方 雜 還 如 歸 長 者 之 
T52n2110_001:0490a12	園。七貴紛綸。若赴華陰之市。固以學侔安遠	園 七 貴 紛 綸 若 赴 華 陰 之 市 固 以 學 侔 安 遠 
T52n2110_001:0490a13	才邁肇生。實開士之棟梁。法城之牆塹者也。	才 邁 肇 生 實 開 士 之 棟 梁 法 城 之 牆 塹 者 也 
T52n2110_001:0490a14	乃有道士李仲卿劉進喜等。並作庸文謗毀	乃 有 道 士 李 仲 卿 劉 進 喜 等 並 作 庸 文 謗 毀 
T52n2110_001:0490a15	正法。在俗人士或生邪信。法師愍其盲瞽恐	正 法 在 俗 人 士 或 生 邪 信 法 師 愍 其 盲 瞽 恐 
T52n2110_001:0490a16	入泥犁。爰發大悲遂製斯論。可謂鼓茲法海	入 泥 犁 爰 發 大 悲 遂 製 斯 論 可 謂 鼓 茲 法 海 
T52n2110_001:0490a17	振彼詞峯。碧雞之銳競馳。黃馬之駿爭騖。莫	振 彼 詞 峯 碧 雞 之 銳 競 馳 黃 馬 之 駿 爭 騖 莫 
T52n2110_001:0490a18	不葉墜柯摧雲銷霧卷。狀鴻爐之焚纖羽。猶	不 葉 墜 柯 摧 雲 銷 霧 卷 狀 鴻 爐 之 焚 纖 羽 猶 
T52n2110_001:0490a19	炎景之鑠輕氷。負勝之儔於斯可見。暫歸慈	炎 景 之 鑠 輕 氷 負 勝 之 儔 於 斯 可 見 暫 歸 慈 
T52n2110_001:0490a20	定已破魔軍。聊奮慧刀即降愚賊。佛日於是	定 已 破 魔 軍 聊 奮 慧 刀 即 降 愚 賊 佛 日 於 是 
T52n2110_001:0490a21	重暉。法雲由其廣被。然法師所作詩賦啟頌	重 暉 法 雲 由 其 廣 被 然 法 師 所 作 詩 賦 啟 頌 
T52n2110_001:0490a22	碑誄章表大乘教法及破邪論等三十餘卷。	碑 誄 章 表 大 乘 教 法 及 破 邪 論 等 三 十 餘 卷 
T52n2110_001:0490a23	在世久傳。然此論凡八卷十二篇二百餘紙。	在 世 久 傳 然 此 論 凡 八 卷 十 二 篇 二 百 餘 紙 
T52n2110_001:0490a24	窮釋老之教源。極品藻之名理。修述多年仍	窮 釋 老 之 教 源 極 品 藻 之 名 理 修 述 多 年 仍 
T52n2110_001:0490a25	未流布。昔秦孝公聽說帝而寐。聞談霸而興。	未 流 布 昔 秦 孝 公 聽 說 帝 而 寐 聞 談 霸 而 興 
T52n2110_001:0490a26	陽春和寡。深可悲歎。但法師所述內外兼該。	陽 春 和 寡 深 可 悲 歎 但 法 師 所 述 內 外 兼 該 
T52n2110_001:0490a27	恐好事後生致有未諭。弟子穎川陳子良近	恐 好 事 後 生 致 有 未 諭 弟 子 穎 川 陳 子 良 近 
T52n2110_001:0490a28	伸頂禮。從而問津爛然溢目。若明月之入懷。	伸 頂 禮 從 而 問 津 爛 然 溢 目 若 明 月 之 入 懷 
T52n2110_001:0490a29	寂乎應機。譬寶珠之矚物。既悟四衢之幻。便	寂 乎 應 機 譬 寶 珠 之 矚 物 既 悟 四 衢 之 幻 便 
T52n2110_001:0490b01	息百城之遊。於是啟所未聞。聊為注解。庶將	息 百 城 之 遊 於 是 啟 所 未 聞 聊 為 注 解 庶 將 
T52n2110_001:0490b02	來同好。幸詳其致焉。	來 同 好 幸 詳 其 致 焉 
T52n2110_001:0490b06	辯正論卷第一	辯 正 論 卷 第 一 
T52n2110_001:0490b08	唐沙門釋法琳撰	唐 沙 門 釋 法 琳 撰 
T52n2110_001:0490b09	三教治道篇第一(上下)十代奉佛篇第	三 教 治 道 篇 第 一 上 下 十 代 奉 佛 篇 第 
T52n2110_001:0490b10	二(上下)佛道先後篇第三(卷第五)釋	二 上 下 佛 道 先 後 篇 第 三 卷 第 五 釋 
T52n2110_001:0490b11	李師資篇第四十喻篇第五(卷第六)	李 師 資 篇 第 四 十 喻 篇 第 五 卷 第 六 
T52n2110_001:0490b12	九箴篇第六氣為道本篇第七信毀	九 箴 篇 第 六 氣 為 道 本 篇 第 七 信 毀 
T52n2110_001:0490b13	交報篇第八(卷第七)品藻眾書篇第九	交 報 篇 第 八 卷 第 七 品 藻 眾 書 篇 第 九 
T52n2110_001:0490b14	出道偽謬篇第十(卷第八)歷世相承篇	出 道 偽 謬 篇 第 十 卷 第 八 歷 世 相 承 篇 
T52n2110_001:0490b15	第十一歸心有地篇第十二	第 十 一 歸 心 有 地 篇 第 十 二 
T52n2110_001:0490b16	三教治道篇第一(上)	三 教 治 道 篇 第 一 上 
T52n2110_001:0490b17	有上庠公子問於古學通人曰。蓋聞。氣象變	有 上 庠 公 子 問 於 古 學 通 人 曰 蓋 聞 氣 象 變 
T52n2110_001:0490b18	通莫過乎陰陽。埏埴覆燾莫過乎天地。尋夫	通 莫 過 乎 陰 陽 埏 埴 覆 燾 莫 過 乎 天 地 尋 夫 
T52n2110_001:0490b19	五運未形本無人物(易鉤命決云。天地未分之前。有太易。有太初有太始。有太素。	五 運 未 形 本 無 人 物 易 鉤 命 決 云 天 地 未 分 之 前 有 太 易 有 太 初 有 太 始 有 太 素 
T52n2110_001:0490b20	有太極。為五運也。氣象未形謂之太易。元氣始萌謂之太初。氣形之端謂之太始。形變有質謂之太素。質形已具	有 太 極 為 五 運 也 氣 象 未 形 謂 之 太 易 元 氣 始 萌 謂 之 太 初 氣 形 之 端 謂 之 太 始 形 變 有 質 謂 之 太 素 質 形 已 具 
T52n2110_001:0490b21	謂之太極。轉變五氣故稱五運。言氣形質具而未相離。皆	謂 之 太 極 轉 變 五 氣 故 稱 五 運 言 氣 形 質 具 而 未 相 離 皆 
T52n2110_001:0490b22	太易之名有五種也。爾時空虛。未有人物也)三才既立乃敘尊卑(乾鑿度云。太	太 易 之 名 有 五 種 也 爾 時 空 虛 未 有 人 物 也 三 才 既 立 乃 敘 尊 卑 乾 鑿 度 云 太 
