X26n0543_001:0830b17	心經提綱	心 經 提 綱 
X26n0543_001:0830b19	明　李卓吾　撰	明 李 卓 吾 撰 
X26n0543_001:0830b20	心經者。佛說心之徑要也。心本無有。而世人妄以為	心 經 者 佛 說 心 之 徑 要 也 心 本 無 有 而 世 人 妄 以 為 
X26n0543_001:0830b21	有。亦無無。而學者執以為無。有無分而能所立。是自	有 亦 無 無 而 學 者 執 以 為 無 有 無 分 而 能 所 立 是 自 
X26n0543_001:0830b22	罣礙也。自恐怖也。自顛倒也。安得自在。獨不觀於自	罣 礙 也 自 恐 怖 也 自 顛 倒 也 安 得 自 在 獨 不 觀 於 自 
X26n0543_001:0830b23	在菩薩乎。彼其智慧行深。既到自在彼岸矣。斯時也。	在 菩 薩 乎 彼 其 智 慧 行 深 既 到 自 在 彼 岸 矣 斯 時 也 
X26n0543_001:0830b24	自然照見色受想行識五蘊皆空。本無生死可得。故	自 然 照 見 色 受 想 行 識 五 蘊 皆 空 本 無 生 死 可 得 故 
X26n0543_001:0830c01	能出離生死苦海。而度脫一切苦厄焉。此一經之總	能 出 離 生 死 苦 海 而 度 脫 一 切 苦 厄 焉 此 一 經 之 總 
X26n0543_001:0830c02	要也。下文重重說破皆以明此。故遂呼而告之曰。舍	要 也 下 文 重 重 說 破 皆 以 明 此 故 遂 呼 而 告 之 曰 舍 
X26n0543_001:0830c03	利子。勿謂吾說空便即著空也。如我說色不異於空	利 子 勿 謂 吾 說 空 便 即 著 空 也 如 我 說 色 不 異 於 空 
X26n0543_001:0830c04	也。如我說空不異於色也。然但言不異。猶是二物有	也 如 我 說 空 不 異 於 色 也 然 但 言 不 異 猶 是 二 物 有 
X26n0543_001:0830c05	對。雖復合而為一。猶存一也。其實我所說色。即是說	對 雖 復 合 而 為 一 猶 存 一 也 其 實 我 所 說 色 即 是 說 
X26n0543_001:0830c06	空。色之外無空矣。我所說空。即是說色。空之外無色	空 色 之 外 無 空 矣 我 所 說 空 即 是 說 色 空 之 外 無 色 
X26n0543_001:0830c07	矣。非但無色。而亦無空。此真空也。故又呼而告之曰。	矣 非 但 無 色 而 亦 無 空 此 真 空 也 故 又 呼 而 告 之 曰 
