X68n1319_001:0523c06	 御製總序	 御 製 總 序 
X68n1319_001:0523c08	如來正法眼藏。教外別傳。實有透三關之理。是真語	如 來 正 法 眼 藏 教 外 別 傳 實 有 透 三 關 之 理 是 真 語 
X68n1319_001:0523c09	者．是實語者．不妄語者．不誑語者。有志於道之人。則	者 是 實 語 者 不 妄 語 者 不 誑 語 者 有 志 於 道 之 人 則 
X68n1319_001:0523c10	須勤參力究。由一而三。步步皆有著落。非可顢頇函	須 勤 參 力 究 由 一 而 三 步 步 皆 有 著 落 非 可 顢 頇 函 
X68n1319_001:0523c11	胡。自欺欺人。朕既深明此事。不惜話墮。逐一指明。　夫	胡 自 欺 欺 人 朕 既 深 明 此 事 不 惜 話 墮 逐 一 指 明 夫 
X68n1319_001:0523c12	學人初登解脫之門。乍釋業繫之苦。覺山河大地。十	學 人 初 登 解 脫 之 門 乍 釋 業 繫 之 苦 覺 山 河 大 地 十 
X68n1319_001:0523c13	方虗空並皆消殞。不為從上古錐舌頭之所瞞。識得	方 虗 空 並 皆 消 殞 不 為 從 上 古 錐 舌 頭 之 所 瞞 識 得 
X68n1319_001:0523c14	現在七尺之軀不過地水火風。自然徹底清淨。不挂	現 在 七 尺 之 軀 不 過 地水火風 自 然 徹 底 清 淨 不 挂 
X68n1319_001:0523c15	一絲。是則名為初步破參。前後際斷者。破本參後。乃	一 絲 是 則 名 為 初 步 破 參 前後際斷 者 破 本 參 後 乃 
X68n1319_001:0523c16	知山者山。河者河。大地者大地。十方虗空者十方虗	知 山 者 山 河 者 河 大 地 者 大 地 十 方 虗 空 者 十 方 虗 
X68n1319_001:0523c17	空。地水火風者地水火屬。乃至無明者無明。煩惱者	空 地水火風 者 地 水 火 屬 乃 至 無 明 者 無 明 煩 惱 者 
X68n1319_001:0523c18	煩惱。色聲香味觸法者色聲香味觸法。盡是本分。皆	煩 惱 色聲香味觸 法 者 色聲香味觸 法 盡 是 本 分 皆 
X68n1319_001:0523c19	是菩提。無一物非我身。無一物是我己。境智融通。色	是 菩 提 無 一 物 非 我 身 無 一 物 是 我 己 境 智 融 通 色 
X68n1319_001:0523c20	空無礙。獲大自在。常住不動。是則名為透重關。名為	空 無 礙 獲 大 自 在 常 住 不 動 是 則 名 為 透 重 關 名 為 
X68n1319_001:0523c21	大死大活者。　透重關後。家舍即在途中。途中不離家	大 死 大 活 者 透 重 關 後 家 舍 即 在 途 中 途 中 不 離 家 
X68n1319_001:0523c22	舍。明頭也合。暗頭也合。寂即是照。照即是寂。行斯住	舍 明 頭 也 合 暗 頭 也 合 寂 即 是 照 照 即 是 寂 行 斯 住 
X68n1319_001:0523c23	斯。體斯用斯。空斯有斯。古斯今斯。無生故長生。無滅	斯 體 斯 用 斯 空 斯 有 斯 古 斯 今 斯 無 生 故 長 生 無 滅 
X68n1319_001:0523c24	故不滅。如斯惺惺行履。無明執著自然消落。方能踏	故 不 滅 如 斯 惺 惺 行 履 無 明 執 著 自 然 消 落 方 能 踏 
X68n1319_001:0524a01	末後一關。雖云透三關。而實無透者。不過如來如是。	末 後 一 關 雖 云 透 三 關 而 實 無 透 者 不 過 如 來 如 是 
X68n1319_001:0524a02	我亦如是。從茲方修無修。證無證。妙覺普明。圓照法	我 亦 如 是 從 茲 方 修 無 修 證 無 證 妙 覺 普 明 圓 照 法 
X68n1319_001:0524a03	界。一為無量。無量為一。大中現小。小中現大。坐微塵	界 一 為 無 量 無 量 為 一 大 中 現 小 小 中 現 大 坐 微 塵 
X68n1319_001:0524a04	裏轉大法輪。於一毫端現寶王剎。救拔眾生。利用無	裏 轉 大 法 輪 於 一 毫 端 現 寶 王 剎 救 拔 眾 生 利 用 無 
X68n1319_001:0524a05	盡。佛佛祖祖皆為此一大事因緣出現於世。達摩西	盡 佛 佛 祖 祖 皆 為 此 一 大 事 因 緣 出 現 於 世 達 摩 西 
X68n1319_001:0524a06	來。歷代授受。古德傳燈。無盡光中。大圓鏡裏。日往月	來 歷 代 授 受 古 德 傳 燈 無 盡 光 中 大 圓 鏡 裏 日 往 月 
X68n1319_001:0524a07	來。以至於今。　雖然廣大法門。聖凡並托。華嚴香海。細	來 以 至 於 今 雖 然 廣 大 法 門 聖 凡 並 托 華 嚴 香 海 細 
X68n1319_001:0524a08	鉅同歸。得骨得髓者固多。如麻如粟者何限。去聖遙	鉅 同 歸 得 骨 得 髓 者 固 多 如 麻 如 粟 者 何 限 去 聖 遙 
X68n1319_001:0524a09	遠。魔外益繁。不達佛心。妄參祖席。金山泥封。慧日雲	遠 魔 外 益 繁 不 達 佛 心 妄 參 祖 席 金 山 泥 封 慧 日 雲 
X68n1319_001:0524a10	蔽。約其訛謬。亦有三端。其上者。纔見根塵互引。法界	蔽 約 其 訛 謬 亦 有 三 端 其 上 者 纔 見 根 塵 互 引 法 界 
X68n1319_001:0524a11	相生。意識紛飛。無非幻妄。頓生歡喜。謂是真常。休去	相 生 意 識 紛 飛 無 非 幻 妄 頓 生 歡 喜 謂 是 真 常 休 去 
X68n1319_001:0524a12	歇去。以空為空。不知性海無邊。化城無住。果能見性。	歇 去 以 空 為 空 不 知 性 海 無 邊 化 城 無 住 果 能 見 性 
X68n1319_001:0524a13	當下無心。心既見空。即未見性。於是形同槁木。心等	當 下 無 心 心 既 見 空 即 未 見 性 於 是 形 同 槁 木 心 等 
X68n1319_001:0524a14	死灰。萬有到前。一空不敵。縱能立亡坐脫。仍是業識	死 灰 萬 有 到 前 一 空 不 敵 縱 能 立 亡 坐 脫 仍 是 業 識 
X68n1319_001:0524a15	精魂。況乃固執斷見。必至變作狂華。謂因果之皆空。	精 魂 況 乃 固 執 斷 見 必 至 變 作 狂 華 謂 因 果 之 皆 空 
X68n1319_001:0524a16	恣猖狂而不返。豈非一妄在心。恒沙生滅。能不造生	恣 猖 狂 而 不 返 豈 非 一 妄 在 心 恒 沙 生 滅 能 不 造 生 
X68n1319_001:0524a17	死業。斷菩提根。　又其下者。見得箇昭昭靈靈。便謂是	死 業 斷 菩 提 根 又 其 下 者 見 得 箇 昭 昭 靈 靈 便 謂 是 
X68n1319_001:0524a18	無位真人。面門出入。揚眉瞬目。豎指擎拳。作識神之	無 位 真 人 面 門 出 入 揚 眉 瞬 目 豎 指 擎 拳 作 識 神 之 
X68n1319_001:0524a19	活計。張日下之孤燈。寶魚目為明珠。覓栴檀於糞土。	活 計 張 日 下 之 孤 燈 寶 魚 目 為 明 珠 覓 栴 檀 於 糞 土 
X68n1319_001:0524a20	噙著鐵丸。口稱玉液。到得臘盡機除時。方知依舊是	噙 著 鐵 丸 口 稱 玉 液 到 得 臘 盡 機 除 時 方 知 依 舊 是 
X68n1319_001:0524a21	箇茫茫無據。　又其下者。從經教語錄中挂取葛藤。從	箇 茫 茫 無 據 又 其 下 者 從 經 教 語 錄 中 挂 取 葛 藤 從 
X68n1319_001:0524a22	諸方舉揚處拾人涕唾。發狂亂之知見。翳於自心。立	諸 方 舉 揚 處 拾 人 涕 唾 發 狂 亂 之 知 見 翳 於 自 心 立 
X68n1319_001:0524a23	幻化之色聲作為實法。向真如境上鼓動心機。於無	幻 化 之 色 聲 作 為 實 法 向 真 如 境 上 鼓 動 心 機 於 無 
