T85n2761_001:0253b02	勝鬘義記	勝 鬘 義 記 
T85n2761_001:0253b04	無盡明應身無窮智□□□者。明法身無	無 盡 明 應 身 無 窮 智 者 明 法 身 無 
T85n2761_001:0253b05	盡也。一切法常住者。十力無畏等法也。心	盡 也 一 切 法 常 住 者 十 力 無 畏 等 法 也 心 
T85n2761_001:0253b06	過惡身四種者。釋所以得常立心無諸惱身	過 惡 身 四 種 者 釋 所 以 得 常 立 心 無 諸 惱 身 
T85n2761_001:0253b07	無生老病死也。知一切爾炎者。漢言境界。	無 生老病死 也 知 一 切 爾 炎 者 漢 言 境 界 
T85n2761_001:0253b08	攝持一切法者。是萬善也。除眾過惡者。達	攝 持 一 切 法 者 是 萬 善 也 除 眾 過 惡 者 達 
T85n2761_001:0253b09	知法總備諸善法。具此三義故得常也。我	知 法 總 備 諸 善 法 具 此 三 義 故 得 常 也 我 
T85n2761_001:0253b10	久安立汝一偈。是佛說。我以作功德。復是	久 安 立 汝 一 偈 是 佛 說 我 以 作 功 德 復 是 
T85n2761_001:0253b11	勝鬘說前請護身此護法。即為說授記者。既	勝 鬘 說 前 請 護 身 此 護 法 即 為 說 授 記 者 既 
T85n2761_001:0253b12	有敬美之功。又復禮請。乞如來欲令修行	有 敬 美 之 功 又 復 禮 請 乞 如 來 欲 令 修 行 
T85n2761_001:0253b13	萬善故便記之焉。自在王者。記其因中之勝	萬 善 故 便 記 之 焉 自 在 王 者 記 其 因 中 之 勝 
T85n2761_001:0253b14	果。常作自在天王者也。無量阿僧祇佛者。記	果 常 作 自 在 天 王 者 也 無量阿僧祇 佛 者 記 
T85n2761_001:0253b15	應待修行也。號普光者。記名字也。如來正遍	應 待 修 行 也 號 普 光 者 記 名 字 也 如 來 正 遍 
T85n2761_001:0253b16	知者。記德號也。無有惡趣者。記國土弟子也。	知 者 記 德 號 也 無 有 惡 趣 者 記 國 土 弟 子 也 
T85n2761_001:0253b17	略記五事。	略 記 五 事 
T85n2761_001:0253b18	受十大受者。是第二經名也。上受是人下受	受 十 大 受 者 是 第 二 經 名 也 上 受 是 人 下 受 
T85n2761_001:0253b19	是法。人有能受。法有可受故。受為名也。十名	是 法 人 有 能 受 法 有 可 受 故 受 為 名 也 十 名 
T85n2761_001:0253b20	攝萬故名為大也。於萬為略。於一為廣也。十	攝 萬 故 名 為 大 也 於 萬 為 略 於 一 為 廣 也 十 
T85n2761_001:0253b21	受大泮凡有二種。一者自行二者化人。初五	受 大 泮 凡 有 二 種 一 者 自 行 二 者 化 人 初 五 
T85n2761_001:0253b22	受及第十受是自行。中間四受是化人也。復	受 及 第 十 受 是 自 行 中 間 四 受 是 化 人 也 復 
T85n2761_001:0253b23	有二義。一別二總。九別十總也。以不愛染心	有 二 義 一 別 二 總 九 別 十 總 也 以 不 愛 染 心 
T85n2761_001:0253b24	者。不捨疎逐親。無厭足心者樂常說法。無礙	者 不 捨 疎 逐 親 無 厭 足 心 者 樂 常 說 法 無 礙 
T85n2761_001:0253b25	心者。有請便說。彼彼處者。在在所也。應折伏	心 者 有 請 便 說 彼 彼 處 者 在 在 所 也 應 折 伏 
T85n2761_001:0253b26	者。威力制之也。應攝受者。濡語化之。令法	者 威 力 制 之 也 應 攝 受 者 濡 語 化 之 令 法 
T85n2761_001:0253b27	久住者。二法調眾生。佛法得久住天人充滿	久 住 者 二 法 調 眾 生 佛 法 得 久 住 天 人 充 滿 
T85n2761_001:0253b28	者。善趣增益也。為此二利不捨而化之。忘失	者 善 趣 增 益 也 為 此 二 利 不 捨 而 化 之 忘 失 
T85n2761_001:0253b29	法者。則忘失大乘人法。總以凡有五義。一	法 者 則 忘 失 大 乘 人 法 總 以 凡 有 五 義 一 
T85n2761_001:0253c01	名正法欲。二名攝受正法。三名欲作大乘。四	名 正 法 欲 二 名 攝受正法 三 名 欲 作 大 乘 四 
T85n2761_001:0253c02	名波羅蜜。五名大乘造善之始。必得好欲之	名 波 羅 蜜 五 名 大 乘 造 善 之 始 必 得 好 欲 之 
T85n2761_001:0253c03	心有欲心已便攝受在已攝在已已欲持作大	心 有 欲 心 已 便 攝 受 在 已 攝 在 已 已 欲 持 作 大 
T85n2761_001:0253c04	乘。作大乘已知能到果已知有運載。勝鬘自	乘 作 大 乘 已 知 能 到 果 已 知 有 運 載 勝 鬘 自 
T85n2761_001:0253c05	明必能具行成就五義。是以稱言終不忘失。	明 必 能 具 行 成 就 五 義 是 以 稱 言 終 不 忘 失 
T85n2761_001:0253c06	欲明行人失善。是故從始失終。從終失始。中	欲 明 行 人 失 善 是 故 從 始 失 終 從 終 失 始 中 
T85n2761_001:0253c07	間次第明其失義。忘失法者明則忘失大乘	間 次 第 明 其 失 義 忘 失 法 者 明 則 忘 失 大 乘 
T85n2761_001:0253c08	者。此明失始忘終。所以不言欲者。以攝受之	者 此 明 失 始 忘 終 所 以 不 言 欲 者 以 攝 受 之 
T85n2761_001:0253c09	名在十受中故。明已則舉之。不決定大乘者	名 在 十 受 中 故 明 已 則 舉 之 不 決 定 大 乘 者 
