X63n1234_001:0167c06	臨濟宗旨	臨 濟 宗 旨 
X63n1234_001:0167c08	明白庵居沙門　慧洪　撰	明 白 庵 居 沙 門 慧 洪 撰 
X63n1234_001:0167c09	汾陽昭禪師示眾曰。先聖云。一句語須具三玄。一玄	汾 陽 昭 禪 師 示 眾 曰 先 聖 云 一 句 語 須 具 三 玄 一 玄 
X63n1234_001:0167c10	中須具三要。阿那箇是三玄三要底句。快會取好。各	中 須 具 三 要 阿 那 箇 是 三 玄 三 要 底 句 快 會 取 好 各 
X63n1234_001:0167c11	自思量。還得穩當也未。古德已前行脚。聞一箇因緣	自 思 量 還 得 穩 當 也 未 古 德 已 前 行 脚 聞 一 箇 因 緣 
X63n1234_001:0167c12	未明。中間直下飲食無味睡臥不安。火急決擇。豈將	未 明 中 間 直 下 飲 食 無 味 睡 臥 不 安 火 急 決 擇 豈 將 
X63n1234_001:0167c13	為小事。所以大覺老人為一大事因緣出現於世。想	為 小 事 所 以 大 覺 老 人 為 一 大 事 因 緣 出 現 於 世 想 
X63n1234_001:0167c14	計他從上來行脚。不為游山翫水。看州府奢華。片衣	計 他 從 上 來 行 脚 不 為 游 山 翫 水 看 州 府 奢 華 片 衣 
X63n1234_001:0167c15	口食皆為聖心未通。所以驅馳行脚。決擇深奧。傳唱	口 食 皆 為 聖 心 未 通 所 以 驅 馳 行 脚 決 擇 深 奧 傳 唱 
X63n1234_001:0167c16	敷揚。愽問先知。親近高德。盖為續佛心燈。紹隆佛種	敷 揚 愽 問 先 知 親 近 高 德 盖 為 續 佛 心 燈 紹 隆 佛 種 
X63n1234_001:0167c17	祖代。興崇聖種。接引後機。自利利他。不忘先迹。如今	祖 代 興 崇 聖 種 接 引 後 機 自利利他 不 忘 先 迹 如 今 
X63n1234_001:0167c18	還有商量者麼。有即出來大家商量。僧問如何是接	還 有 商 量 者 麼 有 即 出 來 大 家 商 量 僧 問 如 何 是 接 
X63n1234_001:0167c19	初機底句。答曰汝是行脚僧。又問如何是辨衲僧底	初 機 底 句 答 曰 汝 是 行 脚 僧 又 問 如 何 是 辨 衲 僧 底 
X63n1234_001:0167c20	句。答曰西方日出卯。又問如何是正令行底句。答曰	句 答 曰 西 方 日 出 卯 又 問 如 何 是 正 令 行 底 句 答 曰 
X63n1234_001:0167c21	千里持來呈舊面。又問如何是立乾坤底句。答曰。北	千 里 持 來 呈 舊 面 又 問 如 何 是 立 乾 坤 底 句 答 曰 北 
X63n1234_001:0167c22	俱盧州長粳米。食者無嗔亦無喜。師曰。只將此四轉	俱 盧 州 長 粳 米 食 者 無 嗔 亦 無 喜 師 曰 只 將 此 四 轉 
X63n1234_001:0167c23	語驗天下衲僧。纔見汝出來驗得了也。僧問如何是	語 驗 天 下 衲 僧 纔 見 汝 出 來 驗 得 了 也 僧 問 如 何 是 
X63n1234_001:0167c24	學人著力處。答曰嘉州打大像。問如何是學人轉身	學 人 著 力 處 答 曰 嘉 州 打 大 像 問 如 何 是 學 人 轉 身 
X63n1234_001:0168a01	處。答曰陝府灌鐵牛。問如何是學人親切處。答曰西	處 答 曰 陝 府 灌 鐵 牛 問 如 何 是 學 人 親 切 處 答 曰 西 
X63n1234_001:0168a02	河弄師子。師曰。若人會此三句。已辨三玄。更有三要	河 弄 師 子 師 曰 若 人 會 此 三 句 已 辨 三 玄 更 有 三 要 
X63n1234_001:0168a03	語在。切在薦取。不是等閑。與大眾頌出曰。三玄三要	語 在 切 在 薦 取 不 是 等 閑 與 大 眾 頌 出 曰 三 玄 三 要 
X63n1234_001:0168a04	事難分。得意忘言道易親。一句明明該萬象。重陽九	事 難 分 得 意 忘 言 道 易 親 一 句 明 明 該 萬 象 重 陽 九 
X63n1234_001:0168a05	日菊花新。還會麼。恁麼會得不是性燥衲僧。作麼生	日 菊 花 新 還 會 麼 恁 麼 會 得 不 是 性 燥 衲 僧 作 麼 生 
X63n1234_001:0168a06	會好。又舉三玄語曰。汝還會三玄底時節麼。直須會	會 好 又 舉 三 玄 語 曰 汝 還 會 三 玄 底 時 節 麼 直 須 會 
X63n1234_001:0168a07	取古人意旨。然後自心明去。更得通變。自枉受用無	取 古 人 意 旨 然 後 自 心 明 去 更 得 通 變 自 枉 受 用 無 
X63n1234_001:0168a08	窮。喚作自受用身佛。不從他教便識得自家活計。所	窮 喚 作 自 受 用 身 佛 不 從 他 教 便 識 得 自 家 活 計 所 
X63n1234_001:0168a09	以南泉曰。王老師十八上解作活計。僧便問。古人十	以 南 泉 曰 王 老 師 十 八 上 解 作 活 計 僧 便 問 古 人 十 
X63n1234_001:0168a10	八上解作活計。未審作箇什麼活計。答曰。兩隻水牯	八 上 解 作 活 計 未 審 作 箇 什 麼 活 計 答 曰 兩 隻 水 牯 
X63n1234_001:0168a11	牛。雙角無[櫚呂+貝]棬。復云。若要於此明得去。直須得三玄	牛 雙 角 無 [櫚呂貝] 棬 復 云 若 要 於 此 明 得 去 直 須 得 三 玄 
X63n1234_001:0168a12	旨趣。始得受用無礙。自家慶快。以暢平生。大丈夫漢	旨 趣 始 得 受 用 無 礙 自 家 慶 快 以 暢 平 生 大 丈 夫 漢 
X63n1234_001:0168a13	莫教自辜。觸事不通。彼無利濟。與汝一切頌出曰。第	莫 教 自 辜 觸 事 不 通 彼 無 利 濟 與 汝 一 切 頌 出 曰 第 
X63n1234_001:0168a14	一玄。法界廣無邊。森羅及萬象。總在鏡中圓。第二玄。	一 玄 法 界 廣 無 邊 森 羅 及 萬 象 總 在 鏡 中 圓 第 二 玄 
X63n1234_001:0168a15	釋尊問阿難。多聞隨事答。應器量方圓。第三玄。直出	釋 尊 問 阿 難 多 聞 隨 事 答 應 器 量 方 圓 第 三 玄 直 出 
X63n1234_001:0168a16	古皇前。四句百非外。閭氏問豐干。師乃曰。這箇是三	古 皇 前 四 句 百 非 外 閭 氏 問 豐 干 師 乃 曰 這 箇 是 三 
X63n1234_001:0168a17	玄底頌。作麼生是三玄底旨趣。直教決擇分明。莫只	玄 底 頌 作 麼 生 是 三 玄 底 旨 趣 直 教 決 擇 分 明 莫 只 
X63n1234_001:0168a18	與麼望空裏妄解道。我曾親近和尚來。與我說了。脫	與 麼 望 空 裏 妄 解 道 我 曾 親 近 和 尚 來 與 我 說 了 脫 
X63n1234_001:0168a19	空漫語誑嚇他人。喫鐵棒有日。莫言不道。又因採菊	空 漫 語 誑 嚇 他 人 喫 鐵 棒 有 日 莫 言 不 道 又 因 採 菊 
X63n1234_001:0168a20	謂眾曰。金花布地玉蘂承天。杲日當空乾坤朗耀。雲	謂 眾 曰 金 花 布 地 玉 蘂 承 天 杲 日 當 空 乾 坤 朗 耀 雲 
X63n1234_001:0168a21	騰致雨露結為霜。不傷物義。道將一句來。還有道得	騰 致 雨 露 結 為 霜 不 傷 物 義 道 將 一 句 來 還 有 道 得 
X63n1234_001:0168a22	底麼。若道不得。眼中有屑。直須出却始得。所以風穴	底 麼 若 道 不 得 眼 中 有 屑 直 須 出 却 始 得 所 以 風 穴 
X63n1234_001:0168a23	云。若立一塵。家國興盛野老顰蹙。不立一塵。家國喪	云 若 立 一 塵 家 國 興 盛 野 老 顰 蹙 不 立 一 塵 家 國 喪 
X63n1234_001:0168a24	亡野老安貼。於此明去。闍梨無分全是老僧。於此不	亡 野 老 安 貼 於 此 明 去 闍 梨 無 分 全 是 老 僧 於 此 不 
X63n1234_001:0168b01	明。老僧即是闍梨。闍梨與老僧亦能悟却天下人。亦	明 老 僧 即 是 闍 梨 闍 梨 與 老 僧 亦 能 悟 却 天 下 人 亦 
X63n1234_001:0168b02	能瞎却天下人。要知老僧與闍梨麼。拊其膝曰。這裏	能 瞎 却 天 下 人 要 知 老 僧 與 闍 梨 麼 拊 其 膝 曰 這 裏 
X63n1234_001:0168b03	是闍梨。這裏是老僧。且問諸上座。老僧與闍梨是同	是 闍 梨 這 裏 是 老 僧 且 問 諸 上 座 老 僧 與 闍 梨 是 同 
X63n1234_001:0168b04	是別。若道是同去。上座自上座。老僧自老僧。若道是	是 別 若 道 是 同 去 上 座 自 上 座 老 僧 自 老 僧 若 道 是 
X63n1234_001:0168b05	別去。又道老僧即是闍梨。若能於此明得去。一句中	別 去 又 道 老 僧 即 是 闍 梨 若 能 於 此 明 得 去 一 句 中 
X63n1234_001:0168b06	有三玄三要。賓主歷然。平生事辦。參尋事畢。所以永	有 三 玄 三 要 賓 主 歷 然 平 生 事 辦 參 尋 事 畢 所 以 永 
X63n1234_001:0168b07	嘉曰。粉骨碎身未足酬。一句了然超百億。又曰。臨濟	嘉 曰 粉 骨 碎 身 未 足 酬 一 句 了 然 超 百 億 又 曰 臨 濟 
X63n1234_001:0168b08	兩堂首座。一日相見齊下喝。僧問臨濟。還有賓主也	兩 堂 首 座 一 日 相 見 齊 下 喝 僧 問 臨 濟 還 有 賓 主 也 
X63n1234_001:0168b09	無。答曰賓主歷然。師作偈曰。兩堂首座總作家。其中	無 答 曰 賓 主 歷 然 師 作 偈 曰 兩 堂 首 座 總 作 家 其 中 
X63n1234_001:0168b10	道理有分拏。賓主歷然明似鏡。宗師為點眼中花。無	道 理 有 分 拏 賓 主 歷 然 明 似 鏡 宗 師 為 點 眼 中 花 無 
X63n1234_001:0168b11	盡居士謂予曰。汾陽臨濟五世之嫡孫。天下學者宗	盡 居 士 謂 予 曰 汾 陽 臨 濟 五 世 之 嫡 孫 天 下 學 者 宗 
X63n1234_001:0168b12	仰。觀其提綱渠渠。唯論三玄三要。今其法派皆以謂	仰 觀 其 提 綱 渠 渠 唯 論 三 玄 三 要 今 其 法 派 皆 以 謂 
X63n1234_001:0168b13	三玄三要一期建立之語無益於道。但於諸法不生	三 玄 三 要 一 期 建 立 之 語 無 益 於 道 但 於 諸 法 不 生 
X63n1234_001:0168b14	異見。一切平常即長祖意。其說是否。予曰。居士聞其	異 見 一 切 平 常 即 長 祖 意 其 說 是 否 予 曰 居 士 聞 其 
X63n1234_001:0168b15	說曉然了解。寧復疑汾陽提綱乎。曰吾固疑而未決	說 曉 然 了 解 寧 復 疑 汾 陽 提 綱 乎 曰 吾 固 疑 而 未 決 
X63n1234_001:0168b16	也。予曰。此其三玄三要之所以設也。所言一句中具	也 予 曰 此 其 三 玄 三 要 之 所 以 設 也 所 言 一 句 中 具 
X63n1234_001:0168b17	三玄。一玄中具三要。有玄有要者。一切眾生熱惱海	三 玄 一 玄 中 具 三 要 有 玄 有 要 者 一 切 眾 生 熱 惱 海 
X63n1234_001:0168b18	中清涼寂滅法幢也。此幢之建。譬如塗毒之鼓撾之。	中 清 涼 寂 滅 法 幢 也 此 幢 之 建 譬 如 塗 毒 之 鼓 撾 之 
X63n1234_001:0168b19	則聞者皆死。唯遠聞者後死。若不橫死者。雖聞不死。	則 聞 者 皆 死 唯 遠 聞 者 後 死 若 不 橫 死 者 雖 聞 不 死 
X63n1234_001:0168b20	臨濟無恙時。興化三聖保壽定上座輩聞而死者。今	臨 濟 無 恙 時 興 化 三 聖 保 壽 定 上 座 輩 聞 而 死 者 今 
X63n1234_001:0168b21	百餘年猶有悟其旨者。即後死者也。而諸法派謂無	百 餘 年 猶 有 悟 其 旨 者 即 後 死 者 也 而 諸 法 派 謂 無 
X63n1234_001:0168b22	益於道者。即不橫死者也。祖宗門風壁立萬仞。而子	益 於 道 者 即 不 橫 死 者 也 祖 宗 門 風 壁 立 萬 仞 而 子 
X63n1234_001:0168b23	孫畏之。喜行平易坦塗。此所謂法道陵夷也。譬如衣	孫 畏 之 喜 行 平 易 坦 塗 此 所 謂 法 道 陵 夷 也 譬 如 衣 
X63n1234_001:0168b24	冠。稱孔門弟子而毀易繫辭。三尺童子笑之。臨濟但	冠 稱 孔 門 弟 子 而 毀 易 繫 辭 三 尺 童 子 笑 之 臨 濟 但 
