X54n0873_001:0330a03	 肇論序	 肇 論 序 
X54n0873_001:0330a05	慧達率愚序長安釋僧肇法師所作宗本不遷等四	慧 達 率 愚 序 長 安 釋 僧 肇 法 師 所 作 宗 本 不 遷 等 四 
X54n0873_001:0330a06	論曰。有美若人。超語兼默。標本則句句深達佛心。明	論 曰 有 美 若 人 超 語 兼 默 標 本 則 句 句 深 達 佛 心 明 
X54n0873_001:0330a07	末則言言備通眾教。達。猥生天幸。逢此正音。每至披	末 則 言 言 備 通 眾 教 達 猥 生 天 幸 逢 此 正 音 每 至 披 
X54n0873_001:0330a08	尋。不勝手舞。誓願生生盡命弘述。夫神道不形。心敏	尋 不 勝 手 舞 誓 願 生 生 盡 命 弘 述 夫 神 道 不 形 心 敏 
X54n0873_001:0330a09	難繪。聊寄一序。請俟來哲。蓋大分深義。厥號本無。故	難 繪 聊 寄 一 序 請 俟 來 哲 蓋 大 分 深 義 厥 號 本 無 故 
X54n0873_001:0330a10	建言宗旨。標乎實相。開空法道。莫逾真俗。所以次釋	建 言 宗 旨 標 乎 實 相 開 空 法 道 莫 逾 真 俗 所 以 次 釋 
X54n0873_001:0330a11	二諦。顯佛教門。但圓正之因。無尚般若。至極之果。唯	二 諦 顯 佛 教 門 但 圓 正 之 因 無 尚 般 若 至 極 之 果 唯 
X54n0873_001:0330a12	有涅槃。故末啟重玄。明眾聖之所宅。雖以性空擬本。	有 涅 槃 故 末 啟 重 玄 明 眾 聖 之 所 宅 雖 以 性 空 擬 本 
X54n0873_001:0330a13	無本可稱。語本絕言。非心行處。然則不遷當俗。俗則	無 本 可 稱 語 本 絕 言 非 心 行 處 然 則 不 遷 當 俗 俗 則 
X54n0873_001:0330a14	不生。不真為真。真但名說。若能崇茲一道。無言二諦。	不 生 不 真 為 真 真 但 名 說 若 能 崇 茲 一 道 無 言 二 諦 
X54n0873_001:0330a15	斯則靜照之功著。故般若無知。無名之德興。而涅槃	斯 則 靜 照 之 功 著 故 般 若 無 知 無 名 之 德 興 而 涅 槃 
X54n0873_001:0330a16	不稱。余謂此說周圓。罄佛淵海。浩博無涯。窮法體相。	不 稱 余 謂 此 說 周 圓 罄 佛 淵 海 浩 博 無 涯 窮 法 體 相 
X54n0873_001:0330a17	洪論第一。肇公其人矣。	洪 論 第 一 肇 公 其 人 矣 
X54n0873_001:0330b03	肇論略注卷一	肇 論 略 注 卷 一 
X54n0873_001:0330b04	明匡山沙門憨山釋　德清　述	明 匡 山 沙 門 憨 山 釋 德 清 述 
X54n0873_001:0330b05	肇論	肇 論 
X54n0873_001:0330b06	肇。乃作者之名。曰僧肇。時稱肇公。論。乃所立之論。	肇 乃 作 者 之 名 曰 僧 肇 時 稱 肇 公 論 乃 所 立 之 論 
X54n0873_001:0330b07	蓋以人名論也。公為什門高弟。從譯場翻譯諸經。	蓋 以 人 名 論 也 公 為 什 門 高 弟 從 譯 場 翻 譯 諸 經 
X54n0873_001:0330b08	久參什師。深達實相。比因佛法西來甚少。大義未	久 參 什 師 深 達 實 相 比 因 佛 法 西 來 甚 少 大 義 未 
X54n0873_001:0330b09	暢。時人多尚老莊虗無之談。而沙門釋子亦相尚	暢 時 人 多 尚 老 莊 虗 無 之 談 而 沙 門 釋 子 亦 相 尚 
X54n0873_001:0330b10	之。多宗虗無以談佛義。各立為宗。如晉道恒。述無	之 多 宗 虗 無 以 談 佛 義 各 立 為 宗 如 晉 道 恒 述 無 
X54n0873_001:0330b11	心論。東晉道林。作即色遊玄論。晉竺法汰。作本無	心 論 東 晉 道 林 作 即 色 遊 玄 論 晉 竺 法 汰 作 本 無 
X54n0873_001:0330b12	論。皆墮相言無。都墮斷滅。公愍大道未明。故造此	論 皆 墮 相 言 無 都 墮 斷 滅 公 愍 大 道 未 明 故 造 此 
X54n0873_001:0330b13	四論。以破邪執。斯立言之本意也。論者。謂假立賓	四 論 以 破 邪 執 斯 立 言 之 本 意 也 論 者 謂 假 立 賓 
X54n0873_001:0330b14	主。徵析論量。以顯正理。摧破邪執。人法雙影。故曰	主 徵 析 論 量 以 顯 正 理 摧 破 邪 執 人 法 雙 影 故 曰 
X54n0873_001:0330b15	肇論。	肇 論 
X54n0873_001:0330b16	後秦長安釋僧肇作	後 秦 長 安 釋 僧 肇 作 
X54n0873_001:0330b17	苻堅有國。據關中。號為大秦。暨姚萇篡立。亦號為	苻 堅 有 國 據 關 中 號 為 大 秦 暨 姚 萇 篡 立 亦 號 為 
X54n0873_001:0330b18	秦。故史以前後別之。萇崩。其子興。嗣國。什師譯經。	秦 故 史 以 前 後 別 之 萇 崩 其 子 興 嗣 國 什 師 譯 經 
X54n0873_001:0330b19	當興之時。故公稱後秦。按公傳略云。法師僧肇。京	當 興 之 時 故 公 稱 後 秦 按 公 傳 略 云 法 師 僧 肇 京 
X54n0873_001:0330b20	兆人。幼家貧。為人傭書。遂博觀子史。志好虗玄。每	兆 人 幼 家 貧 為 人 傭 書 遂 博 觀 子 史 志 好 虗 玄 每 
X54n0873_001:0330b21	以老莊為心要。既而歎曰。美則美矣。然其栖神冥	以 老 莊 為 心 要 既 而 歎 曰 美 則 美 矣 然 其 栖 神 冥 
X54n0873_001:0330b22	累之方。猶未盡善。後見舊維摩經。歡喜頂受。乃曰	累 之 方 猶 未 盡 善 後 見 舊 維 摩 經 歡 喜 頂 受 乃 曰 
X54n0873_001:0330b23	始知所歸矣。因此出家。年二十為沙門。名震三輔。	始 知 所 歸 矣 因 此 出 家 年 二 十 為 沙 門 名 震 三 輔 
X54n0873_001:0330b24	什公在姑臧。肇走依之。什與語。驚曰法中龍象也。	什 公 在 姑 臧 肇 走 依 之 什 與 語 驚 曰 法 中 龍 象 也 
X54n0873_001:0330c01	及歸關中。詳定經論。四方學者。輻輳而至。設難交	及 歸 關 中 詳 定 經 論 四 方 學 者 輻 輳 而 至 設 難 交 
