T15n0608_001:0236c03	小道地經	小 道 地 經 
T15n0608_001:0236c05	後漢天竺三藏支曜譯	後 漢 天 竺 三 藏 支 曜 譯 
T15n0608_001:0236c06	道人求息，所以不得息者，有四因緣。何等為	道 人 求 息 所 以 不 得 息 者 有 四 因 緣 何 等 為 
T15n0608_001:0236c07	四？一者、怙其善，不曉護戒自欲身；二者、以不	四 一 者 怙 其 善 不 曉 護 戒 自 欲 身 二 者 以 不 
T15n0608_001:0236c08	護戒便黠意不生，以黠意不生便不知身，以	護 戒 便 黠 意 不 生 以 黠 意 不 生 便 不 知 身 以 
T15n0608_001:0236c09	不知身意便惑；三者、不解經，以不解經便不	不 知 身 意 便 惑 三 者 不 解 經 以 不 解 經 便 不 
T15n0608_001:0236c10	了了，以不了了意便疑；四者、不數校計命福	了 了 以 不 了 了 意 便 疑 四 者 不 數 校 計 命 福 
T15n0608_001:0236c11	日盡，心自可。用是四因緣故不得息。道人求	日 盡 心 自 可 用 是 四 因 緣 故 不 得 息 道 人 求 
T15n0608_001:0236c12	息，欲得息者，要當知坐行二事：一者、喘；二者、	息 欲 得 息 者 要 當 知 坐 行 二 事 一 者 喘 二 者 
T15n0608_001:0236c13	息。亦在二因緣：一者、為生；二者、為死。何等為	息 亦 在 二 因 緣 一 者 為 生 二 者 為 死 何 等 為 
T15n0608_001:0236c14	喘？何等為息？所起意生為喘，意止為息。何等	喘 何 等 為 息 所 起 意 生 為 喘 意 止 為 息 何 等 
T15n0608_001:0236c15	為生？何等為死？意滅為生，意起為死。要當先	為 生 何 等 為 死 意 滅 為 生 意 起 為 死 要 當 先 
T15n0608_001:0236c16	知是因緣，當那得分別知因緣所從起盡。事	知 是 因 緣 當 那 得 分 別 知 因 緣 所 從 起 盡 事 
T15n0608_001:0236c17	在四對。何等為四？一者、不知食、多食、不學、不	在 四 對 何 等 為 四 一 者 不 知 食 多 食 不 學 不 
T15n0608_001:0236c18	制，貪味過足；二者、意隨色，不諦校計多求自	制 貪 味 過 足 二 者 意 隨 色 不 諦 校 計 多 求 自 
T15n0608_001:0236c19	欲，為種苦本；三者、警意蓋起，多睡眠失本念	欲 為 種 苦 本 三 者 警 意 蓋 起 多 睡 眠 失 本 念 
T15n0608_001:0236c20	耶，向夢中種栽；四者、疑惑便惡日增，便兩	耶 向 夢 中 種 栽 四 者 疑 惑 便 惡 日 增 便 兩 
T15n0608_001:0236c21	舌墮非，妄瞋恚，身口不相應。為是故，不墮禪	舌 墮 非 妄 瞋 恚 身 口 不 相 應 為 是 故 不 墮 禪 
T15n0608_001:0236c22	棄，當那得近禪？常數思惟喘息生滅起盡，當	棄 當 那 得 近 禪 常 數 思 惟 喘 息 生 滅 起 盡 當 
T15n0608_001:0236c23	持何等意思惟分別？亦在四因緣：一者、近善	持 何 等 意 思 惟 分 別 亦 在 四 因 緣 一 者 近 善 
T15n0608_001:0236c24	知識；二者、識受語不妄；三者、貪誦經，晨夜習	知 識 二 者 識 受 語 不 妄 三 者 貪 誦 經 晨 夜 習 
T15n0608_001:0236c25	意；四者、守戒莫離法。息易得。	意 四 者 守 戒 莫 離 法 息 易 得 
T15n0608_001:0236c26	身有四病：或時地多，身不得安；或時水多，身	身 有 四 病 或 時 地 多 身 不 得 安 或 時 水 多 身 
T15n0608_001:0236c27	不得安；或時火多，身不得安；或時風多，身不	不 得 安 或 時 火 多 身 不 得 安 或 時 風 多 身 不 
T15n0608_001:0236c28	得安。此四得安，乃得身止。	得 安 此 四 得 安 乃 得 身 止 
T15n0608_001:0236c29	意有四病：一者、癡多，意不得止；二者、瞋恚多，	意 有 四 病 一 者 癡 多 意 不 得 止 二 者 瞋 恚 多 
T15n0608_001:0237a01	意不得止；三者、婬多，意不得止；四者、疑多，意	意 不 得 止 三 者 婬 多 意 不 得 止 四 者 疑 多 意 
T15n0608_001:0237a02	不得止。四事不安，意不得止。	不 得 止 四 事 不 安 意 不 得 止 
T15n0608_001:0237a03	息亦有四病：或時多求，息不得止；或時念多，	息 亦 有 四 病 或 時 多 求 息 不 得 止 或 時 念 多 
T15n0608_001:0237a04	息不得止；或時歡喜多，息不得止；或時喘多，	息 不 得 止 或 時 歡 喜 多 息 不 得 止 或 時 喘 多 
T15n0608_001:0237a05	息不得止。道人行道，離是因緣，便得定意。	息 不 得 止 道 人 行 道 離 是 因 緣 便 得 定 意 
T15n0608_001:0237a06	若身臃腫疥瘡肥盛，欲坐身不得安；或時食	若 身 臃 腫 疥 瘡 肥 盛 欲 坐 身 不 得 安 或 時 食 
T15n0608_001:0237a07	多，便火起，身不得安；或時飲多，便水起，身重	多 便 火 起 身 不 得 安 或 時 飲 多 便 水 起 身 重 
T15n0608_001:0237a08	目澁，身不得安；或時食多已復食，貪味過足，	目 澁 身 不 得 安 或 時 食 多 已 復 食 貪 味 過 足 
T15n0608_001:0237a09	不學不制，便風起不得安，亦謂少食。	不 學 不 制 便 風 起 不 得 安 亦 謂 少 食 
T15n0608_001:0237a10	若癡多，不宜數入眾人群聚，當先誦經，不宜	若 癡 多 不 宜 數 入 眾 人 群 聚 當 先 誦 經 不 宜 
T15n0608_001:0237a11	多聞好自守。若瞋恚多，不宜居家若少所有。	多 聞 好 自 守 若 瞋 恚 多 不 宜 居 家 若 少 所 有 
T15n0608_001:0237a12	若婬多，不宜觀伎樂及諸好色。若疑多，不宜	若 婬 多 不 宜 觀 伎 樂 及 諸 好 色 若 疑 多 不 宜 
T15n0608_001:0237a13	數聞好言善語，常自守思惟責對。若求多，常	數 聞 好 言 善 語 常 自 守 思 惟 責 對 若 求 多 常 
T15n0608_001:0237a14	當念不常，坐起著意。若念多，常當行證我所	當 念 不 常 坐 起 著 意 若 念 多 常 當 行 證 我 所 
