T85n2846_001:1298b09	祈願文	祈 願 文 
T85n2846_001:1298b11	處結壇五日每壇供僧。一七人散食燃燈。逐	處 結 壇 五 日 每 壇 供 僧 一 七 人 散 食 燃 燈 逐 
T85n2846_001:1298b12	夜唱大□□□□□。	夜 唱 大 
T85n2846_001:1298b13	　布壹疋。駝皮壹肋□□□□□□□□紙	 布 壹 疋 駝 皮 壹 肋 紙 
T85n2846_001:1298b14	壹帖□□□□□□□□。	壹 帖 
T85n2846_001:1298b15	右件結壇轉經供僧唱佛燃燈捨施所申意	右 件 結 壇 轉 經 供 僧 唱 佛 燃 燈 捨 施 所 申 意 
T85n2846_001:1298b16	□□□□□龍天八部護衛燉煌梵釋四王安	 龍 天 八 部 護 衛 燉 煌 梵 釋 四 王 安 
T85n2846_001:1298b17	民靜塞所□□□□□吉逐舊歲遠去他方應	民 靜 塞 所 吉 逐 舊 歲 遠 去 他 方 應 
T85n2846_001:1298b18	是嘉瑞嘉祥隨□□□□於□府中天。	是 嘉 瑞 嘉 祥 隨 於 府 中 天 
T85n2846_001:1298b19	帝主□衛大猷□□□而歸京。八表咸臻而	帝 主 衛 大 猷 而 歸 京 八 表 咸 臻 而 
T85n2846_001:1298b20	献欵。大王保位寵祿日新。等五岳而齊高。比	献 欵 大 王 保 位 寵 祿 日 新 等 五 岳 而 齊 高 比 
T85n2846_001:1298b21	□□□不替天。公主永泰竝桃李而芬芳。夫	 不 替 天 公 主 永 泰 竝 桃 李 而 芬 芳 夫 
T85n2846_001:1298b22	人又安以春花而恒茂□□□書俊□□□□	人 又 安 以 春 花 而 恒 茂 書 俊 
T85n2846_001:1298b23	之全才。諸幼郎君□□孝而許國。小娘子姊	之 全 才 諸 幼 郎 君 孝 而 許 國 小 娘 子 姊 
T85n2846_001:1298b24	妹丞妙治而居閨。合宅枝羅保歡顏而納慶。	妹 丞 妙 治 而 居 閨 合 宅 枝 羅 保 歡 顏 而 納 慶 
T85n2846_001:1298b25	然後□□□□□牧童賀　舜日之□□境康	然 後 牧 童 賀 舜 日 之 境 康 
T85n2846_001:1298b26	寧野老播　堯年之慶田祥。五稼千門倍。盈	寧 野 老 播 堯 年 之 慶 田 祥 五 稼 千 門 倍 盈 
T85n2846_001:1298b27	於東皐悉□□□廣收於南畝。朝庭奉使早	於 東 皐 悉 廣 收 於 南 畝 朝 庭 奉 使 早 
T85n2846_001:1298b28	拜天顏。所奏邊情果蒙。	拜 天 顏 所 奏 邊 情 果 蒙 
T85n2846_001:1298b29	聖元時消疾□□勵莫狼刀□藏音狼煙羂罷	聖 元 時 消 疾 勵 莫 狼 刀 藏 音 狼 煙 羂 罷 
T85n2846_001:1298c01	滅今因壇散詣就場道渴□□□□□三尊幸	滅 今 因 壇 散 詣 就 場 道 渴 三 尊 幸 
T85n2846_001:1298c02	希迴向。	希 迴 向 
T85n2846_001:1298c03	長興二年十二月二十六日□□西歸義	長 興 二 年 十 二 月 二 十 六 日 西 歸 義 
