X14n0295_001:0624b03	 勸持敘	 勸 持 敘 
X14n0295_001:0624b05	師子林沙門　惟識　撰	師 子 林 沙 門 惟 識 撰 
X14n0295_001:0624b06	首楞嚴王。具足萬行。總持三昧。熏修奢摩他路。開	首 楞 嚴 王 具 足 萬 行 總 持 三 昧 熏 修奢摩他 路 開 
X14n0295_001:0624b07	示眾生。妙在一門超出。由慶喜恨多聞。而未全道	示 眾 生 妙 在 一 門 超 出 由 慶 喜 恨 多 聞 而 未 全 道 
X14n0295_001:0624b08	力。故迦文因妄見。而直指人心。七處之徵。寶鏡磨	力 故 迦 文 因 妄 見 而 直 指 人 心 七 處 之 徵 寶 鏡 磨 
X14n0295_001:0624b09	塵。而本明自現。八還之辨。金錍刮膜。而幻影隨消。	塵 而 本 明 自 現 八 還 之 辨 金 錍 刮 膜 而 幻 影 隨 消 
X14n0295_001:0624b10	斥攀緣則心不是心。示真覺則見猶離見。即顯真	斥 攀 緣 則 心 不 是 心 示 真 覺 則 見 猶 離 見 即 顯 真 
X14n0295_001:0624b11	而破妄。仍即妄以談真。窮陰入處界。而列為四科。	而 破 妄 仍 即 妄 以 談 真 窮 陰 入 處 界 而 列 為 四 科 
X14n0295_001:0624b12	因緣自然。二俱排擯。會地水火風而通名七大。真	因 緣 自 然 二 俱 排 擯 會 地水火風 而 通 名 七 大 真 
X14n0295_001:0624b13	俗中道。三諦圓融。本如來藏而含吐十虗。隨眾生	俗 中 道 三 諦 圓 融 本 如 來 藏 而 含 吐 十 虗 隨 眾 生 
X14n0295_001:0624b14	心而發揮諸相。乃至一多相即。小大互容。現寶剎	心 而 發 揮 諸 相 乃 至 一 多 相 即 小 大 互 容 現 寶 剎 
X14n0295_001:0624b15	於毫端。轉法輪於塵裡。得無罣礙者。倒想銷於億	於 毫 端 轉 法 輪 於 塵 裡 得 無 罣 礙 者 倒 想 銷 於 億 
X14n0295_001:0624b16	劫。不隨分別者。狂心歇即菩提。圓頓機已解密因。	劫 不 隨 分 別 者 狂 心 歇 即 菩 提 圓 頓 機 已 解 密 因 
X14n0295_001:0624b17	中下器須陳妙行。於是開遠客還家之路。指天王	中 下 器 須 陳 妙 行 於 是 開 遠 客 還 家 之 路 指 天 王 
X14n0295_001:0624b18	賜屋之門。詰諸聖之本因。依證悟說。最初方便。順	賜 屋 之 門 詰 諸 聖 之 本 因 依 證 悟 說 最 初 方 便 順 
X14n0295_001:0624b19	此方之教體。選音聞為第一圓通。次為攝心。乃重	此 方 之 教 體 選 音 聞 為 第 一 圓 通 次 為 攝 心 乃 重 
X14n0295_001:0624b20	施戒依先。世尊舉指。清淨明誨。現化身佛。宣演秘	施 戒 依 先 世 尊 舉 指 清 淨 明 誨 現 化 身 佛 宣 演 秘 
X14n0295_001:0624b21	密伽陀。三學圓具。而所證非偏。諸妄銷亡。而不真	密 伽 陀 三 學 圓 具 而 所 證 非 偏 諸 妄 銷 亡 而 不 真 
X14n0295_001:0624b22	何待。況復精研七趣。隨業受生。痛喻六交。因習招	何 待 況 復 精 研 七 趣 隨 業 受 生 痛 喻 六 交 因 習 招 
X14n0295_001:0624b23	報。示五十種禪那之境。深防愛見魔邪。具八萬種	報 示 五 十 種 禪 那 之 境 深 防 愛 見 魔 邪 具 八 萬 種 
X14n0295_001:0624b24	解脫之機。對治塵勞煩惱。保持覆護。囑勸弘宣。在	解 脫 之 機 對 治 塵 勞 煩 惱 保 持 覆 護 囑 勸 弘 宣 在 
X14n0295_001:0624c01	始在終。無非修證了義。或破或立。不離常住真心。	始 在 終 無 非 修 證 了 義 或 破 或 立 不 離 常 住 真 心 
X14n0295_001:0624c02	琴瑟箜篌既逢妙指。林木池沼皆演法音。令諸闡	琴 瑟 箜 篌 既 逢 妙 指 林 木 池 沼 皆 演 法 音 令 諸 闡 
X14n0295_001:0624c03	提隳彌戾車。從三摩地得無生忍。或自分真而安	提 隳 彌 戾 車 從 三 摩 地 得無生忍 或 自 分 真 而 安 
X14n0295_001:0624c04	直聖位。或從互用而超至後心。坐大道場。登無上	直 聖 位 或 從 互 用 而 超 至 後 心 坐 大 道 場 登 無 上 
X14n0295_001:0624c05	覺。一切事究竟堅固。廣開菩薩多方便門。十方界	覺 一 切 事 究 竟 堅 固 廣 開 菩 薩 多 方 便 門 十 方 界 
X14n0295_001:0624c06	任運縱橫。同入如來妙莊嚴海。其教至矣。厥功懋	任 運 縱 橫 同 入 如 來 妙 莊 嚴 海 其 教 至 矣 厥 功 懋 
X14n0295_001:0624c07	哉。愧余之謬而妄擬會通。樂法之深而重加讚勸。	哉 愧 余 之 謬 而 妄 擬 會 通 樂 法 之 深 而 重 加 讚 勸 
X14n0295_001:0624c08	幸諸方之學者。試一披而覽焉。敘終	幸 諸 方 之 學 者 試 一 披 而 覽 焉 敘 終 
X14n0295_001:0624c18	大佛頂如來密因修證了義諸菩薩萬行首楞嚴經卷第一	大 佛 頂 如 來 密 因 修 證 了 義 諸 菩 薩 萬 行 首 楞 嚴 經 卷 第 一 
X14n0295_001:0624c21	唐天竺沙門　般剌密帝　譯	唐 天 竺 沙 門 般 剌 密 帝 譯 
X14n0295_001:0624c22	烏萇國沙門　彌伽釋迦　譯語	烏 萇 國 沙 門 彌 伽 釋 迦 譯 語 
X14n0295_001:0624c23	菩薩戒弟子前正議大夫同中	菩 薩 戒 弟 子 前 正 議 大 夫 同 中 
X14n0295_001:0624c24	書門下平章事清河房融　筆受	書 門 下 平 章 事 清 河 房 融 筆 受 
X14n0295_001:0625a01	明淮海參佛弟子蘊空居士陸西星　述旨	明 淮 海 參 佛 弟 子 蘊 空 居 士 陸 西 星 述 旨 
X14n0295_001:0625a02	明太子太保吏部尚書李戴　印可	明 太 子 太 保 吏 部 尚 書 李 戴 印 可 
X14n0295_001:0625a03	明中憲大夫直隸淮安府知府劉大文	明 中 憲 大 夫 直 隸 淮 安 府 知 府 劉 大 文 
X14n0295_001:0625a04	　明中憲大夫直隸揚州府知府　楊洵　校閱	 明 中 憲 大 夫 直 隸 揚 州 府 知 府 楊 洵 校 閱 
X14n0295_001:0625a05	淮南後學　陳南金　校定	淮 南 後 學 陳 南 金 校 定 
X14n0295_001:0625a06	△通釋經題	 通 釋 經 題 
X14n0295_001:0625a07	夫如來果體。其體本然。何假密因。菩薩道用。其用	夫 如 來 果 體 其 體 本 然 何 假 密 因 菩 薩 道 用 其 用 
X14n0295_001:0625a08	無作。孰資萬行。無因無作。無修無證。無了不了。大	無 作 孰 資 萬 行 無 因 無 作 無 修 無 證 無 了 不 了 大 
X14n0295_001:0625a09	小名相。一切不立。此真首楞嚴究竟堅固者也。特	小 名 相 一 切 不 立 此 真 首 楞 嚴 究 竟 堅 固 者 也 特 
X14n0295_001:0625a10	以眾生如來隱於藏心。非密因不顯。眾生菩薩淪	以 眾 生 如 來 隱 於 藏 心 非 密 因 不 顯 眾 生 菩 薩 淪 
X14n0295_001:0625a11	於七趣。非萬行不修。覺皇於是示之以大法。使不	於 七 趣 非 萬 行 不 修 覺 皇 於 是 示 之 以 大 法 使 不 
X14n0295_001:0625a12	迷於小道。而默得乎無外之體。喻之以佛頂。使不	迷 於 小 道 而 默 得 乎 無 外 之 體 喻 之 以 佛 頂 使 不 
X14n0295_001:0625a13	滯於相見。而妙極乎無上之致指。如來密因。使明	滯 於 相 見 而 妙 極 乎 無 上 之 致 指 如 來 密 因 使 明 
X14n0295_001:0625a14	本妙之心。知三世諸佛。皆依此為初因。明修證了	本 妙 之 心 知 三世諸佛 皆 依 此 為 初 因 明 修 證 了 
X14n0295_001:0625a15	義。使悟究竟之法。知一切聖人皆依此而證果。乃	義 使 悟 究 竟 之 法 知 一切聖人 皆 依 此 而 證 果 乃 
X14n0295_001:0625a16	至具足菩薩清淨萬行。一切事法無不究竟。至於	至 具 足 菩 薩 清 淨 萬 行 一 切 事 法 無 不 究 竟 至 於 
X14n0295_001:0625a17	實相堅固不壞。故名大佛頂如來密因修證了義	實 相 堅 固 不 壞 故 名 大 佛 頂 如 來 密 因 修 證 了 義 
X14n0295_001:0625a18	諸菩薩萬行首楞嚴經。始於徵心辯見。終於破陰	諸 菩 薩 萬 行 首 楞 嚴 經 始 於 徵 心 辯 見 終 於 破 陰 
X14n0295_001:0625a19	褫魔。無非健相分別事也。	褫 魔 無 非 健 相 分 別 事 也 
X14n0295_001:0625a20	天如曰。梵語首楞嚴。乃大定之總名也。此翻一切	天 如 曰 梵 語 首 楞 嚴 乃 大 定 之 總 名 也 此 翻 一 切 
X14n0295_001:0625a21	事究竟堅固。古師云。未修此定。一切事法宛爾差	事 究 竟 堅 固 古 師 云 未 修 此 定 一 切 事 法 宛 爾 差 
X14n0295_001:0625a22	殊。為法所縛。既得此定時。山河大地。明暗色空。一	殊 為 法 所 縛 既 得 此 定 時 山 河 大 地 明 暗 色 空 一 
X14n0295_001:0625a23	切當處寂滅。即是常住心性。故云究竟堅固。	切 當 處 寂 滅 即 是 常 住 心 性 故 云 究 竟 堅 固 
X14n0295_001:0625a24	△判說經先後(刪定舊文)	 判 說 經 先 後 刪 定 舊 文 
X14n0295_001:0625b01	夫法王說法。有條不紊。初說一乘頓教以立本。即	夫 法 王 說 法 有 條 不 紊 初 說 一 乘 頓 教 以 立 本 即 
X14n0295_001:0625b02	華嚴也。次說三乘漸教以逗機。即阿含方等般若	華 嚴 也 次 說 三 乘 漸 教 以 逗 機 即 阿 含 方 等 般 若 
X14n0295_001:0625b03	也。後說一乘圓教以顯實。即法華也。楞嚴即般若	也 後 說 一 乘 圓 教 以 顯 實 即 法 華 也 楞 嚴 即 般 若 
X14n0295_001:0625b04	法華之中。實大乘終極之教。故如來密因。菩薩萬	法 華 之 中 實 大 乘 終 極 之 教 故 如 來 密 因 菩 薩 萬 
X14n0295_001:0625b05	行修證之法。一切畢竟。自此以往。無復進修。直透	行 修 證 之 法 一 切 畢 竟 自 此 以 往 無 復 進 修 直 透 
X14n0295_001:0625b06	一乘圓妙之道。故法華會上。更無地位之說。純談	一 乘 圓 妙 之 道 故 法 華 會 上 更 無 地 位 之 說 純 談 
X14n0295_001:0625b07	妙法。隨根印可。授記作佛而已。法華之後。便說涅	妙 法 隨 根 印 可 授 記 作 佛 而 已 法 華 之 後 便 說 涅 
X14n0295_001:0625b08	槃。扶律常談而終焉。扶律者。所以囑後事。談常者。	槃 扶 律 常 談 而 終 焉 扶 律 者 所 以 囑 後 事 談 常 者 
X14n0295_001:0625b09	所以示真寂。此獨臨滅遺付之事。非有加於法華	所 以 示 真 寂 此 獨 臨 滅 遺 付 之 事 非 有 加 於 法 華 
X14n0295_001:0625b10	也。說者不本扶律之意。輒判楞嚴。於法華之後。亦	也 說 者 不 本 扶 律 之 意 輒 判 楞 嚴 於 法 華 之 後 亦 
X14n0295_001:0625b11	稱扶律談常。若然則是扶律之後而又扶律。進修	稱 扶 律 談 常 若 然 則 是 扶 律 之 後 而 又 扶 律 進 修 
X14n0295_001:0625b12	之後而又進修。前則加於法華。後則贅於涅槃。倒	之 後 而 又 進 修 前 則 加 於 法 華 後 則 贅 於 涅 槃 倒 
X14n0295_001:0625b13	置駢枝。紊於法王之法矣。以經證之。竛竮之子既	置 駢 枝 紊 於 法 王 之 法 矣 以 經 證 之 竛 竮 之 子 既 
X14n0295_001:0625b14	領寶藏。復何所求。化城之人既到寶所。復何前進。	領 寶 藏 復 何 所 求 化 城 之 人 既 到 寶 所 復 何 前 進 
X14n0295_001:0625b15	燈明說法華以後。中夜涅槃。釋迦說法華已。便於	燈 明 說 法 華 以 後 中 夜 涅 槃 釋 迦 說 法 華 已 便 於 
X14n0295_001:0625b16	四眾唱滅。復何枝蔓於楞嚴哉。如必以楞嚴居後。	四 眾 唱 滅 復 何 枝 蔓 於 楞 嚴 哉 如 必 以 楞 嚴 居 後 
X14n0295_001:0625b17	則阿難既於法華諸漏已盡。而復於楞嚴未盡諸	則 阿 難 既 於 法 華 諸漏已盡 而 復 於 楞 嚴 未 盡 諸 
X14n0295_001:0625b18	漏。既於法華堪授佛記。而復於楞嚴未全道力。既	漏 既 於 法 華 堪 授 佛 記 而 復 於 楞 嚴 未 全 道 力 既 
X14n0295_001:0625b19	先領悟妙法。而復不知真際。既已安住佛道。而復	先 領 悟 妙 法 而 復 不 知 真 際 既 已 安 住 佛 道 而 復 
X14n0295_001:0625b20	溺於婬舍。是皆倒置。理自不然。故判楞嚴在般若	溺 於 婬 舍 是 皆 倒 置 理 自 不 然 故 判 楞 嚴 在 般 若 
X14n0295_001:0625b21	之後者。蓋以般若之後。慧學方盛。定力未全。人或	之 後 者 蓋 以 般 若 之 後 慧 學 方 盛 定 力 未 全 人 或 
X14n0295_001:0625b22	溺於多聞。失於正受。於是示首楞之大定。資般若	溺 於 多 聞 失 於 正 受 於 是 示 首 楞 之 大 定 資 般 若 
X14n0295_001:0625b23	之大慧。使定慧均等學行兩全。而究竟趨於一乘	之 大 慧 使 定 慧 均 等 學 行 兩 全 而 究 竟 趨 於 一 乘 
X14n0295_001:0625b24	實相。此楞嚴所以說也。論三經大致。無非為一大	實 相 此 楞 嚴 所 以 說 也 論 三 經 大 致 無 非 為 一 大 
X14n0295_001:0625c01	事因緣。而必先般若以發明。次楞嚴而修證。終法	事 因 緣 而 必 先 般 若 以 發 明 次 楞 嚴 而 修 證 終 法 
X14n0295_001:0625c02	華而印可。然後盡諸佛之能事。此其序固如是也。	華 而 印 可 然 後 盡 諸 佛 之 能 事 此 其 序 固 如 是 也 
X14n0295_001:0625c03	然導達禪乘。決擇正見。無尚楞嚴矣。	然 導 達 禪 乘 決 擇 正 見 無 尚 楞 嚴 矣 
X14n0295_001:0625c04	△正宗五分	 正 宗 五 分 
X14n0295_001:0625c05	此經正宗文五。一見道分。初由七徵。以顯常住真	此 經 正 宗 文 五 一 見 道 分 初 由 七 徵 以 顯 常 住 真 
X14n0295_001:0625c06	心性淨明體。(即第一卷)次由八還。以辯妙淨見精。顯如	心 性 淨 明 體 即 第 一 卷 次 由 八 還 以 辯 妙 淨 見 精 顯 如 
X14n0295_001:0625c07	來藏。(即第二第三卷)復即山河萬象。宣勝義中。真勝義性。	來 藏 即 第二第三 卷 復 即 山 河 萬 象 宣 勝 義 中 真 勝 義 性 
X14n0295_001:0625c08	(四卷初至中)皆使行人明心見性。為修證密因。故名見	 四 卷 初 至 中 皆 使 行 人 明 心 見 性 為 修 證 密 因 故 名 見 
X14n0295_001:0625c09	道分。二修道分。首示初心二決定義。令審因心果	道 分 二 修 道 分 首 示 初 心 二 決 定 義 令 審 因 心 果 
X14n0295_001:0625c10	覺。又審煩惱根本。為修行真基。(四中至末)決示六根。舒	覺 又 審 煩惱根本 為 修 行 真 基 四 中 至 末 決 示 六 根 舒 
X14n0295_001:0625c11	結倫次。令解結心。而得妙圓通。為修行真要。(五至六中)	結 倫 次 令 解 結 心 而 得 妙 圓 通 為 修 行 真 要 五 至 六 中 
X14n0295_001:0625c12	此利根進修之一終也。故阿離至此明了菩提所	此 利 根 進 修 之 一 終 也 故 阿 離 至 此 明 了 菩 提 所 
X14n0295_001:0625c13	歸道路。自謂已悟成佛法門。而願度末世。復請安	歸 道 路 自 謂 已 悟 成 佛 法 門 而 願 度 末 世 復 請 安 
X14n0295_001:0625c14	立道場攝心軌則。遂聞三無漏學。四種律儀。及大	立 道 場 攝 心 軌 則 遂 聞 三 無 漏 學 四 種 律 儀 及 大 
X14n0295_001:0625c15	神呪。(六中至末)總為修行方便。故名修道分。三證果分。	神 呪 六 中 至 末 總 為 修 行 方 便 故 名 修 道 分 三 證 果 分 
