T85n2767_001:0310c17	藥師經疏	藥 師 經 疏 
T85n2767_001:0310c19	性三主□□□□□□五問答分別。第	性 三 主 五 問 答 分 別 第 
T85n2767_001:0310c20	一釋名。言淨土者。淨謂□□□□地謂諸淨	一 釋 名 言 淨 土 者 淨 謂 地 謂 諸 淨 
T85n2767_001:0310c21	人所居□故名為淨土。或出即淨故名淨土。	人 所 居 故 名 為 淨 土 或 出 即 淨 故 名 淨 土 
T85n2767_001:0310c22	然此淨□有其二種。一者色淨所居宮殿眾	然 此 淨 有 其 二 種 一 者 色 淨 所 居 宮 殿 眾 
T85n2767_001:0310c23	妙七寶所嚴飾故。二功德淨大念慧行以為	妙 七 寶 所 嚴 飾 故 二 功 德 淨 大 念 慧 行 以 為 
T85n2767_001:0310c24	遊路。大心妙觀以為所乘。大空無相無願解	遊 路 大 心 妙 觀 以 為 所 乘 大 空無相無願 解 
T85n2767_001:0310c25	脫為□大門。如是等德不可具說。今此淨土	脫 為 大 門 如 是 等 德 不 可 具 說 今 此 淨 土 
T85n2767_001:0310c26	具說兩法以為淨土。第二出體。有其二義。一	具 說 兩 法 以 為 淨 土 第 二 出 體 有 其 二 義 一 
T85n2767_001:0310c27	種數差別。二依種出體。言種數者。如成唯識	種 數 差 別 二 依 種 出 體 言 種 數 者 如 成 唯 識 
T85n2767_001:0310c28	淨土差別有其四種。一法體性土。謂二空理	淨 土 差 別 有 其 四 種 一 法 體 性 土 謂 二 空 理 
T85n2767_001:0310c29	是諸法性法性即土名法性土。二自受用土。	是 諸 法 性 法 性 即 土 名 法 性 土 二 自 受 用 土 
T85n2767_001:0311a01	謂遍法界七寶妙色及諸功德為受用土。三	謂 遍 法 界 七 寶 妙 色 及 諸 功 德 為 受 用 土 三 
T85n2767_001:0311a02	他用土。謂諸如來為十地上諸菩薩眾所現	他 用 土 謂 諸 如 來 為 十 地 上 諸 菩 薩 眾 所 現 
T85n2767_001:0311a03	色等。四變化土。謂諸如來為化地前所變淨	色 等 四 變 化 土 謂 諸 如 來 為 化 地 前 所 變 淨 
T85n2767_001:0311a04	土。若廣分別如成唯識第十。及佛地論第七	土 若廣分別 如 成 唯 識 第 十 及 佛 地 論 第 七 
T85n2767_001:0311a05	卷說。言出體者。法性淨土法數門中真如為	卷 說 言 出 體 者 法 性 淨 土 法 數 門 中 真 如 為 
T85n2767_001:0311a06	體。三科出體非蘊所攝處界門中法處法界	體 三 科 出 體 非 蘊 所 攝 處 界 門 中 法 處 法 界 
T85n2767_001:0311a07	以為自性。唯是意識所緣境故。或可通六種	以 為 自 性 唯 是 意識所緣 境 故 或 可 通 六 種 
T85n2767_001:0311a08	無為為性。五種無為皆依真如假建立故。自	無 為 為 性 五 種 無 為 皆 依 真 如 假 建 立 故 自 
T85n2767_001:0311a09	受用土。百法門中六十法以為體性。所謂眼	受 用 土 百 法 門 中 六 十 法 以 為 體 性 所 謂 眼 
T85n2767_001:0311a10	等八種淨識相應二十一心所有法。謂五遍	等 八 種 淨 識 相 應 二 十 一 心所有法 謂 五 遍 
T85n2767_001:0311a11	行五各別境及善十一十一種色及二十種不	行 五 各 別 境 及 善 十 一 十 一 種 色 及 二 十 種 不 
T85n2767_001:0311a12	相應法。除異生性及不和合無想定天六種	相 應 法 除 異 生 性 及 不 和 合 無 想 定 天 六 種 
T85n2767_001:0311a13	無為。然六無為有其二種。一依法性建立六	無 為 然 六 無 為 有 其 二 種 一 依 法 性 建 立 六 
T85n2767_001:0311a14	種法性五□。二淨八識所攝六種六種皆是	種 法 性 五 二 淨 八 識 所 攝 六 種 六 種 皆 是 
T85n2767_001:0311a15	自受用土他受用土及變化土。乃法出體應	自 受 用 土 他 受 用 土 及 變 化 土 乃 法 出 體 應 
T85n2767_001:0311a16	知亦爾。而差別者自受用土真實功德為體。	知 亦 爾 而 差 別 者 自 受 用 土 真 實 功 德 為 體 
T85n2767_001:0311a17	餘之二土皆是變化。三科出體。若妙色土即	餘 之 二 土 皆 是 變 化 三 科 出 體 若 妙 色 土 即 
T85n2767_001:0311a18	用色蘊少色香味觸四處四界一分為性。通	用 色 蘊 少 色香味觸 四 處 四 界 一 分 為 性 通 
