T85n2745_001:0166a18	仁王經疏	仁 王 經 疏 
T85n2745_001:0166a20	難聞時。更無先後。簡去傳聞。成上我聞。故	難 聞 時 更 無 先 後 簡 去 傳 聞 成 上 我 聞 故 
T85n2745_001:0166a21	云一時。異說如是。次辨過非先以事驗。後引	云 一 時 異 說 如 是 次 辨 過 非 先 以 事 驗 後 引 
T85n2745_001:0166a22	文證。事驗如何。如經中說。阿難是佛得道	文 證 事 驗 如 何 如 經 中 說 阿 難 是 佛 得 道 
T85n2745_001:0166a23	夜生。如小乘中佛成道已過六七日。即便說	夜 生 如 小 乘 中 佛 成 道 已 過 六 七 日 即 便 說 
T85n2745_001:0166a24	經。阿難爾時。猶在懷抱。身不豫會。佛成道	經 阿 難 爾 時 猶 在 懷 抱 身 不 豫 會 佛 成 道 
T85n2745_001:0166a25	已。過二十年方始出家。三十年後方為侍者。	已 過 二 十 年 方 始 出 家 三 十 年 後 方 為 侍 者 
T85n2745_001:0166a26	自斯已前。所說諸經多不親聞。雖不親聞。而	自 斯 已 前 所 說 諸 經 多 不 親 聞 雖 不 親 聞 而 
T85n2745_001:0166a27	所集經。亦云一時。明知一時。非簡傳之謂。又	所 集 經 亦 云 一 時 明 知 一 時 非 簡 傳 之 謂 又 
T85n2745_001:0166a28	小乘中。不得說言阿難是權。何由得言說聽	小 乘 中 不 得 說 言 阿 難 是 權 何 由 得 言 說 聽 
T85n2745_001:0166a29	一時。人復反微。云何得知阿難是佛得道夜	一 時 人 復 反 微 云何得知 阿 難 是 佛 得 道 夜 
T85n2745_001:0166b01	生。將來破我。為證此義。須知阿難立字因緣。	生 將 來 破 我 為 證 此 義 須 知 阿 難 立 字 因 緣 
T85n2745_001:0166b02	阿難陀者。是外國語。此名歡喜。之名三因緣	阿 難 陀 者 是 外 國 語 此 名 歡 喜 之 名 三 因 緣 
T85n2745_001:0166b03	立。一過去因緣。如經中說。釋迦行菩薩時。	立 一 過 去 因 緣 如 經 中 說 釋 迦 行 菩 薩 時 
T85n2745_001:0166b04	作一陶師。名曰大光。值過去世釋迦文佛。父	作 一 陶 師 名 曰 大 光 值 過 去 世 釋 迦 文 佛 父 
T85n2745_001:0166b05	名淨飯。母名摩耶。侍者弟子。名曰阿難。因	名 淨 飯 母 名 摩 耶 侍 者 弟 子 名 曰 阿 難 因 
T85n2745_001:0166b06	土眷屬。如今無別。因即發願。願我當來成得	土 眷 屬 如 今 無 別 因 即 發 願 願 我 當 來 成 得 
T85n2745_001:0166b07	佛道。還如今佛。由斯本願。今得成佛。故今侍	佛 道 還 如 今 佛 由 斯 本 願 今 得 成 佛 故 今 侍 
T85n2745_001:0166b08	者。還字阿難。二現在因緣。阿難比丘。面貌	者 還 字 阿 難 二 現 在 因 緣 阿 難 比 丘 面 貌 
T85n2745_001:0166b09	端正。世人見者。莫不歡喜。是故字歡喜。是	端 正 世 人 見 者 莫 不 歡 喜 是 故 字 歡 喜 是 
T85n2745_001:0166b10	故經中。讚嘆阿難。面如月目清蓮。佛法海水	故 經 中 讚 嘆 阿 難 面 如 月 目 清 蓮 佛 法 海 水 
T85n2745_001:0166b11	阿難心。三父母立字。父母何緣。與字歡喜。	阿 難 心 三 父 母 立 字 父 母 何 緣 與 字 歡 喜 
T85n2745_001:0166b12	喜時生故。何者喜時所謂如來得道夜時。如	喜 時 生 故 何 者 喜 時 所 謂 如 來 得 道 夜 時 如 
T85n2745_001:0166b13	來十九踰城。出家既出家已五年習定。六年	來 十 九 踰 城 出 家 既 出 家 已 五 年 習 定 六 年 
T85n2745_001:0166b14	自餓身極羸瘦父王遣人。恒往膳伺。知極微	自 餓 身 極 羸 瘦 父 王 遣 人 恒 往 膳 伺 知 極 微 
T85n2745_001:0166b15	惙。常恐不令。菩薩後時。知餓非道。受食乳糜	惙 常 恐 不 令 菩 薩 後 時 知 餓 非 道 受 食 乳 糜 
T85n2745_001:0166b16	欲取正覺。魔作是念。若佛道成。空我境界。	欲 取 正 覺 魔 作 是 念 若 佛 道 成 空 我 境 界 
T85n2745_001:0166b17	聞道未成。當敗其志。遂率官屬。十八億萬。持	聞 道 未 成 當 敗 其 志 遂 率 官 屬 十 八 億 萬 持 
T85n2745_001:0166b18	諸菩具來悕菩薩。菩薩于時。入勝意慈定。令	諸 菩 具 來 悕 菩 薩 菩 薩 于 時 入 勝 意 慈 定 令 
T85n2745_001:0166b19	魔眷屬顛倒墮落。魔既被降。便作是念。菩	魔 眷 屬 顛 倒 墮 落 魔 既 被 降 便 作 是 念 菩 
T85n2745_001:0166b20	薩力大悲我能勝。當惱其父。遂便往詣淨飯	薩 力 大 悲 我 能 勝 當 惱 其 父 遂 便 往 詣 淨 飯 
T85n2745_001:0166b21	宮上。唱如是言。悉達太子。昨夜了矣。王時	宮 上 唱 如 是 言 悉 達 太 子 昨 夜 了 矣 王 時 
T85n2745_001:0166b22	聞已。從林而墮。良久乃蘇。便為傷嘆。念子在	聞 已 從 林 而 墮 良 久 乃 蘇 便 為 傷 嘆 念 子 在 
T85n2745_001:0166b23	家當為輪王。何期出家空無所獲未久之間。	家 當 為 輪 王 何 期 出 家 空 無 所 獲 未 久 之 間 
T85n2745_001:0166b24	菩提樹神。以佛道成。復持天化。慶賀父王。	菩提樹神 以 佛 道 成 復 持 天 化 慶 賀 父 王 
T85n2745_001:0166b25	當成佛時。天雨妙花。而為供養。故持慶王。其	當 成 佛 時 天 雨 妙 花 而 為 供 養 故 持 慶 王 其 
T85n2745_001:0166b26	時亦往淨飯宮上。唱如是言。大王當知。地天	時 亦 往 淨 飯 宮 上 唱 如 是 言 大 王 當 知 地 天 
T85n2745_001:0166b27	太子。昨夜明星出時。降魔兵眾。成得佛道。王	太 子 昨 夜 明 星 出 時 降 魔 兵 眾 成 得 佛 道 王 
T85n2745_001:0166b28	時生疑。向者有天。言我子死。今復有天。云子	時 生 疑 向 者 有 天 言 我 子 死 今 復 有 天 云 子 
T85n2745_001:0166b29	成道。何者可信。菩提神曰。我言可信。向者是	成 道 何 者 可 信 菩 提 神 曰 我 言 可 信 向 者 是 
T85n2745_001:0166c01	魔。故相惱耳。我是菩提樹神。以佛於我樹下	魔 故 相 惱 耳 我 是 菩提樹神 以 佛 於 我 樹 下 
T85n2745_001:0166c02	得道。故相慶賀。王時作念。我子在家。當為	得 道 故 相 慶 賀 王 時 作 念 我 子 在 家 當 為 
T85n2745_001:0166c03	輪王。今日出家。為法輪大王。彼此無失。向	輪 王 今 日 出 家 為 法 輪 大 王 彼 此 無 失 向 
T85n2745_001:0166c04	者聞死。今忽聞活。重大喜。復聞道成。兩重	者 聞 死 今 忽 聞 活 重 大 喜 復 聞 道 成 兩 重 
T85n2745_001:0166c05	大喜。未久之間。王弟斛飯。夜生阿難演說抱	大 喜 未 久 之 間 王 弟 斛 飯 夜 生 阿 難 演 說 抱 
T85n2745_001:0166c06	詣王第。於昨夜生此一男。王時對曰。我子成	詣 王 第 於 昨 夜 生 此 一 男 王 時 對 曰 我 子 成 
T85n2745_001:0166c07	道。汝復生男。眾慶併集。與字歡喜。以斯驗求	道 汝 復 生 男 眾 慶 併 集 與 字 歡 喜 以 斯 驗 求 
T85n2745_001:0166c08	定知。阿難得道夜生。阿難既是得道夜生。何	定 知 阿 難 得 道 夜 生 阿 難 既 是 得 道 夜 生 何 
T85n2745_001:0166c09	由得言說聽一時。事驗如此。次以文證。佛	由 得 言 說 聽 一 時 事 驗 如 此 次 以 文 證 佛 
T85n2745_001:0166c10	初成道。在波羅[木*奈]仙人鹿苑。為五比丘。轉四	初 成 道 在 波 羅 [木奈] 仙 人 鹿 苑 為 五 比 丘 轉 四 
T85n2745_001:0166c11	諦法。名轉法輪經。佛滅度後。阿難比丘。先集	諦 法 名 轉 法 輪 經 佛 滅 度 後 阿 難 比 丘 先 集 
T85n2745_001:0166c12	此經。將集此經。先昇高坐。說偈自言。佛初	此 經 將 集 此 經 先 昇 高 坐 說 偈 自 言 佛 初 
T85n2745_001:0166c13	說法時。爾時我不見。如時是展轉聞。佛遊波	說 法 時 爾 時 我 不 見 如 時 是 展 轉 聞 佛 遊 波 
T85n2745_001:0166c14	羅[木*奈]。為五比丘眾。轉四諦法輪。彼經之中。道	羅 [木奈] 為 五 比 丘 眾 轉 四 諦 法 輪 彼 經 之 中 道 
T85n2745_001:0166c15	已傳聞。復言一時。明知一時。非簡傳之辭。辨	已 傳 聞 復 言 一 時 明 知 一 時 非 簡 傳 之 辭 辨 
T85n2745_001:0166c16	非如此。次顯正義。言一時者。就佛解釋。為化	非 如 此 次 顯 正 義 言 一 時 者 就 佛 解 釋 為 化 
T85n2745_001:0166c17	之辰。目之為時。於佛一代。化時眾多。為簡餘	之 辰 目 之 為 時 於 佛 一 代 化 時 眾 多 為 簡 餘 
T85n2745_001:0166c18	時。是故言一。一時之言。經中大有。如涅槃	時 是 故 言 一 一 時 之 言 經 中 大 有 如 涅 槃 
T85n2745_001:0166c19	說。我於一時。在迦尸國。我於一時。在恒河	說 我 於 一 時 在 迦 尸 國 我 於 一 時 在 恒 河 
T85n2745_001:0166c20	岸。我於一時。在尸首林。我於一時。在王舍	岸 我 於 一 時 在 尸 首 林 我 於 一 時 在 王 舍 
T85n2745_001:0166c21	城。如是非一。今言一時。共彼相似。云何得	城 如 是 非 一 今 言 一 時 共 彼 相 似 云 何 得 
T85n2745_001:0166c22	知。一時從後。非是屬前。准依地經。所以得	知 一 時 從 後 非 是 屬 前 准 依 地 經 所 以 得 
