T22n1423_001:0206b23	五分比丘尼戒本	五 分 比丘尼戒 本 
T22n1423_001:0206b25	梁建初寺沙門釋明徽集	梁 建 初 寺 沙 門 釋 明 徽 集 
T22n1423_001:0206b26	「大姊僧聽！春時一月過少一夜，餘有一夜三	 大 姊 僧 聽 春 時 一 月 過 少 一 夜 餘 有 一 夜 三 
T22n1423_001:0206b27	月在。老死至近，佛法欲滅。諸大姊！為得道故，	月 在 老 死 至 近 佛 法 欲 滅 諸 大 姊 為 得 道 故 
T22n1423_001:0206b28	一心勤精進。所以者何？諸佛一心勤精進故，	一 心 勤 精 進 所以者何 諸 佛 一 心 勤 精 進 故 
T22n1423_001:0206b29	得阿耨多羅三藐三菩提，何況餘善道法！」	得阿耨多羅三藐三菩提 何 況 餘 善 道 法 
T22n1423_001:0206c01	「合十指爪掌，　　供養釋師子，	 合十指爪掌 供 養 釋 師 子 
T22n1423_001:0206c02	　我今欲說戒，　　僧當一心聽。	 我 今 欲 說 戒 僧 當 一 心 聽 
T22n1423_001:0206c03	　乃至小罪中，　　心應大怖畏，	 乃 至 小 罪 中 心 應 大 怖 畏 
T22n1423_001:0206c04	　有罪一心悔，　　後更莫復犯。	 有 罪 一 心 悔 後 更 莫 復 犯 
T22n1423_001:0206c05	　心馬馳惡道，　　放逸難禁制，	 心 馬 馳 惡 道 放 逸 難 禁 制 
T22n1423_001:0206c06	　佛說切戒行，　　亦如利轡勒。	 佛 說 切 戒 行 亦 如 利 轡 勒 
T22n1423_001:0206c07	　佛口說教誡，　　善者能信受，	 佛 口 說 教 誡 善 者 能 信 受 
T22n1423_001:0206c08	　是人馬調順，　　能破煩惱軍。	 是 人 馬 調 順 能 破 煩 惱 軍 
T22n1423_001:0206c09	　若不受教勅，　　亦不愛樂戒，	 若 不 受 教 勅 亦 不 愛 樂 戒 
T22n1423_001:0206c10	　是人馬不調，　　沒在煩惱軍。	 是 人 馬 不 調 沒 在 煩 惱 軍 
T22n1423_001:0206c11	　若人守護戒，　　如犛牛愛尾，	 若 人 守 護 戒 如 犛 牛 愛 尾 
