T08n0236b_001:0757a22	金剛般若波羅蜜經	金 剛 般若波羅蜜經 
T08n0236b_001:0757a24	元魏留支三藏奉　詔譯	元 魏 留 支 三 藏 奉 詔 譯 
T08n0236b_001:0757a25	如是我聞：一時佛婆伽婆，住舍衛國祇陀	如是我聞 一 時 佛婆伽婆 住 舍 衛 國 祇 陀 
T08n0236b_001:0757a26	樹林給孤獨園。與大比丘眾千二百五十	樹 林 給 孤 獨 園 與 大 比 丘 眾 千二百五十 
T08n0236b_001:0757a27	人俱。爾時世尊，於日前分，著衣持鉢，入	人 俱 爾 時 世 尊 於 日 前 分 著衣持鉢 入 
T08n0236b_001:0757a28	舍衛大國而行乞食。於其國中次第行已，	舍 衛 大 國 而 行 乞 食 於 其 國 中 次 第 行 已 
T08n0236b_001:0757a29	還至本處，飯食事訖。於中後時，收衣鉢，洗	還 至 本 處 飯 食 事 訖 於 中 後 時 收 衣 鉢 洗 
T08n0236b_001:0757b01	足已。如常敷座跏趺安坐，端身而住，正念	足 已 如 常 敷 座 跏 趺 安 坐 端 身 而 住 正 念 
T08n0236b_001:0757b02	現前。時諸比丘俱往佛所，至佛所已，頂禮	現 前 時 諸 比 丘 俱 往 佛 所 至 佛 所 已 頂 禮 
T08n0236b_001:0757b03	佛足，右遶三匝却坐一面。爾時，淨命須菩	佛 足 右 遶 三 匝 却 坐 一 面 爾 時 淨 命 須 菩 
T08n0236b_001:0757b04	提於大眾中共坐聚集。時淨命須菩提即	提 於 大 眾 中 共 坐 聚 集 時 淨 命 須 菩 提 即 
T08n0236b_001:0757b05	從座起，偏袒右肩，頂禮佛足右膝著地。向	從 座 起 偏袒右肩 頂禮佛足 右膝著地 向 
T08n0236b_001:0757b06	佛合掌而白佛言：「希有，世尊！如來應供正	佛 合 掌 而 白 佛 言 希 有 世 尊 如 來 應 供 正 
T08n0236b_001:0757b07	遍覺知，善護念諸菩薩摩訶薩，由無上利	遍 覺 知 善 護 念 諸 菩薩摩訶薩 由 無 上 利 
T08n0236b_001:0757b08	益故；善付囑諸菩薩摩訶薩，由無上教故。	益 故 善 付 囑 諸 菩薩摩訶薩 由 無 上 教 故 
T08n0236b_001:0757b09	世尊！若善男子、善女人發阿耨多羅三藐三	世 尊 若 善 男 子 善 女 人 發 阿 耨 多 羅 三 藐 三 
T08n0236b_001:0757b10	菩提心行菩薩乘，云何應住？云何修行？云	菩 提 心 行 菩 薩 乘 云 何 應 住 云 何 修 行 云 
T08n0236b_001:0757b11	何發起菩薩心？」淨命須菩提作是問已。爾	何 發 起 菩 薩 心 淨 命 須 菩 提 作 是 問 已 爾 
T08n0236b_001:0757b12	時世尊告須菩提：「須菩提！善哉，善哉！如是，	時 世 尊 告 須 菩 提 須 菩 提 善 哉 善 哉 如 是 
T08n0236b_001:0757b13	善男子！如來善護念諸菩薩摩訶薩，無上	善 男 子 如 來 善 護 念 諸 菩薩摩訶薩 無 上 
T08n0236b_001:0757b14	利益故；善付囑諸菩薩摩訶薩，無上教故。	利 益 故 善 付 囑 諸 菩薩摩訶薩 無 上 教 故 
T08n0236b_001:0757b15	須菩提！是故汝今一心諦聽，恭敬善思念	須 菩 提 是 故 汝 今 一 心 諦 聽 恭 敬 善 思 念 
T08n0236b_001:0757b16	之，我今當為汝說。如菩薩發菩提心行菩	之 我 今 當 為 汝 說 如 菩 薩 發菩提心 行 菩 
T08n0236b_001:0757b17	薩乘，如是應住，如是修行，如是發心。」須	薩 乘 如 是 應 住 如 是 修 行 如 是 發 心 須 
T08n0236b_001:0757b18	菩提言：「唯然，世尊！」佛告須菩提：「須菩提！若	菩 提 言 唯 然 世 尊 佛 告 須 菩 提 須 菩 提 若 
T08n0236b_001:0757b19	善男子、善女人發菩提心行菩薩乘，應如	善 男 子 善 女 人 發菩提心 行 菩 薩 乘 應 如 
T08n0236b_001:0757b20	是發心：『所有一切眾生類攝，若卵生、若胎	是 發 心 所有一切 眾 生 類 攝 若 卵 生 若 胎 
T08n0236b_001:0757b21	生、若濕生、若化生，若有色、若無色，若有想、	生 若 濕 生 若 化 生 若 有 色 若 無 色 若 有 想 
T08n0236b_001:0757b22	若無想，若非有想、若非無想，乃至眾生界	若 無 想 若 非 有 想 若 非 無 想 乃 至 眾 生 界 
T08n0236b_001:0757b23	及假名說，如是眾生，我皆安置於無餘涅	及 假 名 說 如 是 眾 生 我 皆 安 置 於 無 餘 涅 
T08n0236b_001:0757b24	槃。』如是般涅槃無量眾生已，無一眾生被	槃 如 是 般 涅 槃 無 量 眾 生 已 無 一 眾 生 被 
T08n0236b_001:0757b25	涅槃者。何以故？須菩提，若菩薩有眾生想，	涅 槃 者 何 以 故 須 菩 提 若 菩 薩 有 眾 生 想 
T08n0236b_001:0757b26	即不應說名為菩薩。何以故？須菩提！一切	即 不 應 說 名 為 菩 薩 何 以 故 須 菩 提 一 切 
T08n0236b_001:0757b27	菩薩無我想、眾生想、壽者想、受者想。「復次，	菩 薩 無 我 想 眾 生 想 壽 者 想 受 者 想 復 次 
T08n0236b_001:0757b28	須菩提！菩薩不著己類而行布施，不著所	須 菩 提 菩 薩 不 著 己 類 而 行 布 施 不 著 所 
T08n0236b_001:0757b29	餘行於布施，不著色、聲、香、味、觸、法應行布	餘 行 於 布 施 不 著 色 聲 香 味 觸 法 應 行 布 
T08n0236b_001:0757c01	施。須菩提！菩薩應如是行施不著相想。何	施 須 菩 提 菩 薩 應 如 是 行 施 不 著 相 想 何 
T08n0236b_001:0757c02	以故？須菩提！若菩薩無執著心行於布施，	以 故 須 菩 提 若 菩 薩 無 執 著 心 行 於 布 施 
T08n0236b_001:0757c03	是福德聚不可數量。「須菩提！汝意云何？	是 福 德 聚 不 可 數 量 須 菩 提 汝意云何 
T08n0236b_001:0757c04	東方虛空可數量不？」須菩提言：「不可，世尊！」	東 方 虛 空 可 數 量 不 須 菩 提 言 不 可 世 尊 
T08n0236b_001:0757c05	佛言：「如是，須菩提！南西北方四維上下十	佛 言 如 是 須 菩 提 南 西 北 方 四 維 上 下 十 
T08n0236b_001:0757c06	方虛空可數量不？」須菩提言：「不可，世尊！」佛	方 虛 空 可 數 量 不 須 菩 提 言 不 可 世 尊 佛 
T08n0236b_001:0757c07	言：「如是，須菩提！若菩薩無執著心行於布	言 如 是 須 菩 提 若 菩 薩 無 執 著 心 行 於 布 
T08n0236b_001:0757c08	施，是福德聚亦復如是，不可數量。須菩	施 是 福 德 聚 亦復如是 不 可 數 量 須 菩 
T08n0236b_001:0757c09	提！汝意云何？可以身相勝德見如來不？」「不	提 汝意云何 可 以 身 相 勝 德 見 如 來 不 不 
T08n0236b_001:0757c10	也，世尊！何以故？如來所說身相勝德，非相	也 世 尊 何 以 故 如 來 所 說 身 相 勝 德 非 相 
T08n0236b_001:0757c11	勝德。」「何以故？須菩提！凡所有相皆是虛	勝 德 何 以 故 須 菩 提 凡 所 有 相 皆 是 虛 
T08n0236b_001:0757c12	妄，無所有相即是真實。由相無相應見如	妄 無 所 有 相 即 是 真 實 由 相 無 相 應 見 如 
T08n0236b_001:0757c13	來。」如是說已。淨命須菩提白佛言：「世尊！	來 如 是 說 已 淨 命 須 菩 提 白 佛 言 世 尊 
T08n0236b_001:0757c14	於今現時及未來世，頗有菩薩聽聞正說，	於 今 現 時 及 未 來 世 頗 有 菩 薩 聽 聞 正 說 
T08n0236b_001:0757c15	如是等相，此經章句，生實想不？」佛告須菩	如 是 等 相 此 經 章 句 生 實 想 不 佛 告 須 菩 
T08n0236b_001:0757c16	提：「莫作是說：『於今現時及未來世，頗有	提 莫 作 是 說 於 今 現 時 及 未 來 世 頗 有 
T08n0236b_001:0757c17	菩薩聽聞正說，如是等相，此經章句，生實想	菩 薩 聽 聞 正 說 如 是 等 相 此 經 章 句 生 實 想 
T08n0236b_001:0757c18	不？』何以故？須菩提！於未來世實有眾生	不 何 以 故 須 菩 提 於未來世 實 有 眾 生 
T08n0236b_001:0757c19	得聞此經能生實想。「復次，須菩提！於未來	得 聞 此 經 能 生 實 想 復 次 須 菩 提 於 未 來 
T08n0236b_001:0757c20	世後五十歲正法滅時，有諸菩薩摩訶薩	世 後 五 十 歲 正 法 滅 時 有 諸 菩薩摩訶薩 
T08n0236b_001:0757c21	持戒修福及有智慧。須菩提！是諸菩薩摩	持 戒 修 福 及 有 智 慧 須 菩 提 是 諸 菩 薩 摩 
T08n0236b_001:0757c22	訶薩非事一佛，非於一佛種諸善根；已事	訶 薩 非 事 一 佛 非 於 一 佛 種 諸 善 根 已 事 
T08n0236b_001:0757c23	無量百千諸佛，已於無量百千佛所而種	無 量 百 千 諸 佛 已 於 無 量 百 千 佛 所 而 種 
T08n0236b_001:0757c24	善根。若有善男子、善女人，聽聞正說，如是	善 根 若 有 善 男 子 善 女 人 聽 聞 正 說 如 是 
T08n0236b_001:0757c25	等相，此經章句，乃至一念生實信者。須菩	等 相 此 經 章 句 乃 至 一 念 生 實 信 者 須 菩 
T08n0236b_001:0757c26	提！如來悉知是人，悉見是人。「須菩提！是善	提 如 來 悉 知 是 人 悉 見 是 人 須 菩 提 是 善 
T08n0236b_001:0757c27	男子、善女人，生長無量福德之聚。何以故？	男 子 善 女 人 生 長 無量福德 之 聚 何 以 故 
T08n0236b_001:0757c28	須菩提。是諸菩薩無復我想、眾生想、壽者	須 菩 提 是 諸 菩 薩 無 復 我 想 眾 生 想 壽 者 
T08n0236b_001:0757c29	想、受者想。是諸菩薩無法想無非法想，無	想 受 者 想 是 諸 菩 薩 無 法 想 無 非 法 想 無 
T08n0236b_001:0758a01	想非無想。何以故？須菩提！是諸菩薩若有	想 非 無 想 何 以 故 須 菩 提 是 諸 菩 薩 若 有 
