T85n2842_001:1295a03	印沙佛文	印 沙 佛 文 
T85n2842_001:1295a05	仰啟蓮花藏界清淨法身。百億如來恒沙化	仰 啟 蓮 花 藏 界 清 淨 法 身 百 億 如 來 恒 沙 化 
T85n2842_001:1295a06	佛。清涼山頂大聖文殊。雞足嵓山得道羅漢。	佛 清 涼 山 頂 大 聖 文 殊 雞 足 嵓 山 得 道 羅 漢 
T85n2842_001:1295a07	龍宮祕典鷲嶺微言。道眼他心一切賢聖。唯	龍 宮 祕 典 鷲 嶺 微 言 道 眼 他 心 一 切 賢 聖 唯 
T85n2842_001:1295a08	願發神足。運悲心。降臨道場。證明功德。厥	願 發 神 足 運 悲 心 降 臨 道 場 證 明 功 德 厥 
T85n2842_001:1295a09	今置淨壇於八表。敷佛於四門。中央建觀音	今 置 淨 壇 於 八 表 敷 佛 於 四 門 中 央 建 觀 音 
T85n2842_001:1295a10	之場。釋眾轉金言之部。設香饌供三世諸佛。	之 場 釋 眾 轉 金 言 之 部 設 香 饌 供 三世諸佛 
T85n2842_001:1295a11	散淨食與水陸生靈。合境虔恭傾城懇顙者。	散 淨 食 與 水 陸 生 靈 合 境 虔 恭 傾 城 懇 顙 者 
T85n2842_001:1295a12	為誰施作。時則有我府一太保　瑞福攘災之	為 誰 施 作 時 則 有 我 府 一 太 保 瑞 福 攘 災 之 
T85n2842_001:1295a13	加會也　伏惟我□太保門傳閥閱。應賢五	加 會 也 伏 惟 我 太 保 門 傳 閥 閱 應 賢 五 
T85n2842_001:1295a14	百之年。岳瀆清生資。當期半千之士。文過周	百 之 年 岳 瀆 清 生 資 當 期 半 千 之 士 文 過 周 
T85n2842_001:1295a15	孔雅操。入木而七分。彎弓穿揚舉矢。猿啼而	孔 雅 操 入 木 而 七 分 彎 弓 穿 揚 舉 矢 猿 啼 而 
T85n2842_001:1295a16	遶樹寬弘治眾。萬姓歎異瑞之風。設法安人。	遶 樹 寬 弘 治 眾 萬 姓 歎 異 瑞 之 風 設 法 安 人 
T85n2842_001:1295a17	千家賀堯年之慶。加以信珠皎淨心鏡先明。	千 家 賀 堯 年 之 慶 加 以 信 珠 皎 淨 心 鏡 先 明 
T85n2842_001:1295a18	憑釋教以定八方。奉□聖賢而安社稷。先陳	憑 釋 教 以 定 八 方 奉 聖 賢 而 安 社 稷 先 陳 
T85n2842_001:1295a19	志懇。相鷲嶺而傾心。請佛迎僧。結淨壇於九	志 懇 相 鷲 嶺 而 傾 心 請 佛 迎 僧 結 淨 壇 於 九 
T85n2842_001:1295a20	地。六時轉念經聲動曉於合城。士庶誥天。鈴	地 六 時 轉 念 經 聲 動 曉 於 合 城 士 庶 誥 天 鈴 
T85n2842_001:1295a21	梵洪鳴於滿城。是時也太陽北照。凝凍相容。	梵 洪 鳴 於 滿 城 是 時 也 太 陽 北 照 凝 凍 相 容 
T85n2842_001:1295a22	僧徒念誦以周圓。灌頂精誠已五日總斯多	僧 徒 念 誦 以 周 圓 灌 頂 精 誠 已 五 日 總 斯 多 
T85n2842_001:1295a23	善。無限朦因先用莊嚴。梵釋四王龍天八部。	善 無 限 朦 因 先 用 莊 嚴 梵 釋 四 王 龍 天 八 部 
T85n2842_001:1295a24	伏願威光轉盛。福力彌增興運慈悲。救人護	伏 願 威 光 轉 盛 福 力 彌 增 興 運 慈 悲 救 人 護 
T85n2842_001:1295a25	國。當今聖主永坐皇城。十道爭馳赤心向國。	國 當 今 聖 主 永 坐 皇 城 十 道 爭 馳 赤 心 向 國 
