X62n1201_001:0642b06	啟信雜說	啟 信 雜 說 
X62n1201_001:0642b08	鹿城周安士思仁輯	鹿 城 周 安 士 思 仁 輯 
X62n1201_001:0642b09	以淨土之說。勸大智慧人。化導甚易。因其宿福深	以 淨 土 之 說 勸 大 智 慧 人 化 導 甚 易 因 其 宿 福 深 
X62n1201_001:0642b10	厚。根器不凡也。以淨土之說。勸愚夫愚婦化導亦	厚 根 器 不 凡 也 以 淨 土 之 說 勸 愚 夫 愚 婦 化 導 亦 
X62n1201_001:0642b11	易。因其胸無成見。如甘之可以受和。白之可以受	易 因 其 胸 無 成 見 如 甘 之 可 以 受 和 白 之 可 以 受 
X62n1201_001:0642b12	采也。獨是以其說告之吾輩讀書人。却甚不易。由	采 也 獨 是 以 其 說 告 之 吾 輩 讀 書 人 却 甚 不 易 由 
X62n1201_001:0642b13	其先有一種陳腐之執。牢結於胸。故雖有至道。而	其 先 有 一 種 陳 腐 之 執 牢 結 於 胸 故 雖 有 至 道 而 
X62n1201_001:0642b14	不欲聞。雖有良言。而不欲聽也。爰集指迷歸信之	不 欲 聞 雖 有 良 言 而 不 欲 聽 也 爰 集 指 迷 歸 信 之 
X62n1201_001:0642b15	言。可與淨土相發明者。摘錄數條。以當法喜。名為	言 可 與 淨 土 相 發 明 者 摘 錄 數 條 以 當 法 喜 名 為 
X62n1201_001:0642b16	啟信雜說。	啟 信 雜 說 
X62n1201_001:0642b18	啟信雜說目次	啟 信 雜 說 目 次 
X62n1201_001:0642b19	如如居士顏丙勸修行文理障更甚於欲	如 如 居 士 顏 丙 勸 修 行 文 理 障 更 甚 於 欲 
X62n1201_001:0642b20	先要知三世之說又要明因果之理	先 要 知 三 世 之 說 又 要 明 因 果 之 理 
X62n1201_001:0642b21	三世之理孔子必定說過智者勿以短命自待	三 世 之 理 孔 子 必 定 說 過 智 者 勿 以 短 命 自 待 
X62n1201_001:0642b22	有智者不可隘其見聞藏經不可不讀	有 智 者 不 可 隘 其 見 聞 藏 經 不 可 不 讀 
X62n1201_001:0642b23	奘師善於哲發當於肉軀生厭離心	奘 師 善 於 哲 發 當 於 肉 軀 生 厭 離 心 
X62n1201_001:0642b24	大孝人不願入胎大貴人須知自慚	大 孝 人 不 願 入 胎 大 貴 人 須 知 自 慚 
X62n1201_001:0642c01	蠶繭喻籪籃喻	蠶 繭 喻 籪 籃 喻 
X62n1201_001:0642c02	馬喻野狐喻	馬 喻 野 狐 喻 
X62n1201_001:0642c03	歸咎冥王撲燈蛾	歸 咎 冥 王 撲 燈 蛾 
X62n1201_001:0642c04	窗內蠅調馬四法	窗 內 蠅 調 馬 四 法 
X62n1201_001:0642c05	眼藥有願必遂	眼 藥 有 願 必 遂 
X62n1201_001:0642c06	為僧者不可不修淨土高僧亦宜修淨土	為 僧 者 不 可 不 修 淨 土 高 僧 亦 宜 修 淨 土 
X62n1201_001:0642c07	不可甘心作鬼九類皆當往生	不 可 甘 心 作 鬼 九 類 皆 當 往 生 
X62n1201_001:0642c08	念佛無枉用之方人間勝事無如念佛	念 佛 無 枉 用 之 方 人 間 勝 事 無 如 念 佛 
X62n1201_001:0642c10	如如居士顏丙勸修行文	如 如 居 士 顏 丙 勸 修 行 文 
X62n1201_001:0642c11	人人愛此色身。誰信身為苦本。刻刻貪圖快樂。不知	人 人 愛 此 色 身 誰 信 身 為 苦 本 刻 刻 貪 圖 快 樂 不 知 
X62n1201_001:0642c12	樂是苦因。浮生易度。那得久居。幻質匪堅。總歸磨滅。	樂 是 苦 因 浮 生 易 度 那 得 久 居 幻 質 匪 堅 總 歸 磨 滅 
X62n1201_001:0642c13	長年者偶至八九十而亡。短命者不過二三旬而夭。	長 年 者 偶 至 八 九 十 而 亡 短 命 者 不 過 二 三 旬 而 夭 
X62n1201_001:0642c14	更有今日不知來日事。又有上牀忽別下牀鞋。幾多	更 有 今 日 不 知 來 日 事 又 有 上 牀 忽 別 下 牀 鞋 幾 多 
