T14n0451_001:0409a03	  [  ; 灌頂經卷第十二]	 [灌頂經卷第十二] 
T14n0451_001:0409a04	藥師琉璃光七佛本願功德經卷	藥師琉璃光 七 佛 本 願 功 德 經 卷 
T14n0451_001:0409a05	上	上 
T14n0451_001:0409a07	大唐三藏沙門義淨於佛光內寺譯	大 唐 三 藏 沙 門 義 淨 於 佛 光 內 寺 譯 
T14n0451_001:0409a08	如是我聞：一時，薄伽梵遊化諸國，至廣嚴	如是我聞 一 時 薄 伽 梵 遊 化 諸 國 至 廣 嚴 
T14n0451_001:0409a09	城，在樂音樹下，與大苾芻眾八千人俱，菩	城 在 樂 音 樹 下 與 大 苾 芻 眾 八 千 人 俱 菩 
T14n0451_001:0409a10	薩摩訶薩三萬六千，其名曰：曼殊室利菩薩、	薩 摩 訶 薩 三 萬 六 千 其 名 曰 曼 殊 室 利 菩 薩 
T14n0451_001:0409a11	觀自在菩薩、慈氏菩薩、善現菩薩、大慧菩薩、	觀 自 在 菩 薩 慈 氏 菩 薩 善 現 菩 薩 大 慧 菩 薩 
T14n0451_001:0409a12	明慧菩薩、山峯菩薩、辯峯菩薩、持妙高峯菩	明 慧 菩 薩 山 峯 菩 薩 辯 峯 菩 薩 持 妙 高 峯 菩 
T14n0451_001:0409a13	薩、不空超越菩薩、微妙音菩薩、常思惟菩薩、	薩 不 空 超 越 菩 薩 微 妙 音 菩 薩 常 思 惟 菩 薩 
T14n0451_001:0409a14	執金剛菩薩，如是等諸大菩薩而為上首，及	執 金 剛 菩 薩 如 是 等 諸 大 菩 薩 而 為 上 首 及 
T14n0451_001:0409a15	諸國王、大臣、婆羅門、居士、天龍八部，人、非人	諸 國 王 大 臣 婆 羅 門 居 士 天 龍 八 部 人 非 人 
T14n0451_001:0409a16	等，無量大眾恭敬圍遶，而為說法，初、中、後善，	等 無 量 大 眾 恭 敬 圍 遶 而 為 說 法 初 中 後 善 
T14n0451_001:0409a17	文義巧妙，純一圓滿，清淨鮮白，梵行之相，	文義巧妙 純 一 圓 滿 清 淨 鮮 白 梵 行 之 相 
