T15n0641_001:0623b07	佛說月燈三昧經	佛 說 月燈三昧 經 
T15n0641_001:0623b09	宋沙門釋先公譯	宋 沙 門 釋 先 公 譯 
T15n0641_001:0623b10	「童子！菩薩摩訶薩復有六種三界。何等為六？	 童 子 菩薩摩訶薩 復 有 六 種 三 界 何 等 為 六 
T15n0641_001:0623b11	一者、諸行三界不可思議，二者、有為三界不	一 者 諸 行 三 界 不可思議 二 者 有 為 三 界 不 
T15n0641_001:0623b12	可思議，三者、無為三界不可思議，四者、有住	可 思 議 三 者 無 為 三 界 不可思議 四 者 有 住 
T15n0641_001:0623b13	三界不可思議，五者、無住三界不可思議，六	三 界 不可思議 五 者 無 住 三 界 不可思議 六 
T15n0641_001:0623b14	者、皆空不可思議；是為六種。	者 皆 空 不可思議 是 為 六 種 
T15n0641_001:0623b15	「童子！菩薩摩訶薩復有六種欲界。何等為六？	 童 子 菩薩摩訶薩 復 有 六 種 欲 界 何 等 為 六 
T15n0641_001:0623b16	一者、諸行欲界不可思議，二者、有為欲界不	一 者 諸 行 欲 界 不可思議 二 者 有 為 欲 界 不 
T15n0641_001:0623b17	可思議，三者、無為欲界不可思議，四者、有住	可 思 議 三 者 無 為 欲 界 不可思議 四 者 有 住 
T15n0641_001:0623b18	欲界不可思議，五者、無住欲界不可思議，六	欲 界 不可思議 五 者 無 住 欲 界 不可思議 六 
T15n0641_001:0623b19	者、皆空不可思議；是為六種。	者 皆 空 不可思議 是 為 六 種 
T15n0641_001:0623b20	「童子！菩薩摩訶薩復有六種色界。何等為六？	 童 子 菩薩摩訶薩 復 有 六 種 色 界 何 等 為 六 
T15n0641_001:0623b21	一者、諸行色界不可思議，二者、有為色界不	一 者 諸 行 色 界 不可思議 二 者 有 為 色 界 不 
T15n0641_001:0623b22	可思議，三者、無為色界不可思議，四者、有住	可 思 議 三 者 無 為 色 界 不可思議 四 者 有 住 
T15n0641_001:0623b23	色界不可思議，五者、無住色界不可思議，六	色 界 不可思議 五 者 無 住 色 界 不可思議 六 
T15n0641_001:0623b24	者、皆空不可思議；是為六種。	者 皆 空 不可思議 是 為 六 種 
T15n0641_001:0623b25	「童子！菩薩摩訶薩復有六種無色界。何等為	 童 子 菩薩摩訶薩 復 有 六 種 無 色 界 何 等 為 
T15n0641_001:0623b26	六？一者、諸行無色界不可思議，二者、有為無	六 一 者 諸 行 無 色 界 不可思議 二 者 有 為 無 
T15n0641_001:0623b27	色界不可思議，三者、無為無色界不可思議，	色 界 不可思議 三 者 無 為 無 色 界 不可思議 
T15n0641_001:0623b28	四者、有住無色界不可思議，五者、無住無色	四 者 有 住 無 色 界 不可思議 五 者 無 住 無 色 
T15n0641_001:0623b29	界不可思議，六者、皆空不可思議；是為六	界 不可思議 六 者 皆 空 不可思議 是 為 六 
T15n0641_001:0623c01	種。	種 
T15n0641_001:0623c02	「童子！菩薩摩訶薩復有六種諸行。何等為六？	 童 子 菩薩摩訶薩 復 有 六 種 諸 行 何 等 為 六 
T15n0641_001:0623c03	一者、諸行諸行不可思議，二者、有為諸行不	一 者 諸 行 諸 行 不可思議 二 者 有 為 諸 行 不 
T15n0641_001:0623c04	可思議，三者、無為諸行不可思議，四者、有住	可 思 議 三 者 無 為 諸 行 不可思議 四 者 有 住 
T15n0641_001:0623c05	諸行不可思議，五者、無住諸行不可思議，六	諸 行 不可思議 五 者 無 住 諸 行 不可思議 六 
T15n0641_001:0623c06	者、皆空不可思議；是為六種。	者 皆 空 不可思議 是 為 六 種 
T15n0641_001:0623c07	「童子！菩薩摩訶薩復有六種無常。何等為六？	 童 子 菩薩摩訶薩 復 有 六 種 無 常 何 等 為 六 
T15n0641_001:0623c08	一者、諸行無常不可思議，二者、有為無常不	一 者 諸行無常 不可思議 二 者 有 為 無 常 不 
T15n0641_001:0623c09	可思議，三者、無為無常不可思議，四者、有住	可 思 議 三 者 無 為 無 常 不可思議 四 者 有 住 
T15n0641_001:0623c10	無常不可思議，五者、無住無常不可思議，六	無 常 不可思議 五 者 無 住 無 常 不可思議 六 
T15n0641_001:0623c11	者、皆空不可思議；是為六種。	者 皆 空 不可思議 是 為 六 種 
T15n0641_001:0623c12	「童子！菩薩摩訶薩復有六種是生。何等為六？	 童 子 菩薩摩訶薩 復 有 六 種 是 生 何 等 為 六 
T15n0641_001:0623c13	一者、諸行是生不可思議，二者、有為是生不	一 者 諸 行 是 生 不可思議 二 者 有 為 是 生 不 
T15n0641_001:0623c14	可思議，三者、無為是生不可思議，四者、有住	可 思 議 三 者 無 為 是 生 不可思議 四 者 有 住 
T15n0641_001:0623c15	是生不可思議，五者、無住是生不可思議，六	是 生 不可思議 五 者 無 住 是 生 不可思議 六 
T15n0641_001:0623c16	者、皆空不可思議；是為六種。	者 皆 空 不可思議 是 為 六 種 
T15n0641_001:0623c17	「童子！菩薩摩訶薩復有六種滅法。何等為六？	 童 子 菩薩摩訶薩 復 有 六 種 滅 法 何 等 為 六 
T15n0641_001:0623c18	一者、諸行滅法不可思議，二者、有為滅法不	一 者 諸 行 滅 法 不可思議 二 者 有 為 滅 法 不 
T15n0641_001:0623c19	可思議，三者、無為滅法不可思議，四者、有住	可 思 議 三 者 無 為 滅 法 不可思議 四 者 有 住 
T15n0641_001:0623c20	滅法不可思議，五者、無住滅法不可思議，六	滅 法 不可思議 五 者 無 住 滅 法 不可思議 六 
T15n0641_001:0623c21	者、皆空不可思議；是為六種。	者 皆 空 不可思議 是 為 六 種 
T15n0641_001:0623c22	「童子！菩薩摩訶薩復有六種生滅。何等為六？	 童 子 菩薩摩訶薩 復 有 六 種 生 滅 何 等 為 六 
T15n0641_001:0623c23	一者、諸行生滅不可思議，二者、有為生滅不	一 者 諸 行 生 滅 不可思議 二 者 有 為 生 滅 不 
T15n0641_001:0623c24	可思議，三者、無為生滅不可思議，四者、有住	可 思 議 三 者 無 為 生 滅 不可思議 四 者 有 住 
T15n0641_001:0623c25	生滅不可思議，五者、無住生滅不可思議，	生 滅 不可思議 五 者 無 住 生 滅 不可思議 
T15n0641_001:0623c26	六者、皆空不可思議；是為六種。	六 者 皆 空 不可思議 是 為 六 種 
T15n0641_001:0623c27	「童子！菩薩摩訶薩復有六種滅已。何等為六？	 童 子 菩薩摩訶薩 復 有 六 種 滅 已 何 等 為 六 
T15n0641_001:0623c28	一者、諸行滅已不可思議，二者、有為滅已不	一 者 諸 行 滅 已 不可思議 二 者 有 為 滅 已 不 
T15n0641_001:0623c29	可思議，三者、無為滅已不可思議，四者、有住	可 思 議 三 者 無 為 滅 已 不可思議 四 者 有 住 
T15n0641_001:0624a01	滅已不可思議，五者、無住滅已不可思議，六	滅 已 不可思議 五 者 無 住 滅 已 不可思議 六 
