T24n1474_001:0937a10	沙彌尼戒經	沙彌尼戒 經 
T24n1474_001:0937a12	在後漢錄	在 後 漢 錄 
T24n1474_001:0937a13	沙彌尼初戒：不得殺生。慈愍群生如父母念	沙 彌 尼 初 戒 不 得 殺 生 慈 愍 群 生 如 父 母 念 
T24n1474_001:0937a14	子，加哀蠕動猶如赤子。何謂不殺？護身口意。	子 加 哀 蠕 動 猶 如 赤 子 何 謂 不 殺 護 身 口 意 
T24n1474_001:0937a15	身不殺人物蚑行喘息之類，而不手為亦不	身 不 殺 人 物 蚑 行 喘 息 之 類 而 不 手 為 亦 不 
T24n1474_001:0937a16	教人，見殺不食、聞殺不食、疑殺不食、為我殺	教 人 見 殺 不 食 聞 殺 不 食 疑 殺 不 食 為 我 殺 
T24n1474_001:0937a17	不食。口不說言當殺、當害、報怨，亦不得言死	不 食 口 不 說 言 當 殺 當 害 報 怨 亦 不 得 言 死 
T24n1474_001:0937a18	快、殺快，某肥、某瘦，某肉多好、某肉少也。意亦	快 殺 快 某 肥 某 瘦 某 肉 多 好 某 肉 少 也 意 亦 
T24n1474_001:0937a19	不念當有所賊殺於某快乎，某畜肥、某瘦。哀	不 念 當 有 所 賊 殺 於 某 快 乎 某 畜 肥 某 瘦 哀 
T24n1474_001:0937a20	諸眾生如己骨髓，如父、如母、如子、如身，等無	諸 眾 生 如 己 骨 髓 如 父 如 母 如 子 如 身 等 無 
T24n1474_001:0937a21	差特，普等一心常志大乘。是為沙彌尼始學	差 特 普 等 一 心 常 志 大 乘 是 為 沙 彌 尼 始 學 
T24n1474_001:0937a22	戒也。	戒 也 
T24n1474_001:0937a23	沙彌尼戒：不得盜竊。一錢以上草葉毛米，不	沙彌尼戒 不 得 盜 竊 一 錢 以 上 草 葉 毛 米 不 
T24n1474_001:0937a24	得取也。主不手與不得取。口不言取，心不念	得 取 也 主 不 手 與 不 得 取 口 不 言 取 心 不 念 
T24n1474_001:0937a25	取，目不愛色，耳不愛聲，鼻不盜香，舌不偷	取 目 不 愛 色 耳 不 愛 聲 鼻 不 盜 香 舌 不 偷 
T24n1474_001:0937a26	味，身不貪衣，心不竊欲。六情無著，常立權	味 身 不 貪 衣 心 不 竊 欲 六 情 無 著 常 立 權 
T24n1474_001:0937a27	慧，則曰不盜。是為沙彌尼戒也。	慧 則 曰 不 盜 是 為 沙彌尼戒 也 
T24n1474_001:0937a28	沙彌尼戒：不得婬泆。何謂不得？一心清潔，	沙彌尼戒 不 得 婬 泆 何 謂 不 得 一 心 清 潔 
T24n1474_001:0937a29	身不婬泆，口不說婬，心不念婬。執己鮮明，	身 不 婬 泆 口 不 說 婬 心 不 念 婬 執 己 鮮 明 
T24n1474_001:0937b01	如虛空風無所倚著。身不行婬，目不婬視，耳	如 虛 空 風 無 所 倚 著 身 不 行 婬 目 不 婬 視 耳 
T24n1474_001:0937b02	不婬聽，鼻不婬香，口不婬言，心不存欲。觀身	不 婬 聽 鼻 不 婬 香 口 不 婬 言 心 不 存 欲 觀 身 
T24n1474_001:0937b03	四大本無所有，計地、水、火、風，無我、無人、無壽、	四 大 本 無 所 有 計 地 水 火 風 無 我 無 人 無 壽 
T24n1474_001:0937b04	無命，何所婬泆，何所著乎？志空無相願。是	無 命 何 所 婬 泆 何 所 著 乎 志 空 無 相 願 是 
T24n1474_001:0937b05	為沙彌尼戒也。	為 沙彌尼戒 也 
T24n1474_001:0937b06	沙彌尼戒：不得兩舌惡言。言語安詳，不見莫	沙彌尼戒 不 得 兩 舌 惡 言 言 語 安 詳 不 見 莫 
T24n1474_001:0937b07	言見、不聞莫言聞。見惡不傳、聞惡不宣，惡言	言 見 不 聞 莫 言 聞 見 惡 不 傳 聞 惡 不 宣 惡 言 
T24n1474_001:0937b08	直避，常行四等。無有非言，言輒說道。不得	直 避 常 行 四 等 無 有 非 言 言 輒 說 道 不 得 
T24n1474_001:0937b09	論說俗事，不講王者臣吏賊事，常歎經法菩	論 說 俗 事 不 講 王 者 臣 吏 賊 事 常 歎 經 法 菩 
T24n1474_001:0937b10	薩正戒。志于大乘，不為小學，行四等心。是為	薩 正 戒 志 于 大 乘 不 為 小 學 行 四 等 心 是 為 
T24n1474_001:0937b11	沙彌尼戒也。	沙彌尼戒 也 
T24n1474_001:0937b12	沙彌尼戒：不得飲酒。不得嗜酒，不得甞酒。酒	沙彌尼戒 不 得 飲 酒 不 得 嗜 酒 不 得 甞 酒 酒 
T24n1474_001:0937b13	有三十六失，失道、破家、危身、喪命，皆悉由之。	有 三 十 六 失 失 道 破 家 危 身 喪 命 皆 悉 由 之 
T24n1474_001:0937b14	牽東引西，持南著北；不能諷經，不敬三尊；輕	牽 東 引 西 持 南 著 北 不 能 諷 經 不 敬 三 尊 輕 
T24n1474_001:0937b15	易師友，不孝父母；心閉意塞，世世愚癡；不值	易 師 友 不 孝 父 母 心 閉 意 塞 世 世 愚 癡 不 值 
T24n1474_001:0937b16	大道，其心無識，故不飲酒。欲離五陰、五欲、五	大 道 其 心 無 識 故 不 飲 酒 欲 離 五 陰 五 欲 五 
T24n1474_001:0937b17	蓋，得五神通，得度五道。是為沙彌尼戒也。	蓋 得 五 神 通 得 度 五 道 是 為 沙彌尼戒 也 
T24n1474_001:0937b18	沙彌尼戒：不得持香華自熏飾，衣被履縷不	沙彌尼戒 不 得 持 香 華 自 熏 飾 衣 被 履 縷 不 
T24n1474_001:0937b19	得五色，不得以眾寶自瓔珞，不得著錦繡綾	得 五 色 不 得 以 眾 寶 自 瓔 珞 不 得 著 錦 繡 綾 
T24n1474_001:0937b20	羅綺縠。不得綺視，當著麁服，青、黑、木蘭，及泥	羅 綺 縠 不 得 綺 視 當 著 麁 服 青 黑 木 蘭 及 泥 
T24n1474_001:0937b21	洹裏衣，低頭而行。欲除六衰，以戒為香。求誦	洹 裏 衣 低 頭 而 行 欲 除 六 衰 以 戒 為 香 求 誦 
T24n1474_001:0937b22	深法以為真寶，三十二相以為瓔珞，得殖	深 法 以 為 真 寶 三十二相 以 為 瓔 珞 得 殖 
T24n1474_001:0937b23	眾好以為被服，願六神通無礙，六度導人。是	眾 好 以 為 被 服 願 六 神 通 無 礙 六 度 導 人 是 
T24n1474_001:0937b24	為沙彌尼戒也。	為 沙彌尼戒 也 
T24n1474_001:0937b25	沙彌尼戒：不得坐金銀高床。綺繡錦被，寶綩	沙彌尼戒 不 得 坐 金 銀 高 床 綺 繡 錦 被 寶 綩 
T24n1474_001:0937b26	綖，不得念之。不得教求索好床榻席、五色畫	綖 不 得 念 之 不 得 教 求 索 好 床 榻 席 五 色 畫 
T24n1474_001:0937b27	扇、上好[肖*毛]拂。不得著臂釧指鐶。直信、戒、慚、愧、	扇 上 好 [肖毛] 拂 不 得 著 臂 釧 指 鐶 直 信 戒 慚 愧 
T24n1474_001:0937b28	施、博聞、智慧，一心精專。常求三昧以為床榻，	施 博 聞 智 慧 一 心 精 專 常 求 三 昧 以 為 床 榻 
T24n1474_001:0937b29	心不動搖；眾慧自然以為坐具，七覺不轉志	心 不 動 搖 眾 慧 自 然 以 為 坐 具 七 覺 不 轉 志 
T24n1474_001:0937c01	于道心。是為沙彌尼戒也。	于 道 心 是 為 沙彌尼戒 也 
T24n1474_001:0937c02	沙彌尼戒：不得聽歌舞音樂聲拍手鼓節。不	沙彌尼戒 不 得 聽 歌 舞 音 樂 聲 拍 手 鼓 節 不 
T24n1474_001:0937c03	得自為亦不教人。常自修身，順行正法，不為	得 自 為 亦 不 教 人 常 自 修 身 順 行 正 法 不 為 
T24n1474_001:0937c04	邪行，一心歸佛，誦經行正以為法樂，不為俗	邪 行 一 心 歸 佛 誦 經 行 正 以 為 法 樂 不 為 俗 
T24n1474_001:0937c05	樂。聽經思惟深入大義。自不有疾，不得乘車	樂 聽 經 思 惟 深 入 大 義 自 不 有 疾 不 得 乘 車 
T24n1474_001:0937c06	馬象。當念輕舉、八不思議神通之達，以為車	馬 象 當 念 輕 舉 八 不 思 議 神 通 之 達 以 為 車 
T24n1474_001:0937c07	乘，度脫八難。是為沙彌尼戒也。	乘 度 脫 八 難 是 為 沙彌尼戒 也 
T24n1474_001:0937c08	沙彌尼戒：不得積聚珍寶。不得手取，不得	沙彌尼戒 不 得 積 聚 珍 寶 不 得 手 取 不 得 
T24n1474_001:0937c09	教人。常自專精，以道為寶，以經為上，以義為	教 人 常 自 專 精 以 道 為 寶 以 經 為 上 以 義 為 
T24n1474_001:0937c10	妙，解空無相無願為本。至於三脫，不求貪欲。	妙 解 空無相無願 為 本 至 於 三 脫 不 求 貪 欲 
T24n1474_001:0937c11	欲離九惱，住道甚久，無窮無極，無有邊際，亦	欲 離 九 惱 住 道 甚 久 無 窮 無 極 無有邊際 亦 
T24n1474_001:0937c12	無所住。是為沙彌尼戒也。	無 所 住 是 為 沙彌尼戒 也 
T24n1474_001:0937c13	沙彌尼戒：食不失時。常以時食不得失度，過	沙彌尼戒 食 不 失 時 常 以 時 食 不 得 失 度 過 
T24n1474_001:0937c14	日中後不得復食，雖有甘美無極之味，終不	日 中 後 不 得 復 食 雖 有 甘 美 無 極 之 味 終 不 
T24n1474_001:0937c15	復食。亦不教人犯，心亦不念。假使無上自然	復 食 亦 不 教 人 犯 心 亦 不 念 假 使 無 上 自 然 
T24n1474_001:0937c16	食來，亦不得食也。若長者國王過日中後，	食 來 亦 不 得 食 也 若 長 者 國 王 過 日 中 後 
T24n1474_001:0937c17	亦不服食，終死不犯。常思禪定，一切飲食	亦 不 服 食 終 死 不 犯 常 思 禪 定 一 切 飲 食 
T24n1474_001:0937c18	雖有所食，裁自支命。欲令一切解深達願，	雖 有 所 食 裁 自 支 命 欲 令 一 切 解 深 達 願 
T24n1474_001:0937c19	得十種力以為飲食。是為沙彌尼戒也。	得 十 種 力 以 為 飲 食 是 為 沙彌尼戒 也 
T24n1474_001:0937c20	沙彌尼已受十戒，原道思純，能行是十事，五	沙 彌 尼 已 受 十 戒 原 道 思 純 能 行 是 十 事 五 
T24n1474_001:0937c21	百戒自然具足。譬如人頭、手、足、眼、耳、鼻、口、身、	百 戒 自 然 具 足 譬 如 人 頭 手 足 眼 耳 鼻 口 身 
T24n1474_001:0937c22	意、腹、背不毀，諸根具足，腸、胃、肺、肝、五藏諸節、	意 腹 背 不 毀 諸 根 具 足 腸 胃 肺 肝 五 藏 諸 節 
T24n1474_001:0937c23	筋、脈悉具。譬如樹根安隱具足，不枯腐朽，莖	筋 脈 悉 具 譬 如 樹 根 安 隱 具 足 不 枯 腐 朽 莖 
T24n1474_001:0937c24	節、枝葉、華、實自然弘茂。沙彌尼如是，能備十	節 枝 葉 華 實 自 然 弘 茂 沙 彌 尼 如 是 能 備 十 
T24n1474_001:0937c25	戒之本，其五百戒皆悉周滿，可逮神通無所	戒 之 本 其 五 百 戒 皆 悉 周 滿 可 逮 神 通 無 所 
T24n1474_001:0937c26	不達。譬如好田，種不腐敗，風雨時節，五穀豐	不 達 譬 如 好 田 種 不 腐 敗 風 雨 時 節 五 穀 豐 
T24n1474_001:0937c27	熟，人民得治。沙彌尼如是能尊十戒，五百	熟 人 民 得 治 沙 彌 尼 如 是 能 尊 十 戒 五 百 
T24n1474_001:0937c28	戒則為舉矣。譬如國君風化普平，萬民安寧。	戒 則 為 舉 矣 譬 如 國 君 風 化 普 平 萬 民 安 寧 
T24n1474_001:0937c29	沙彌尼如是，若能具十戒者，五百之戒自然	沙 彌 尼 如 是 若 能 具 十 戒 者 五 百 之 戒 自 然 
T24n1474_001:0938a01	普備，若父母慈和，子孫、眷屬、奴客、婢使自然	普 備 若 父 母 慈 和 子 孫 眷 屬 奴 客 婢 使 自 然 
T24n1474_001:0938a02	率從。	率 從 
T24n1474_001:0938a03	又沙彌尼常尊三寶，敬師和上，過於父母百	又 沙 彌 尼 常 尊 三 寶 敬 師 和 上 過 於 父 母 百 
T24n1474_001:0938a04	千萬倍。父母一世，和上度無極無限。念報	千 萬 倍 父 母 一 世 和 上 度 無 極 無 限 念 報 
T24n1474_001:0938a05	反復，不造反逆。常厭穢身，如人閉獄，墮墜溷	反 復 不 造 反 逆 常 厭 穢 身 如 人 閉 獄 墮 墜 溷 
