X58n1019_001:0584a07	辨非集	辨 非 集 
X58n1019_001:0584a09	解空法師。述通論事苑。伸贊金剛般若。其書禪教	解 空 法 師 述 通 論 事 苑 伸 贊 金 剛 般 若 其 書 禪 教 
X58n1019_001:0584a10	無用。士庶莫取。中間詆訿先覺。義似未安。因攷其	無 用 士 庶 莫 取 中 間 詆 訿 先 覺 義 似 未 安 因 攷 其 
X58n1019_001:0584a11	說。遂效明教禪師。作非韓三十篇以辯之。然非愛	說 遂 效 明 教 禪 師 作 非 韓 三 十 篇 以 辯 之 然 非 愛 
X58n1019_001:0584a12	惡相攻執情偏尚。志欲法門流布共贊大猷。苟或	惡 相 攻 執 情 偏 尚 志 欲 法 門 流 布 共 贊 大 猷 苟 或 
X58n1019_001:0584a13	不然。唯聖可矚耳。旹淳熈戊戌解制後一日。姑蘇	不 然 唯 聖 可 矚 耳 旹 淳 熈 戊 戌 解 制 後 一 日 姑 蘇 
X58n1019_001:0584a14	寶幢蘭若比丘(善喜)敘。	寶 幢 蘭 若 比 丘 善 喜 敘 
X58n1019_001:0584a15	○金剛通論	 金 剛 通 論 
X58n1019_001:0584a16	序分。或直從事。或直從法。若直從事。如此經舍衛國	序 分 或 直 從 事 或 直 從 法 若 直 從 事 如 此 經 舍 衛 國 
X58n1019_001:0584a17	祇樹給孤獨園也。或直從法。如圓覺神通大光明藏	祇 樹 給 孤 獨 園 也 或 直 從 法 如 圓 覺 神 通 大 光 明 藏 
X58n1019_001:0584a18	也。佗宗諸經。或在淨土說。或在穢土說。土既不同。身	也 佗 宗 諸 經 或 在 淨 土 說 或 在 穢 土 說 土 既 不 同 身 
X58n1019_001:0584a19	亦有異。在淨土說切恐未然。但事法不同。隨機所見。	亦 有 異 在 淨 土 說 切 恐 未 然 但 事 法 不 同 隨 機 所 見 
X58n1019_001:0584a20	非曰。或直從事。或直從法。不知何所憑據。良由未	非 曰 或 直 從 事 或 直 從 法 不 知 何 所 憑 據 良 由 未 
X58n1019_001:0584a21	閑經論。故使然也。今略舉淨土數經。令其自曉。深	閑 經 論 故 使 然 也 今 略 舉 淨 土 數 經 令 其 自 曉 深 
X58n1019_001:0584a22	密解脫經云。如是我聞。一時婆伽婆。住法界殿如	密 解 脫 經 云 如是我聞 一 時 婆 伽 婆 住 法 界 殿 如 
X58n1019_001:0584a23	來境界處。又解深密經。薄伽梵。住最勝光曜七寶	來 境 界 處 又 解 深 密 經 薄 伽 梵 住 最 勝 光 曜 七 寶 
X58n1019_001:0584a24	莊嚴放大光明普照一切無邊法界。又法集經。婆	莊 嚴 放大光明 普 照 一 切 無邊法界 又 法 集 經 婆 
X58n1019_001:0584b01	伽婆。在虗空界法界無差別住處。稱讚大乘經。薄	伽 婆 在 虗 空 界 法 界 無 差 別 住 處 稱 讚 大 乘 經 薄 
X58n1019_001:0584b02	伽梵。住法界藏諸佛所行大功德殿。又密嚴經云。	伽 梵 住 法 界 藏 諸 佛 所 行 大 功 德 殿 又 密 嚴 經 云 
X58n1019_001:0584b03	一時佛出過欲色無色無想。一切法自在無礙等。	一 時 佛 出 過 欲色無色 無 想 一 切 法 自在無礙 等 
X58n1019_001:0584b04	然淨土總有十五本。(法集經大毗盧經入印法門經方等王經心印經興顯經	然 淨 土 總 有 十 五 本 法 集 經 大 毗 盧 經 入 印 法 門 經 方 等 王 經 心 印 經 興 顯 經 
X58n1019_001:0584b05	圓覺經佛地經。更有餘本。在別卷中不錄)並無人間山城國邑等處。卻	圓 覺 經 佛 地 經 更 有 餘 本 在 別 卷 中 不 錄 並 無 人 間 山 城 國 邑 等 處 卻 
X58n1019_001:0584b06	云事法不同隨機所見。圭峯曰。麤心識淺者。未免	云 事 法 不 同 隨 機 所 見 圭 峯 曰 麤 心 識 淺 者 未 免 
X58n1019_001:0584b07	於此等經。或謗或疑。故佛地論。親光菩薩具有通	於 此 等 經 或 謗 或 疑 故 佛 地 論 親 光 菩 薩 具 有 通 
