T45n1886_001:0707c22	原人論序	原 人 論 序 
T45n1886_001:0707c24	終南山草堂寺沙門宗密述	終 南 山 草 堂 寺 沙 門 宗 密 述 
T45n1886_001:0707c25	萬靈蠢蠢皆有其本，萬物芸芸各歸其根。未	萬 靈 蠢 蠢 皆 有 其 本 萬 物 芸 芸 各 歸 其 根 未 
T45n1886_001:0707c26	有無根本而有枝末者也，況三才中之最靈	有 無 根 本 而 有 枝 末 者 也 況 三 才 中 之 最 靈 
T45n1886_001:0707c27	而無本源乎？且知人者智，自知者明，今我稟	而 無 本 源 乎 且 知 人 者 智 自 知 者 明 今 我 稟 
T45n1886_001:0707c28	得人身而不自知所從來，曷能知他世所趣	得 人 身 而 不 自 知 所 從 來 曷 能 知 他 世 所 趣 
T45n1886_001:0707c29	乎？曷能知天下古今之人事乎？故數十年中	乎 曷 能 知 天 下 古 今 之 人 事 乎 故 數 十 年 中 
T45n1886_001:0708a01	學無常師，博攷內外以原自身，原之不已，果	學 無 常 師 博 攷 內 外 以 原 自 身 原 之 不 已 果 
T45n1886_001:0708a02	得其本。然今習儒道者，秖知近則乃祖乃父，	得 其 本 然 今 習 儒 道 者 秖 知 近 則 乃 祖 乃 父 
T45n1886_001:0708a03	傳體相續，受得此身；遠則混沌一氣，剖為陰	傳 體 相 續 受 得 此 身 遠 則 混 沌 一 氣 剖 為 陰 
T45n1886_001:0708a04	陽之二，二生天地人三，三生萬物。萬物與人	陽 之 二 二 生 天 地 人 三 三 生 萬 物 萬 物 與 人 
T45n1886_001:0708a05	皆氣為本。習佛法者，但云：「近則前生造業，隨	皆 氣 為 本 習 佛 法 者 但 云 近 則 前 生 造 業 隨 
T45n1886_001:0708a06	業受報，得此人身；遠則業又從惑展轉，乃至	業 受 報 得 此 人 身 遠 則 業 又 從 惑 展 轉 乃 至 
T45n1886_001:0708a07	阿賴耶識為身根本。」皆謂已窮，而實未也。然	阿賴耶識 為 身 根 本 皆 謂 已 窮 而 實 未 也 然 
T45n1886_001:0708a08	孔、老、釋迦皆是至聖，隨時應物，設教殊塗。內	孔 老 釋 迦 皆 是 至 聖 隨 時 應 物 設 教 殊 塗 內 
T45n1886_001:0708a09	外相資，共利群庶。策勤萬行，明因果始終；推	外 相 資 共 利 群 庶 策 勤 萬 行 明 因 果 始 終 推 
T45n1886_001:0708a10	究萬法，彰生起本末。雖皆聖意而有實有權，	究 萬 法 彰 生 起 本 末 雖 皆 聖 意 而 有 實 有 權 
T45n1886_001:0708a11	二教唯權，佛兼權實。策萬行，懲惡勸善，同歸	二 教 唯 權 佛 兼 權 實 策 萬 行 懲 惡 勸 善 同 歸 
T45n1886_001:0708a12	於治，則三教皆可遵行；推萬法，窮理盡性，至	於 治 則 三 教 皆 可 遵 行 推 萬 法 窮 理 盡 性 至 
T45n1886_001:0708a13	於本源，則佛教方為決了。然當今學士各執	於 本 源 則 佛 教 方 為 決 了 然 當 今 學 士 各 執 
T45n1886_001:0708a14	一宗，就師佛者，仍迷實義，故於天地人物不	一 宗 就 師 佛 者 仍 迷 實 義 故 於 天 地 人 物 不 
T45n1886_001:0708a15	能原之至源。余今還依內外教理推窮萬法，	能 原 之 至 源 余 今 還 依 內 外 教 理 推 窮 萬 法 
T45n1886_001:0708a16	初從淺至深，於習權教者，斥滯令通而極其	初 從 淺 至 深 於 習 權 教 者 斥 滯 令 通 而 極 其 
T45n1886_001:0708a17	本；後依了教，顯示展轉生起之義，會偏令圓	本 後 依 了 教 顯 示 展 轉 生 起 之 義 會 偏 令 圓 
T45n1886_001:0708a18	而至於末(末即天地人物)。文有四篇，名原人也。	而 至 於 末 末 即 天 地 人 物 文 有 四 篇 名 原 人 也 
T45n1886_001:0708a19	原人論序(終)	原 人 論 序 終 
T45n1886_001:0708a22	原人論	原 人 論 
T45n1886_001:0708a24	終南山草堂寺沙門宗密述	終 南 山 草 堂 寺 沙 門 宗 密 述 
T45n1886_001:0708a25	斥迷執第一(習儒道者)	斥 迷 執 第 一 習 儒 道 者 
