X16n0308_001:0012a03	 續夢始末	 續 夢 始 末 
X16n0308_001:0012a05	余先註法華指掌。肇始於雍正二年甲辰。脫槀於	余 先 註 法 華 指 掌 肇 始 於 雍 正 二 年 甲 辰 脫 槀 於 
X16n0308_001:0012a06	乾隆十一年丙寅。及欲就梓。苦力有未充不果。後	乾 隆 十 一 年 丙 寅 及 欲 就 梓 苦 力 有 未 充 不 果 後 
X16n0308_001:0012a07	於辛未冬。荷蒙	於 辛 未 冬 荷 蒙 
X16n0308_001:0012a08	和碩莊親王	和 碩 莊 親 王 
X16n0308_001:0012a09	奏放香界寺住持。閱明年。有徧空元等由岫雲來	奏 放 香 界 寺 住 持 閱 明 年 有 徧 空 元 等 由 岫 雲 來 
X16n0308_001:0012a10	參。請為過講楞嚴正脈。初講十門。即嫌其駮辨太	參 請 為 過 講 楞 嚴 正 脈 初 講 十 門 即 嫌 其 駮 辨 太 
X16n0308_001:0012a11	甚。且前後次第。與清涼大有徑庭。不合賢宗家法。	甚 且 前 後 次 第 與 清 涼 大 有 徑 庭 不 合 賢 宗 家 法 
X16n0308_001:0012a12	至題中繁言亂心。如洪闊等八義之類。亦私意之	至 題 中 繁 言 亂 心 如 洪 闊 等 八 義 之 類 亦 私 意 之 
X16n0308_001:0012a13	所不取。因不揣鄙陋。輙為籤釋。學眾喜其易明。請	所 不 取 因 不 揣 鄙 陋 輙 為 籤 釋 學 眾 喜 其 易 明 請 
X16n0308_001:0012a14	製新疏。於是研精竭思。三越寒暑。草本雖創。未及	製 新 疏 於 是 研 精 竭 思 三 越 寒 暑 草 本 雖 創 未 及 
X16n0308_001:0012a15	再修。又蒙	再 修 又 蒙 
X16n0308_001:0012a16	莊親王。舉授僧錄司副印。兼經呪館供職。嗣是協	莊 親 王 舉 授 僧 錄 司 副 印 兼 經 呪 館 供 職 嗣 是 協 
X16n0308_001:0012a17	辦印務。對讀呪經。仍復募梓前疏。遂於是經新疏。	辦 印 務 對 讀 呪 經 仍 復 募 梓 前 疏 遂 於 是 經 新 疏 
X16n0308_001:0012a18	無遑問矣。癸未夏。館事少停。避暑山菴。即今三山	無 遑 問 矣 癸 未 夏 館 事 少 停 避 暑 山 菴 即 今 三 山 
X16n0308_001:0012a19	庵也。舊名麻家庵。歲久傾圮。不蔽風雨。拓其基而	庵 也 舊 名 麻 家 庵 歲 久 傾 圮 不 蔽 風 雨 拓 其 基 而 
X16n0308_001:0012a20	新之。易以今名。督工之餘。為興懷二子。過講是經。	新 之 易 以 今 名 督 工 之 餘 為 興 懷 二 子 過 講 是 經 
X16n0308_001:0012a21	重訂新疏。甫一過又為二子。過講金剛般若。知無	重 訂 新 疏 甫 一 過 又 為 二 子 過 講 金 剛 般 若 知 無 
X16n0308_001:0012a22	著菩薩。昔於覩史多天。慈氏尊處。親授八十行偈。	著 菩 薩 昔 於 覩史多天 慈 氏 尊 處 親 授 八 十 行 偈 
X16n0308_001:0012a23	於是有新眼疏經偈合釋之作。稿成之日。適萬壽	於 是 有 新 眼 疏 經 偈 合 釋 之 作 稿 成 之 日 適 萬 壽 
X16n0308_001:0012a24	戒壇寺。度博彚公過訪。力任刊行。紀其事在乾隆	戒 壇 寺 度 博 彚 公 過 訪 力 任 刊 行 紀 其 事 在 乾 隆 
X16n0308_001:0012b01	三十年也。三十一年丙戌。正印秀翁逝世。又蒙	三 十 年 也 三 十 一 年 丙 戌 正 印 秀 翁 逝 世 又 蒙 
X16n0308_001:0012b02	莊親王。陞授僧錄司正印。未幾才不勝任。致干舊	莊 親 王 陞 授 僧 錄 司 正 印 未 幾 才 不 勝 任 致 干 舊 
X16n0308_001:0012b03	疾。四支不仁。難以任事。無何乞假還山。靜心調養。	疾 四 支 不 仁 難 以 任 事 無 何 乞 假 還 山 靜 心 調 養 
X16n0308_001:0012b04	丁亥疾稍可。戊子取草本練覆。聊可自信。擬將募	丁 亥 疾 稍 可 戊 子 取 草 本 練 覆 聊 可 自 信 擬 將 募 
X16n0308_001:0012b05	梓旋蒙	梓 旋 蒙 
X16n0308_001:0012b06	總管僧道錄司	總 管 僧 道 錄 司 
X16n0308_001:0012b07	皇六子。諭令銷假復印。兼	皇 六 子 諭 令 銷 假 復 印 兼 
X16n0308_001:0012b08	奏放拈華寺住持。嗣是留興子在山庵謄清。偕懷	奏 放 拈 華 寺 住 持 嗣 是 留 興 子 在 山 庵 謄 清 偕 懷 
X16n0308_001:0012b09	子隨拈華校字。陸續募資。料理壽棗。庚寅奉	子 隨 拈 華 校 字 陸 續 募 資 料 理 壽 棗 庚 寅 奉 
X16n0308_001:0012b10	旨照例於	旨 照 例 於 
X16n0308_001:0012b11	圓明園佛樓行走。三十六年辛卯。恭逢	圓 明 園 佛 樓 行 走 三 十 六 年 辛 卯 恭 逢 
X16n0308_001:0012b12	皇太后萬壽盛典	皇 太 后 萬 壽 盛 典 
X16n0308_001:0012b13	賜紫於皇壇供事。自惟理以貧子出家。何當際斯	賜 紫 於 皇 壇 供 事 自 惟 理 以 貧 子 出 家 何 當 際 斯 
X16n0308_001:0012b14	隆恩。深生愧慚。無能仰報。訖今乾隆四十一年丙申。	隆 恩 深 生 愧 慚 無 能 仰 報 訖 今 乾 隆 四 十 一 年 丙 申 
X16n0308_001:0012b15	刊刻工竣。辭印潛修。祝延	刊 刻 工 竣 辭 印 潛 修 祝 延 
X16n0308_001:0012b16	聖壽答報	聖 壽 答 報 
X16n0308_001:0012b17	國恩。了此餘年。實所願也。余先於法華指掌編敘始	國 恩 了 此 餘 年 實 所 願 也 余 先 於 法 華 指 掌 編 敘 始 
X16n0308_001:0012b18	末有云。二十餘年。自視若夢期也。住此住彼。迴想	末 有 云 二 十 餘 年 自 視 若 夢 期 也 住 此 住 彼 迴 想 
X16n0308_001:0012b19	若夢中人也。幾踰四十萬言。皆夢中寱語。其間或	若 夢 中 人 也 幾 踰 四 十 萬 言 皆 夢 中 寱 語 其 間 或 
X16n0308_001:0012b20	逆或順。皆夢中境界。即今編序始末。依然夢中說	逆 或 順 皆 夢 中 境 界 即 今 編 序 始 末 依 然 夢 中 說 
X16n0308_001:0012b21	夢。然既云夢中說夢。則是一夢猶未醒耳。今又以	夢 然 既 云 夢 中 說 夢 則 是 一 夢 猶 未 醒 耳 今 又 以 
X16n0308_001:0012b22	二十餘年之工。製斯楞嚴新疏。豈不是一夢未醒。	二 十 餘 年 之 工 製 斯 楞 嚴 新 疏 豈 不 是 一 夢 未 醒 
X16n0308_001:0012b23	又續一夢也。且思如來說法四十九年。尚不曾道	又 續 一 夢 也 且 思 如 來 說 法 四 十 九 年 尚 不 曾 道 
X16n0308_001:0012b24	著一字。況是經是疏。不足六十萬言。又豈能道著	著 一 字 況 是 經 是 疏 不 足 六 十 萬 言 又 豈 能 道 著 
X16n0308_001:0012c01	一字乎。伏望後之讀是經閱是疏者。幸勿於中說	一 字 乎 伏 望 後 之 讀 是 經 閱 是 疏 者 幸 勿 於 中 說 
X16n0308_001:0012c02	是說非。又作實法會也。	是 說 非 又 作 實 法 會 也 
X16n0308_001:0012c03	旹	旹 
X16n0308_001:0012c04	乾隆四十一年歲次丙申僧自恣日	乾 隆 四 十 一 年 歲 次 丙 申 僧 自 恣 日 
X16n0308_001:0012c05	賜紫沙門賢宗後學通理謹識	賜 紫 沙 門 賢 宗 後 學 通 理 謹 識 
X16n0308_001:0012c12	閱疏凡例	閱 疏 凡 例 
X16n0308_001:0012c13	是經流傳震旦。疏記論解甚夥。採金集玉。誠讓會	是 經 流 傳 震 旦 疏 記 論 解 甚 夥 採 金 集 玉 誠 讓 會 
