X57n0975_001:0509a06	 隨緣集敘	 隨 緣 集 敘 
X57n0975_001:0509a08	緣從外來。非本真也。隨惟偶應。非專屬也。夫人之相	緣 從 外 來 非 本 真 也 隨 惟 偶 應 非 專 屬 也 夫 人 之 相 
X57n0975_001:0509a09	與俛仰一世。有悲歡離合。貴賤窮通。禍福凶吉。升沉	與 俛 仰 一 世 有 悲 歡 離 合 貴 賤 窮 通 禍 福 凶 吉 升 沉 
X57n0975_001:0509a10	倚伏。率外來也。而人則因外來而亦悲歡離合倚伏	倚 伏 率 外 來 也 而 人 則 因 外 來 而 亦 悲 歡 離 合 倚 伏 
X57n0975_001:0509a11	升沉矣。復因外來而有言。則如馬遷之史。瀧崗之表。	升 沉 矣 復 因 外 來 而 有 言 則 如 馬 遷 之 史 瀧 崗 之 表 
X57n0975_001:0509a12	元亮之歸去來。太白之桃李園。孟德之橫槊。漢高之	元 亮 之 歸 去 來 太 白 之 桃 李 園 孟 德 之 橫 槊 漢 高 之 
X57n0975_001:0509a13	大風。阮狂之哭。成公之嘯。皆偶應也。比猶太虗。雲騰	大 風 阮 狂 之 哭 成 公 之 嘯 皆 偶 應 也 比 猶 太 虗 雲 騰 
X57n0975_001:0509a14	鳥飛。風動塵起。日輪則明。雲霧則暗。戶牖則通。牆宇	鳥 飛 風 動 塵 起 日 輪 則 明 雲 霧 則 暗 戶 牖 則 通 牆 宇 
X57n0975_001:0509a15	則壅。分別見緣。頑虗則空。鬱[土*孛]之象則紆昏塵。澄霽	則 壅 分 別 見 緣 頑 虗 則 空 鬱 [土孛] 之 象 則 紆 昏 塵 澄 霽 
X57n0975_001:0509a16	斂氛又觀清淨。究之太虗體非群相。亦不妨因外來。	斂 氛 又 觀 清 淨 究 之 太 虗 體 非 群 相 亦 不 妨 因 外 來 
X57n0975_001:0509a17	而明暗塞空。又不妨因外來。而有聲則以鳥鳴。春以	而 明 暗 塞 空 又 不 妨 因 外 來 而 有 聲 則 以 鳥 鳴 春 以 
X57n0975_001:0509a18	雷鳴。夏以蟲鳴。秋以風雨瀟瀟而鳴乎。其冬亦偶應	雷 鳴 夏 以 蟲 鳴 秋 以 風 雨 瀟 瀟 而 鳴 乎 其 冬 亦 偶 應 
X57n0975_001:0509a19	耳。寧惟人物乎哉。西竺空王。已渾全本真。永謝外務	耳 寧 惟 人 物 乎 哉 西 竺 空 王 已 渾 全 本 真 永 謝 外 務 
X57n0975_001:0509a20	矣。其如有世界。生善治惡。入理四種。外緣來感。亦不	矣 其 如 有 世 界 生 善 治 惡 入 理 四 種 外 緣 來 感 亦 不 
X57n0975_001:0509a21	獲已而有相。則現生法報應之身。又不獲已而有言。	獲 已 而 有 相 則 現 生 法 報 應 之 身 又 不 獲 已 而 有 言 
X57n0975_001:0509a22	所謂生生不可說。有因緣故。亦可得說。生不生不可	所 謂 生 生 不 可 說 有因緣故 亦 可 得 說 生 不 生 不 可 
X57n0975_001:0509a23	說。有因緣故說。不生生不可說。有因緣故說。不生不	說 有因緣故 說 不 生 生 不 可 說 有因緣故 說 不 生 不 
X57n0975_001:0509a24	生不可說。有因緣故亦可得說矣。予猶人耳。寧無外	生 不 可 說 有因緣故 亦 可 得 說 矣 予 猶 人 耳 寧 無 外 
X57n0975_001:0509b01	來感觸。亦有偶應之言。門人裒集成帙。以乞名。予曰。	來 感 觸 亦 有 偶 應 之 言 門 人 裒 集 成 帙 以 乞 名 予 曰 
X57n0975_001:0509b02	我無特操。我無專屬。而言者又非本真也。其名隨緣	我 無 特 操 我 無 專 屬 而 言 者 又 非 本 真 也 其 名 隨 緣 
X57n0975_001:0509b03	可矣。因編類為四。而削去十九。雜著存十一。尺牘存	可 矣 因 編 類 為 四 而 削 去 十 九 雜 著 存 十 一 尺 牘 存 
X57n0975_001:0509b04	百一。詩偈存千一。而源流則具存也。徐孺子曰。周易	百 一 詩 偈 存 千 一 而 源 流 則 具 存 也 徐 孺 子 曰 周 易 
X57n0975_001:0509b05	稱隨時之義。大矣哉。以剛來而下柔動而悅隨。天下	稱 隨 時 之 義 大 矣 哉 以 剛 來 而 下 柔 動 而 悅 隨 天 下 
X57n0975_001:0509b06	隨時而大貞亨。隨緣之義。取諸此乎。予曰不也。予卑	隨 時 而 大 貞 亨 隨 緣 之 義 取 諸 此 乎 予 曰 不 也 予 卑 
X57n0975_001:0509b07	卑雌伏。言不出羣。殆庶幾於易之澤中有雷隨以嚮	卑 雌 伏 言 不 出 羣 殆 庶 幾 於 易 之 澤 中 有 雷 隨 以 嚮 
X57n0975_001:0509b08	晦宴息耳。	晦 宴 息 耳 
X57n0975_001:0509b09	己未中元日楞嚴講寺比丘靈耀書於大樹方丈	己 未 中 元 日 楞 嚴 講 寺 比 丘 靈 耀 書 於 大 樹 方 丈 
X57n0975_001:0509b13	隨緣集目次	隨 緣 集 目 次 
X57n0975_001:0509b15	卷第一	卷 第 一 
X57n0975_001:0509b16	　自序	 自 序 
X57n0975_001:0509b17	　　雜著	 雜 著 
X57n0975_001:0509b18	　泗水海花記　佛海和上隱山序	 泗 水 海 花 記 佛 海 和 上 隱 山 序 
X57n0975_001:0509b19	　金剛經部旨序　摘微總序	 金 剛 經 部 旨 序 摘 微 總 序 
X57n0975_001:0509b20	　摘記五經章意序　藥師經直解敘	 摘 記 五 經 章 意 序 藥 師 經 直 解 敘 
X57n0975_001:0509b21	　梧桐月記　摘百家敘	 梧 桐 月 記 摘 百 家 敘 
X57n0975_001:0509b22	　摘佛經第一敘　普門膚說序	 摘 佛 經 第 一 敘 普 門 膚 說 序 
X57n0975_001:0509b23	　集註節義序　盂蘭盆經折中疏序	 集 註 節 義 序 盂 蘭 盆 經 折 中 疏 序 
X57n0975_001:0509b24	　玉菴興建緣起　題玉庵交單	 玉 菴 興 建 緣 起 題 玉 庵 交 單 
X57n0975_001:0509c01	　同戒錄序(因辰春期)　讀隱秀軒集	 同 戒 錄 序 因 辰 春 期 讀 隱 秀 軒 集 
X57n0975_001:0509c02	　閱鍾子評選史傳詩皈隱秀軒集	 閱 鍾 子 評 選 史 傳 詩 皈 隱 秀 軒 集 
X57n0975_001:0509c03	　翁永年書法敘　大藏集廣疏	 翁 永 年 書 法 敘 大 藏 集 廣 疏 
X57n0975_001:0509c04	　閱元白全集　血書法華經跋	 閱 元 白 全 集 血 書 法 華 經 跋 
X57n0975_001:0509c05	　睿公裒文引言	 睿 公 裒 文 引 言 
X57n0975_001:0509c06	　普薦罹難陣亡橫死軍民榜	 普 薦 罹 難 陣 亡 橫 死 軍 民 榜 
