X13n0284_001:0196a06	 重刻	 重 刻 
X13n0284_001:0196a07	大佛頂經玄文序	大 佛 頂 經 玄 文 序 
X13n0284_001:0196a09	性相二宗猶波之與水從來不可分隔而其流弊	性 相 二 宗 猶 波 之 與 水 從 來 不 可 分 隔 而 其 流 弊 
X13n0284_001:0196a10	也甚至分河飲水此豈文殊彌勒之過亦豈馬鳴	也 甚 至 分 河 飲 水 此 豈 文 殊 彌 勒 之 過 亦 豈 馬 鳴 
X13n0284_001:0196a11	護法之旨哉謂真如受熏譬如劫火洞然虗空安	護 法 之 旨 哉 謂 真 如 受 熏 譬 如 劫 火 洞 然 虗 空 安 
X13n0284_001:0196a12	得獨冷謂真如不受熏譬如劫火洞然時虗空何	得 獨 冷 謂 真 如 不 受 熏 譬 如 劫 火 洞 然 時 虗 空 何 
X13n0284_001:0196a13	甞爛壞故知得其語脉者合則雙美失其宗趣者	甞 爛 壞 故 知 得 其 語 脉 者 合 則 雙 美 失 其 宗 趣 者 
X13n0284_001:0196a14	離則兩傷觀大佛頂經第四卷云譬如虗空體非	離 則 兩 傷 觀 大 佛 頂 經 第 四 卷 云 譬 如 虗 空 體 非 
X13n0284_001:0196a15	羣相而不拒彼諸相發揮只此一言兩疑氷釋善	羣 相 而 不 拒 彼 諸 相 發 揮 只 此 一 言 兩 疑 氷 釋 善 
X13n0284_001:0196a16	夫智者大師有言偏執法性生一切法何異自生	夫 智 者 大 師 有 言 偏 執 法 性 生 一 切 法 何 異 自 生 
X13n0284_001:0196a17	偏執梨耶生一切法何異他生例而推之縱謂法	偏 執 梨 耶 生 一 切 法 何 異 他 生 例 而 推 之 縱 謂 法 
X13n0284_001:0196a18	性梨耶和合生一切法何異共生縱謂非法性非	性 梨 耶 和 合 生 一 切 法 何 異 共 生 縱 謂 非 法 性 非 
X13n0284_001:0196a19	梨耶生一切法又何異無因緣生繇此觀之四句	梨 耶 生 一 切 法 又 何 異 無 因 緣 生 繇 此 觀 之 四 句 
X13n0284_001:0196a20	無非是謗倘能妙達無生不起性計則四句雖不	無 非 是 謗 倘 能 妙 達 無 生 不 起 性 計 則 四 句 雖 不 
X13n0284_001:0196a21	可說有四悉檀因緣故亦可得說謂真如不思議	可 說 有 四 悉 檀 因 緣 故 亦 可 得 說 謂 真 如 不 思 議 
X13n0284_001:0196a22	熏生一切法謂梨耶是可熏性生一切法皆無不	熏 生 一 切 法 謂 梨 耶 是 可 熏 性 生 一 切 法 皆 無 不 
X13n0284_001:0196a23	可吾乃知智者大師真悟權實祕要故能于大佛	可 吾 乃 知 智 者 大 師 真 悟 權 實 祕 要 故 能 于 大 佛 
X13n0284_001:0196a24	頂經未來之時懸合其旨趣若此之經來時智者	頂 經 未 來 之 時 懸 合 其 旨 趣 若 此 之 經 來 時 智 者 
