T85n2914_001:1459c17	佛說觀經	佛 說 觀 經 
T85n2914_001:1459c19	觀十方佛法　念觀十方佛者。坐觀東方。廓	觀 十 方 佛 法 念 觀 十 方 佛 者 坐 觀 東 方 廓 
T85n2914_001:1459c20	然大光。唯見一佛。結跏趺坐。舉手說法。心	然 大 光 唯 見 一 佛 結跏趺坐 舉 手 說 法 心 
T85n2914_001:1459c21	明觀察。光明相好書然明了。常係在心不令	明 觀 察 光 明 相 好 書 然 明 了 常 係 在 心 不 令 
T85n2914_001:1459c22	外緣心。若餘念攝念令還。如是見者便增至	外 緣 心 若 餘 念 攝 念 令 還 如 是 見 者 便 增 至 
T85n2914_001:1459c23	十佛即見十佛。增至百佛。乃至千佛。乃至無	十 佛 即 見 十 佛 增 至 百 佛 乃 至 千 佛 乃 至 無 
T85n2914_001:1459c24	量無邊佛。若近者則便轉遠廣博。但見諸佛	量 無 邊 佛 若 近 者 則 便 轉 遠 廣 博 但 見 諸 佛 
T85n2914_001:1459c25	光光相接。心明觀察得如是者。復觀想東南	光 光 相 接 心 明 觀 察 得 如 是 者 復 觀 想 東 南 
T85n2914_001:1459c26	方亦如上觀。既得成已乃至西方。乃至十方	方 亦 如 上 觀 既 得 成 已 乃 至 西 方 乃 至 十 方 
T85n2914_001:1459c27	亦復如是。既向方方皆見佛。說法與當。復一	亦復如是 既 向 方 方 皆 見 佛 說 法 與 當 復 一 
T85n2914_001:1459c28	時往觀十方佛。一念所緣周遍得見。定心成	時 往 觀 十 方 佛 一 念 所 緣 周 遍 得 見 定 心 成 
T85n2914_001:1459c29	就者。於定中見十方佛。皆與已說法疑網悉	就 者 於 定 中 見 十 方 佛 皆 與 已 說 法 疑 網 悉 
T85n2914_001:1460a01	除得無生忍。若有宿業因緣不見諸佛者。當	除 得無生忍 若 有 宿 業 因 緣 不 見 諸 佛 者 當 
T85n2914_001:1460a02	一日一夜六時懺悔。勸請隨喜漸得見佛也。	一 日 一 夜 六 時 懺 悔 勸 請 隨 喜 漸 得 見 佛 也 
