X55n0917_001:0736a04	止觀科節	止 觀 科 節 
X55n0917_001:0736a06	長文廣義悉備輔行。其間數科數節。義意或不同。或	長 文 廣 義 悉 備 輔 行 其 間 數 科 數 節 義 意 或 不 同 或 
X55n0917_001:0736a07	義意是同而尋文難見。或科節文勢奢促不定。略出	義 意 是 同 而 尋 文 難 見 或 科 節 文 勢 奢 促 不 定 略 出 
X55n0917_001:0736a08	科文并數節義。自備遺忘。豈曰示人也。釋題三。一意。	科 文 并 數 節 義 自 備 遺 忘 豈 曰 示 人 也 釋 題 三 一 意 
X55n0917_001:0736a09	二義。三文意者。大師自云。說己心中所證法門。所證	二 義 三 文 意 者 大 師 自 云 說 己 心 中 所 證 法 門 所 證 
X55n0917_001:0736a10	者何。謂諸佛心印。何時證此。謂靈鷲中。憑何典據。別	者 何 謂 諸 佛 心 印 何 時 證 此 謂 靈 鷲 中 憑 何 典 據 別 
X55n0917_001:0736a11	傳云。大師見南嶽。南嶽笑曰。昔共靈山同聽法華。宿	傳 云 大 師 見 南 嶽 南 嶽 笑 曰 昔 共 靈 山 同 聽 法 華 宿 
X55n0917_001:0736a12	緣所追今復來矣。大師未悟。南嶽曰。肉身菩薩經生	緣 所 追 今 復 來 矣 大 師 未 悟 南 嶽 曰 肉 身 菩 薩 經 生 
X55n0917_001:0736a13	忘矣。可入普賢道場。至二七日豁然定慧開發。從定	忘 矣 可 入 普 賢 道 場 至 二 七 日 豁 然 定 慧 開 發 從 定 
X55n0917_001:0736a14	起白師。師曰。非爾不證。非我不知。爾所證者。法華三	起 白 師 師 曰 非 爾 不 證 非 我 不 知 爾 所 證 者 法 華 三 
X55n0917_001:0736a15	昧。得陀羅尼者。旋陀羅尼。自今已後。文字法師。闇證	昧 得陀羅尼 者 旋陀羅尼 自 今 已 後 文 字 法 師 闇 證 
X55n0917_001:0736a16	禪師。千羣萬眾。尋爾之辨莫能究也。當為說法人中	禪 師 千 羣 萬 眾 尋 爾 之 辨 莫 能 究 也 當 為 說 法 人 中 
X55n0917_001:0736a17	最為第一。時年二十三便獲心印。機緣未會。未有傳	最 為 第 一 時 年 二 十 三 便 獲 心 印 機 緣 未 會 未 有 傳 
X55n0917_001:0736a18	受。但講大品．智論．法華．仁王．光明．維摩等經。而玄解	受 但 講 大 品 智 論 法 華 仁 王 光 明 維 摩 等 經 而 玄 解 
X55n0917_001:0736a19	未吐。至開皇十四年。年五十七。為報生地恩歸荊州。	未 吐 至 開 皇 十 四 年 年 五 十 七 為 報 生 地 恩 歸 荊 州 
X55n0917_001:0736a20	造玉泉寺。寺成訖。說止觀。以申元意義。乃不異眾經。	造 玉 泉 寺 寺 成 訖 說 止 觀 以 申 元 意 義 乃 不 異 眾 經 
X55n0917_001:0736a21	而研心造境。布致十乘。萬德三千。併在一念。逈超義	而 研 心 造 境 布 致 十 乘 萬 德 三 千 併 在 一 念 逈 超 義 
X55n0917_001:0736a22	表。卓爾不羣。意令今日合座之人便即入如來室。著	表 卓 爾 不 羣 意 令 今 日 合 座 之 人 便 即 入 如 來 室 著 
X55n0917_001:0736a23	如來衣。坐如來座。日用佛心。日行佛事矣。義者五重	如 來 衣 坐 如 來 座 日 用 佛 心 日 行 佛 事 矣 義 者 五 重 
X55n0917_001:0736a24	玄義。出自天台。釋一切經論皆須五義。五義束一部	玄 義 出 自 天 台 釋 一 切 經 論 皆 須 五 義 五 義 束 一 部 
X55n0917_001:0736b01	盡矣。謂名．體．宗．用．教也。名者。卷首止觀明靜即釋名	盡 矣 謂 名 體 宗 用 教 也 名 者 卷 首 止 觀 明 靜 即 釋 名 
X55n0917_001:0736b02	也。若別配文。即五略中大意。十廣中釋名是也。大意	也 若 別 配 文 即 五 略 中 大 意 十 廣 中 釋 名 是 也 大 意 
X55n0917_001:0736b03	約四。教．簡．諦．境。釋名約待絕明觀智。智必照境。境智	約 四 教 簡 諦 境 釋 名 約 待 絕 明 觀 智 智 必 照 境 境 智 
X55n0917_001:0736b04	稱會。其名生焉。大意云。既知無明即明。不復流動。故	稱 會 其 名 生 焉 大 意 云 既 知 無 明 即 明 不 復 流 動 故 
X55n0917_001:0736b05	名為止。朗然大淨。呼之為觀。此兩文釋名竟。二出體。	名 為 止 朗 然 大 淨 呼 之 為 觀 此 兩 文 釋 名 竟 二 出 體 
X55n0917_001:0736b06	三德圓融。體也。若約文。五略中歸大處。十廣中體相	三 德 圓 融 體 也 若 約 文 五 略 中 歸 大 處 十 廣 中 體 相 
X55n0917_001:0736b07	并旨歸。此三科竝明三身三德體也。指歸文雖不說。	并 旨 歸 此 三 科 竝 明 三 身 三 德 體 也 指 歸 文 雖 不 說 
X55n0917_001:0736b08	義不異前兩科意也。三明宗者。寂照交徹宗也。涅槃	義 不 異 前 兩 科 意 也 三 明 宗 者 寂 照 交 徹 宗 也 涅 槃 
X55n0917_001:0736b09	云。定慧平等見佛性當。文云。兩手遞互楷摩。雲日相	云 定 慧 平 等 見 佛 性 當 文 云 兩 手 遞 互 楷 摩 雲 日 相 
X55n0917_001:0736b10	資。方致牙象。約文。五略中大行。十廣中正修。此兩門	資 方 致 牙 象 約 文 五 略 中 大 行 十 廣 中 正 修 此 兩 門 
X55n0917_001:0736b11	是一部之宗主。行人之歸趣修心處也。四辨用者。破	是 一 部 之 宗 主 行 人 之 歸 趣 修 心 處 也 四 辨 用 者 破 
X55n0917_001:0736b12	遍證圓為用也。破遍則惑無不盡。證圓則德無不備。	遍 證 圓 為 用 也 破 遍 則 惑 無 不 盡 證 圓 則 德 無 不 備 
X55n0917_001:0736b13	五略中感大果。十廣中橫豎破遍。第八果報。此三文	五 略 中 感 大 果 十 廣 中 橫 豎 破 遍 第 八 果 報 此 三 文 
X55n0917_001:0736b14	是也。五教相者。一多互陳教相也。五略中裂大網。十	是 也 五 教 相 者 一 多 互 陳 教 相 也 五 略 中 裂 大 網 十 
X55n0917_001:0736b15	廣中攝法．偏圓．方便。四門竝教相也。故一微塵中出	廣 中 攝 法 偏 圓 方 便 四 門 竝 教 相 也 故 一 微 塵 中 出 
X55n0917_001:0736b16	大千經卷。八教五味並自一心。教相明矣。且分文屬	大 千 經 卷 八 教 五 味 並 自 一 心 教 相 明 矣 且 分 文 屬 
X55n0917_001:0736b17	當即爾。據圓旨。一一文一一義皆具五也。此乃分而	當 即 爾 據 圓 旨 一 一 文 一 一 義 皆 具 五 也 此 乃 分 而 
X55n0917_001:0736b18	不分不分而分。固在意得耳。摩訶。褒美之詞。止觀。尅	不 分 不 分 而 分 固 在 意 得 耳 摩 訶 褒 美 之 詞 止 觀 尅 
X55n0917_001:0736b19	明心性。章安初題圓頓。後改摩訶。改者意何。圓頓尊	明 心 性 章 安 初 題 圓 頓 後 改 摩 訶 改 者 意 何 圓 頓 尊 
X55n0917_001:0736b20	極之稱。摩訶包攝周悉。約理宜尊極。約教宜周悉。周	極 之 稱 摩 訶 包 攝 周 悉 約 理 宜 尊 極 約 教 宜 周 悉 周 
X55n0917_001:0736b21	悉具三即。攝漸次不定五時八教盡矣。故改從也。摩	悉 具 三 即 攝 漸 次 不 定 五 時 八 教 盡 矣 故 改 從 也 摩 
X55n0917_001:0736b22	訶三義。往翻大．多．勝也。此三皆絕待。不對小少劣受	訶 三 義 往 翻 大 多 勝 也 此 三 皆 絕 待 不 對 小 少 劣 受 
X55n0917_001:0736b23	名。法非小大一多勝劣。小即大故。一即多故。劣即勝	名 法 非 小 大 一 多 勝 劣 小 即 大 故 一 即 多 故 劣 即 勝 
X55n0917_001:0736b24	故。何以故。法性圓玅無隔礙故。是以一塵一毫悉包	故 何 以 故 法 性 圓 玅 無 隔 礙 故 是 以 一 塵 一 毫 悉 包 
X55n0917_001:0736c01	納法界也。今言大即空。多即假。勝即中。此三皆一色	納 法 界 也 今 言 大 即 空 多 即 假 勝 即 中 此 三 皆 一 色 
X55n0917_001:0736c02	一香一念中足也。一念寂然圓極法界為止。一念朗	一 香 一 念 中 足 也 一 念 寂 然 圓 極 法 界 為 止 一 念 朗 
X55n0917_001:0736c03	然圓照法界為觀。止即般若。觀即解脫。止觀不二即	然 圓 照 法 界 為 觀 止 即 般 若 觀 即 解 脫 止 觀 不 二 即 
X55n0917_001:0736c04	法身。在心謂之三觀。在境謂之三諦。在體謂之三德。	法 身 在 心 謂 之 三 觀 在 境 謂 之 三 諦 在 體 謂 之 三 德 
X55n0917_001:0736c05	在用謂之三身。在性謂之三涅槃。在智謂之三菩提。	在 用 謂 之 三 身 在 性 謂 之 三 涅 槃 在 智 謂 之 三 菩 提 
X55n0917_001:0736c06	在凡謂之三道。在聖謂之三寶。雖迷悟得失千途。而	在 凡 謂 之 三 道 在 聖 謂 之 三 寶 雖 迷 悟 得 失 千 途 而 
X55n0917_001:0736c07	一性未甞變易也。前代未聞止觀為三世佛母。未聞	一 性 未 甞 變 易 也 前 代 未 聞 止 觀 為 三 世 佛 母 未 聞 
X55n0917_001:0736c08	止觀為十方菩薩祖師。未聞止觀為一切教理行位	止 觀 為 十 方 菩 薩 祖 師 未 聞 止 觀 為 一 切 教 理 行 位 
X55n0917_001:0736c09	之主。未聞止觀為一切學人智鏡。未聞止觀照己身	之 主 未 聞 止 觀 為 一 切 學 人 智 鏡 未 聞 止 觀 照 己 身 
X55n0917_001:0736c10	心全同佛德。令喜於大師座下親聞故也。儒說生知	心 全 同 佛 德 令 喜 於 大 師 座 下 親 聞 故 也 儒 說 生 知 
X55n0917_001:0736c11	一世義也。釋辨三世成性也。萬法元本從緣故生。生	一 世 義 也 釋 辨 三 世 成 性 也 萬 法 元 本 從 緣 故 生 生 
X55n0917_001:0736c12	性常空。號天真理。理不獨立常在萬緣。緣理兼懷乃	性 常 空 號 天 真 理 理 不 獨 立 常 在 萬 緣 緣 理 兼 懷 乃 
X55n0917_001:0736c13	名大士。妄緣取理乃曰小乘。妄理取緣流轉九有。反	名 大 士 妄 緣 取 理 乃 曰 小 乘 妄 理 取 緣 流 轉 九 有 反 
X55n0917_001:0736c14	本還源須假師傳。照本境寂。我無師保。經曰。不得一	本 還 源 須 假 師 傳 照 本 境 寂 我 無 師 保 經 曰 不 得 一 
X55n0917_001:0736c15	法故得授記。授記師也。不得無師也。師不偏屬因。有	法 故 得 授 記 授 記 師 也 不 得 無 師 也 師 不 偏 屬 因 有 
X55n0917_001:0736c16	理觀故無。師不偏屬果。佛師法常也。若謂無真在因	理 觀 故 無 師 不 偏 屬 果 佛 師 法 常 也 若 謂 無 真 在 因 
X55n0917_001:0736c17	緣事外。凡夫未了。聖智方證。此別教也。即我觀智。照	緣 事 外 凡 夫 未 了 聖 智 方 證 此 別 教 也 即 我 觀 智 照 
X55n0917_001:0736c18	因緣生滅悉無自性即全無。真圓教也。圓頓現前即	因 緣 生 滅 悉 無 自 性 即 全 無 真 圓 教 也 圓 頓 現 前 即 
X55n0917_001:0736c19	入佛位。萬行萬德一念中具。十卷止觀千度說此。若	入 佛 位 萬 行 萬 德 一 念 中 具 十 卷 止 觀 千 度 說 此 若 
X55n0917_001:0736c20	不信此。天台教門絕矣。始鹿苑不言寂場者。且從跡	不 信 此 天 台 教 門 絕 矣 始 鹿 苑 不 言 寂 場 者 且 從 跡 
X55n0917_001:0736c21	說。祖承為便。若望本說。何妨二十四祖悉游華嚴海	說 祖 承 為 便 若 望 本 說 何 妨 二 十 四 祖 悉 游 華 嚴 海 
X55n0917_001:0736c22	中。九代祖師融寂覺跡義等。下文破古有此說。既非	中 九 代 祖 師 融 寂 覺 跡 義 等 下 文 破 古 有 此 說 既 非 
X55n0917_001:0736c23	正義。祖宗不成。九代之名請從此削。無漏總中三。此	正 義 祖 宗 不 成 九 代 之 名 請 從 此 削 無 漏 總 中 三 此 
X55n0917_001:0736c24	段文古今共難。輔行四紙。釋兼破古。九不可講者。敘	段 文 古 今 共 難 輔 行 四 紙 釋 兼 破 古 九 不 可 講 者 敘 
X55n0917_001:0737a01	述甚自煩閙。昨尋本文。文近在前。止火血刀達三善	述 甚 自 煩 閙 昨 尋 本 文 文 近 在 前 止 火 血 刀 達 三 善 
X55n0917_001:0737a02	道。次修禪定。次修無漏。次修慈悲。次修實相。此文是	道 次 修 禪 定 次 修 無 漏 次 修 慈 悲 次 修 實 相 此 文 是 
X55n0917_001:0737a03	也。無漏若合但有九。無漏若開兩教二乘成四。即十	也 無 漏 若 合 但 有 九 無 漏 若 開 兩 教 二 乘 成 四 即 十 
X55n0917_001:0737a04	二。不定四。取體中四。或指世界。下總四或字。是四句	二 不 定 四 取 體 中 四 或 指 世 界 下 總 四 或 字 是 四 句 
X55n0917_001:0737a05	意。謂實相難解。藉漸次不定導進其心。便有九句十	意 謂 實 相 難 解 藉 漸 次 不 定 導 進 其 心 便 有 九 句 十 
X55n0917_001:0737a06	三句階級。然後方達實相。故有此三種止觀也。汎論	三 句 階 級 然 後 方 達 實 相 故 有 此 三 種 止 觀 也 汎 論 
X55n0917_001:0737a07	漸次．不定．圓．頓有四不同。一約教論。八教中頓漸不	漸 次 不 定 圓 頓 有 四 不 同 一 約 教 論 八 教 中 頓 漸 不 
