X67n1304_001:0322c06	 虗堂錄序	 虗 堂 錄 序 
X67n1304_001:0322c08	空劫前時。有無手人。入無影林。採無根樹。向圓覺伽	空 劫 前 時 有 無 手 人 入 無 影 林 採 無 根 樹 向 圓 覺 伽 
X67n1304_001:0322c09	藍。依光明藏。布戒定慧之柱礎。架體相用之棟梁。以	藍 依 光 明 藏 布 戒 定 慧 之 柱 礎 架 體 相 用 之 棟 梁 以 
X67n1304_001:0322c10	解脫為門。運法空為座。號曰虗堂。我林泉老師而居	解 脫 為 門 運 法 空 為 座 號 曰 虗 堂 我 林 泉 老 師 而 居 
X67n1304_001:0322c11	也。於禪天之末見丹霞弄影。即色明心不免指空話	也 於 禪 天 之 末 見 丹 霞 弄 影 即 色 明 心 不 免 指 空 話 
X67n1304_001:0322c12	空。橫說竪說要到親切處。俾聽之者日益時習廓達	空 橫 說 竪 說 要 到 親 切 處 俾 聽 之 者 日 益 時 習 廓 達 
X67n1304_001:0322c13	靈明者矣。	靈 明 者 矣 
X67n1304_001:0322c14	元貞元年秋九月奉訓大夫姜端禮撰	元 貞 元 年 秋 九 月 奉 訓 大 夫 姜 端 禮 撰 
X67n1304_001:0322c18	虗堂集目錄	虗 堂 集 目 錄 
X67n1304_001:0322c20	卷第一	卷 第 一 
X67n1304_001:0322c21	一青原堦級(參學)二石頭曹溪(對機)	一 青 原 堦 級 參 學 二 石 頭 曹 溪 對 機 
X67n1304_001:0322c22	三藥山坐次(禪定)四船子夾山(舟楫)	三 藥 山 坐 次 禪 定 四 船 子 夾 山 舟 楫 
X67n1304_001:0322c23	五椑樹洞山(參學)六沙彌住庵(雨雪)	五 椑 樹 洞 山 參 學 六 沙 彌 住 庵 雨 雪 
X67n1304_001:0322c24	七道吾五峰(對機)八洞山廊幕(姓名)	七 道 吾 五 峰 對 機 八 洞 山 廊 幕 姓 名 
X67n1304_001:0323a01	九雲巖巾缾(香燈)十南泉異類(省訪)	九 雲 巖 巾 缾 香 燈 十 南 泉 異 類 省 訪 
X67n1304_001:0323a02	十一夾山示境(人境)十二夾山不會(門戶)	十 一 夾 山 示 境 人 境 十 二 夾 山 不 會 門 戶 
X67n1304_001:0323a03	十三夾山上堂(示眾)十四夾山撥塵(佛祖)	十 三 夾 山 上 堂 示 眾 十 四 夾 山 撥 塵 佛 祖 
X67n1304_001:0323a04	十五石霜觸目(缾錫)十六漸源持鍬(遷化)	十 五 石 霜 觸 目 缾 錫 十 六 漸 源 持 鍬 遷 化 
X67n1304_001:0323a05	十七洞山初秋(解結)十八洞山大事(服飾)	十 七 洞 山 初 秋 解 結 十 八 洞 山 大 事 服 飾 
X67n1304_001:0323a06	卷第二	卷 第 二 
X67n1304_001:0323a07	十九洞山鳥道(橋路)二十神山過橋(橋路)	十 九 洞 山 鳥 道 橋 路 二 十 神 山 過 橋 橋 路 
X67n1304_001:0323a08	二十一洛浦淘金(珍寶)二十二洛浦祖意(祖教)	二 十 一 洛 浦 淘 金 珍 寶 二 十 二 洛 浦 祖 意 祖 教 
X67n1304_001:0323a09	二十三洛浦供養(佛祖)二十四蛤溪相看(省訪)	二 十 三 洛 浦 供 養 佛 祖 二 十 四 蛤 溪 相 看 省 訪 
X67n1304_001:0323a10	二十五洛浦一毫(飛走)二十六洛浦佛法(問法)	二 十 五 洛 浦 一 毫 飛 走 二 十 六 洛 浦 佛 法 問 法 
X67n1304_001:0323a11	二十七洛浦歸鄉(省訪)二十八洛浦祖教(祖教)	二 十 七 洛 浦 歸 鄉 省 訪 二 十 八 洛 浦 祖 教 祖 教 
