X51n0825_001:0454b06	 序〔龍省〕	 序 龍 省 
X51n0825_001:0454b08	自瞿曇氏觀星悟道。於是廣說經論。最後以涅槃妙	自 瞿 曇 氏 觀 星 悟 道 於 是 廣 說 經 論 最 後 以 涅 槃 妙 
X51n0825_001:0454b09	心。囑大迦葉。拈華顧要。燈燈相續。初祖西來。唯以直	心 囑 大 迦 葉 拈 華 顧 要 燈 燈 相 續 初 祖 西 來 唯 以 直 
X51n0825_001:0454b10	指人心見性成佛為宗旨。名曰性宗。慈氏菩薩以所	指 人 心 見 性 成 佛 為 宗 旨 名 曰 性 宗 慈 氏 菩 薩 以 所 
X51n0825_001:0454b11	悟識心圓明。造為瑜伽師地之論。天親菩薩攬其淵	悟 識 心 圓 明 造 為 瑜伽師地 之 論 天 親 菩 薩 攬 其 淵 
X51n0825_001:0454b12	浩。創唯識頌。於是護法標首。慈恩演傳。成唯識論。最	浩 創 唯 識 頌 於 是 護 法 標 首 慈 恩 演 傳 成 唯 識 論 最 
X51n0825_001:0454b13	為精密。名曰相宗。古杭紹覺老人。乃雲棲蓮大師嫡	為 精 密 名 曰 相 宗 古 杭 紹 覺 老 人 乃 雲 棲 蓮 大 師 嫡 
X51n0825_001:0454b14	裔也。闡釋全文。有唯識音義。法嗣新伊師廣搜奧旨。	裔 也 闡 釋 全 文 有 唯 識 音 義 法 嗣 新 伊 師 廣 搜 奧 旨 
X51n0825_001:0454b15	有合響。而我苕聖先法師。實為伊公入室弟子。重加	有 合 響 而 我 苕 聖 先 法 師 實 為 伊 公 入 室 弟 子 重 加 
X51n0825_001:0454b16	集注。是正有補遺。茲三集皆以演釋唯識精義。實相	集 注 是 正 有 補 遺 茲 三 集 皆 以 演 釋 唯 識 精 義 實 相 
X51n0825_001:0454b17	宗之寶炬矣。或曰。萬法唯心。心唯一也。深究其原。則	宗 之 寶 炬 矣 或 曰 萬 法 唯 心 心 唯 一 也 深 究 其 原 則 
X51n0825_001:0454b18	一亦不立。今相宗所論心王心所。八識輾轉。觀所緣	一 亦 不 立 今 相 宗 所 論 心 王 心 所 八 識 輾 轉 觀 所 緣 
X51n0825_001:0454b19	緣。研極微細。得無與直指之道背耶。余曰。否否。夫人	緣 研 極 微 細 得 無 與 直 指 之 道 背 耶 余 曰 否 否 夫 人 
X51n0825_001:0454b20	心影最難窮也。迷心認影。一影一心。即一世界。循環	心 影 最 難 窮 也 迷 心 認 影 一 影 一 心 即 一 世 界 循 環 
X51n0825_001:0454b21	相生。何啻萬億。無論謬執之輩。據幻為真。如沉弱水。	相 生 何 啻 萬 億 無 論 謬 執 之 輩 據 幻 為 真 如 沉 弱 水 
X51n0825_001:0454b22	如墮夜霧。不可得出。即使明悟上智之士。於斯道中。	如 墮 夜 霧 不 可 得 出 即 使 明 悟 上 智 之 士 於 斯 道 中 
X51n0825_001:0454b23	已契大意稱悟徹。而微細無明流注性海。慧劒所不	已 契 大 意 稱 悟 徹 而 微 細 無 明 流 注 性 海 慧 劒 所 不 
X51n0825_001:0454b24	能除。寶鏡所不能照。化雨法雷所不能灑澹震盪。是	能 除 寶 鏡 所 不 能 照 化 雨 法 雷 所 不 能 灑 澹 震 盪 是 
X51n0825_001:0454c01	生死因。隨劫輪轉。將奈何矣。彼慈氏天親悲憫斯苦。	生 死 因 隨 劫 輪 轉 將 奈 何 矣 彼 慈 氏 天 親 悲 憫 斯 苦 
X51n0825_001:0454c02	故造斯論。繪寫變相。破心影之惑。斬八識之根。使學	故 造 斯 論 繪 寫 變 相 破 心 影 之 惑 斬 八 識 之 根 使 學 
X51n0825_001:0454c03	者絕後再蘇。轉識成智。向所謂網羅窠臼。皆成安樂	者 絕 後 再 蘇 轉 識 成 智 向 所 謂 網 羅 窠 臼 皆 成 安 樂 
X51n0825_001:0454c04	窩最勝院。妙用神通。百法具足。然則相宗之旨。正所	窩 最 勝 院 妙 用 神 通 百 法 具 足 然 則 相 宗 之 旨 正 所 
X51n0825_001:0454c05	以洞明差別輔性宗。如車二轂鳥雙翼。何可偏廢哉。	以 洞 明 差 別 輔 性 宗 如 車 二 轂 鳥 雙 翼 何 可 偏 廢 哉 
X51n0825_001:0454c06	此唯識補遺之刻。深有功於正法眼藏。非渺小也。刻	此 唯 識 補 遺 之 刻 深 有 功 於 正 法 眼 藏 非 渺 小 也 刻 
X51n0825_001:0454c07	既成。遂書諸簡端。	既 成 遂 書 諸 簡 端 
X51n0825_001:0454c08	康熈戊午孟夏穀旦董漠策題	康 熈 戊 午 孟 夏 穀 旦 董 漠 策 題 
X51n0825_001:0455a02	成唯識論音響補遺科文卷上	成 唯 識 論 音 響 補 遺 科 文 卷 上 
X51n0825_001:0455a04	第一卷	第 一 卷 
X51n0825_001:0455a06	○論題(成)	 論 題 成 
X51n0825_001:0455a08	○論主(護)	 論 主 護 
X51n0825_001:0455a10	○譯師(唐)	 譯 師 唐 
X51n0825_001:0455a12	○正文大科(三)	 正 文 大 科 三 
X51n0825_001:0455a13	初宗前敬敘分(二)	初 宗 前 敬 敘 分 二 
X51n0825_001:0455a14	初歸敬述意(稽)	初 歸 敬 述 意 稽 
X51n0825_001:0455a15	次造論因緣(二)	次 造 論 因 緣 二 
X51n0825_001:0455a16	初通為利生(今)	初 通 為 利 生 今 
X51n0825_001:0455a17	次別為破執(二)	次 別 為 破 執 二 
X51n0825_001:0455a18	初破凡夫外道(又)	初 破 凡 夫 外 道 又 
X51n0825_001:0455a19	次破小乘四師(復)	次 破 小 乘 四 師 復 
X51n0825_001:0455a20	次依教廣成分(三)	次 依 教 廣 成 分 三 
X51n0825_001:0455a21	初一頌半(略答)外難略標識相(三)	初 一 頌 半 略 答 外 難 略 標 識 相 三 
X51n0825_001:0455a22	初末論設問(若)	初 末 論 設 問 若 
X51n0825_001:0455a23	次本論頌答(頌)	次 本 論 頌 答 頌 
X51n0825_001:0455a24	三末論釋成(二)	三 末 論 釋 成 二 
